,train,val,test
0,142887-2,TCGA-BH-A0GZ-01Z-00-DX1.9AD4F493-A0A9-499D-B667-B33333FC1A51,TCGA-BH-A0BF-01Z-00-DX1.934DF984-9054-4B20-B85B-9CF94B8DC3D4
1,115888-1,TCGA-D8-A1XV-01Z-00-DX2.D1988E01-5FDC-4F50-8183-F0CCE74D0CB2,TCGA-A7-A0DB-01Z-00-DX2.6C6A5F9C-294F-4A86-A0F1-B68D4729B535
2,124733,histai_0357_slide_H&E_0,histai_1541_slide_H&E_0
3,histai_1500_slide_H&E_0,TCGA-AO-A0J9-01Z-00-DX1.E37C342B-9B6A-4BEE-B064-A82C3579CC66,TCGA-A2-A3KD-01Z-00-DX1.E400D529-A0D1-4C78-AD5C-33EB0508B128
4,histai_1524_slide_H&E_0,histai_1578_slide_H&E_0,141419
5,histai_0404_slide_H&E_0,TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,histai_1471_slide_H&E_0
6,histai_1075_slide_H&E_0,AP656_OT2122_Br0270_HE,histai_1315_slide_H&E_0
7,histai_0238_slide_H&E_0,histai_1192_slide_H&E_0,TCGA-GM-A2DM-01Z-00-DX1.652038F4-C370-40EB-A545-51062783C74C
8,histai_0695_slide_H&E_0,TCGA-A7-A13D-01Z-00-DX1.D206783C-FA6A-4B6A-B3AA-4132A2C9626B,histai_0141_slide_H&E_0
9,histai_1470_slide_H&E_0,107047,131461-1
10,histai_0130_slide_H&E_0,TCGA-E2-A15P-01Z-00-DX1.4C7F95DC-B319-4A78-8F34-8CB9166EA6A8,102737-1
11,histai_0290_slide_H&E_0,TCGA-D8-A1JG-01Z-00-DX1.BA6D5CC7-3A9B-4D17-A86A-B159D345A216,TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083
12,histai_0313_slide_H&E_0,102737-2,histai_0461_slide_H&E_0
13,histai_1505_slide_H&E_0,TCGA-BH-A0HF-01Z-00-DX1.1EB2F7CE-54F4-4E41-A3CF-78209770B7CE,TCGA-BH-A0B3-01Z-00-DX1.90CB0ED5-FBB7-4ABF-93A0-DD88D60D3D55
