,train,val,test
143338,True,False,False
histai_0695_slide_H&E_0,True,False,False
histai_0247_slide_H&E_0,True,False,False
histai_0876_slide_H&E_0,True,False,False
histai_0256_slide_H&E_0,True,False,False
histai_1520_slide_H&E_0,True,False,False
histai_0942_slide_H&E_0,True,False,False
histai_0055_slide_H&E_0,True,False,False
histai_1551_slide_H&E_0,True,False,False
histai_1528_slide_H&E_0,True,False,False
histai_1457_slide_H&E_0,True,False,False
histai_0201_slide_H&E_0,True,False,False
histai_1109_slide_H&E_0,True,False,False
histai_0128_slide_H&E_0,True,False,False
histai_1506_slide_H&E_0,True,False,False
histai_1599_slide_H&E_0,True,False,False
histai_1409_slide_H&E_0,True,False,False
histai_1493_slide_H&E_0,True,False,False
histai_1372_slide_H&E_0,True,False,False
histai_1215_slide_H&E_0,True,False,False
histai_0976_slide_H&E_0,True,False,False
histai_0394_slide_H&E_0,True,False,False
histai_0821_slide_H&E_0,True,False,False
histai_1553_slide_H&E_0,True,False,False
histai_0594_slide_H&E_0,True,False,False
histai_0794_slide_H&E_0,True,False,False
histai_1471_slide_H&E_0,True,False,False
histai_0475_slide_H&E_0,True,False,False
AP_494_OT_1808_14-2785_MxBr_91_HE,True,False,False
131461-1,True,False,False
108129-1,True,False,False
120411,True,False,False
141419,True,False,False
TCGA-D8-A1JU-01Z-00-DX1.355D93B4-E69E-417C-B3D1-3E1AAF1E02FE,True,False,False
TCGA-E2-A15L-01Z-00-DX1.626032DC-D396-48E7-B888-DFEBCF7102FF,True,False,False
TCGA-BH-A0DV-01Z-00-DX1.2F0B5FB3-40F0-4D27-BFAC-390FB9A42B39,True,False,False
TCGA-E2-A14O-01Z-00-DX1.432DB252-35D4-4B02-B0A7-39BF85A38F89,True,False,False
TCGA-B6-A0IA-01Z-00-DX1.8A868F0A-6CE2-46A7-AF0C-C5FC5D657D86,True,False,False
TCGA-AR-A0TZ-01Z-00-DX1.2D58BE38-03F6-4310-8E06-F1A523FB0904,True,False,False
TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46,True,False,False
TCGA-BH-A0EI-01Z-00-DX1.929E126A-C9F8-4240-BF00-B6C4A57B7FF6,True,False,False
TCGA-D8-A1XB-01Z-00-DX1.DA8E2FA4-DBBA-4157-8052-B90FB3BB58F1,True,False,False
TCGA-BH-A0BO-01Z-00-DX1.1A704471-FEB3-40F9-9838-3E347A18285F,True,False,False
TCGA-EW-A1PE-01Z-00-DX1.8EF56824-0B37-4AD1-AF3E-7988FCBEF773,True,False,False
TCGA-BH-A0DQ-01Z-00-DX1.5A98747C-52D9-45AD-BC84-934A96F069EB,True,False,False
TCGA-A7-A0DB-01Z-00-DX2.6C6A5F9C-294F-4A86-A0F1-B68D4729B535,True,False,False
TCGA-BH-A18I-01Z-00-DX1.EE699DE3-EBF4-4AB4-8319-9911F027FA18,True,False,False
