,train,val,test
0,124806-1,128423,TCGA-BH-A0BC-01Z-00-DX1.7A91831D-9625-49FC-B783-C633F80F898C
1,TCGA-LL-A5YL-01Z-00-DX1.164C74AB-87D5-46CC-9D96-33FE1F88DC80,histai_0200_slide_H&E_0,histai_0741_slide_H&E_0
2,TCGA-A2-A0T6-01Z-00-DX1.207A3883-5B41-40EB-95A1-D64C9610650B,TCGA-AR-A5QP-01Z-00-DX1.256FDB13-1F81-42DA-AF6E-8A94835550C1,histai_0749_slide_H&E_0
3,TCGA-EW-A1P6-01Z-00-DX1.A8024C26-6336-4858-88FD-5679795899BA,histai_0503_slide_H&E_0,histai_0243_slide_H&E_0
4,OT_1788_AP_487_13845_MxBr_26_HE,histai_0358_slide_H&E_0,histai_0745_slide_H&E_0
5,TCGA-AC-A3HN-01Z-00-DX1.1AA71B9B-1B61-41A9-91CF-B7649DEC189E,histai_1464_slide_H&E_0,histai_0226_slide_H&E_0
6,TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083,histai_1275_slide_H&E_0,histai_0734_slide_H&E_0
7,150986-2,histai_1268_slide_H&E_0,histai_0238_slide_H&E_0
8,TCGA-BH-A0H6-01Z-00-DX1.0CF7253A-B42C-4778-B1C6-17EC78A039ED,histai_0852_slide_H&E_0,histai_0900_slide_H&E_0
9,TCGA-A7-A0CD-01Z-00-DX1.F045B9C8-049C-41BF-8432-EF89F236D34D,histai_0206_slide_H&E_0,histai_1376_slide_H&E_0
10,TCGA-D8-A27T-01Z-00-DX1.1E3A4D57-9CF2-4EBF-B74D-ADD7BD8CBFA5,TCGA-AR-A255-01Z-00-DX1.E67C081D-50C9-451C-814B-F097B2671300,135242
11,129150,119287,histai_0965_slide_H&E_0
12,TCGA-BH-A18N-01Z-00-DX1.FE0E24A1-8AE9-4021-B9C7-B408EE0DE329,TCGA-A2-A0YD-01Z-00-DX1.B81FF541-F154-4C49-950B-B6CB723369E2,histai_0232_slide_H&E_0
13,TCGA-AC-A23C-01Z-00-DX1.0E67C785-83D3-49AF-B600-FB5B909AE6ED,histai_0287_slide_H&E_0,histai_0918_slide_H&E_0
14,TCGA-BH-A28O-01Z-00-DX1.B37603E3-BC80-4DDA-B44D-B5F794E3398E,histai_0379_slide_H&E_0,histai_1567_slide_H&E_0
15,124806-2,histai_0480_slide_H&E_0,histai_0962_slide_H&E_0
16,TCGA-D8-A1Y0-01Z-00-DX1.10F40197-4174-43CC-AAD3-8CB85154FB2D,histai_1386_slide_H&E_0,histai_1233_slide_H&E_0
17,TCGA-BH-A0H3-01Z-00-DX1.C6D4DFB9-A4FA-40B2-90EF-75294CBC4523,141758,histai_1421_slide_H&E_0
18,AP656_OT2122_Br0269_HE,histai_1079_slide_H&E_0,TCGA-A7-A0D9-01Z-00-DX2.66CD9ED8-223B-4AC8-AA1A-2481FB0C47B3
19,TCGA-A2-A4RY-01Z-00-DX1.143E32FC-E10F-4590-9C72-32094B24EF8C,histai_1401_slide_H&E_0,histai_1261_slide_H&E_0
20,TCGA-D8-A27V-01Z-00-DX2.81E4FFDF-7123-4AC3-BE24-A82564A6C34C,histai_0289_slide_H&E_0,128766
21,133738-1,132208,153253-2
22,TCGA-BH-A0EA-01Z-00-DX1.85FF2B48-2AF7-4C15-A7E6-FCA68CAB76C7,histai_0984_slide_H&E_0,histai_0361_slide_H&E_0
23,TCGA-AR-A2LO-01Z-00-DX1.A8C81E1E-B224-4CF4-83D4-FFB2F51A7002,histai_0342_slide_H&E_0,histai_0813_slide_H&E_0
24,TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D,histai_1426_slide_H&E_0,histai_1572_slide_H&E_0
25,TCGA-AC-A2FK-01Z-00-DX1.033F3C27-9860-4EF3-9330-37DE5EC45724,histai_0872_slide_H&E_0,histai_0268_slide_H&E_0
26,AP656_OT2122_Br0247_HE,histai_0375_slide_H&E_0,histai_1252_slide_H&E_0
27,TCGA-D8-A145-01Z-00-DX2.B834BF47-1CD6-45EA-BB88-D8ECE1FDDC6A,histai_0220_slide_H&E_0,histai_1280_slide_H&E_0
