,train,val,test
TCGA-AR-A5QP-01Z-00-DX1.256FDB13-1F81-42DA-AF6E-8A94835550C1,True,False,False
TCGA-LL-A5YL-01Z-00-DX1.164C74AB-87D5-46CC-9D96-33FE1F88DC80,True,False,False
TCGA-A2-A0T6-01Z-00-DX1.207A3883-5B41-40EB-95A1-D64C9610650B,True,False,False
TCGA-EW-A1P6-01Z-00-DX1.A8024C26-6336-4858-88FD-5679795899BA,True,False,False
OT_1788_AP_487_13845_MxBr_26_HE,True,False,False
TCGA-AC-A3HN-01Z-00-DX1.1AA71B9B-1B61-41A9-91CF-B7649DEC189E,True,False,False
TCGA-LL-A442-01Z-00-DX1.9275EDBD-1C89-4AF3-B02B-19F613A4E083,True,False,False
150986-2,True,False,False
TCGA-BH-A0H6-01Z-00-DX1.0CF7253A-B42C-4778-B1C6-17EC78A039ED,True,False,False
TCGA-A7-A0CD-01Z-00-DX1.F045B9C8-049C-41BF-8432-EF89F236D34D,True,False,False
128766,True,False,False
TCGA-D8-A27T-01Z-00-DX1.1E3A4D57-9CF2-4EBF-B74D-ADD7BD8CBFA5,True,False,False
129150,True,False,False
TCGA-BH-A18N-01Z-00-DX1.FE0E24A1-8AE9-4021-B9C7-B408EE0DE329,True,False,False
TCGA-AC-A23C-01Z-00-DX1.0E67C785-83D3-49AF-B600-FB5B909AE6ED,True,False,False
TCGA-BH-A28O-01Z-00-DX1.B37603E3-BC80-4DDA-B44D-B5F794E3398E,True,False,False
124806-2,True,False,False
TCGA-D8-A1Y0-01Z-00-DX1.10F40197-4174-43CC-AAD3-8CB85154FB2D,True,False,False
TCGA-BH-A0H3-01Z-00-DX1.C6D4DFB9-A4FA-40B2-90EF-75294CBC4523,True,False,False
AP656_OT2122_Br0269_HE,True,False,False
TCGA-A2-A4RY-01Z-00-DX1.143E32FC-E10F-4590-9C72-32094B24EF8C,True,False,False
TCGA-D8-A27V-01Z-00-DX2.81E4FFDF-7123-4AC3-BE24-A82564A6C34C,True,False,False
133738-1,True,False,False
TCGA-BH-A0EA-01Z-00-DX1.85FF2B48-2AF7-4C15-A7E6-FCA68CAB76C7,True,False,False
TCGA-AR-A2LO-01Z-00-DX1.A8C81E1E-B224-4CF4-83D4-FFB2F51A7002,True,False,False
TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D,True,False,False
TCGA-AC-A2FK-01Z-00-DX1.033F3C27-9860-4EF3-9330-37DE5EC45724,True,False,False
AP656_OT2122_Br0247_HE,True,False,False
TCGA-D8-A145-01Z-00-DX2.B834BF47-1CD6-45EA-BB88-D8ECE1FDDC6A,True,False,False
TCGA-BH-A0AU-01Z-00-DX1.E852F218-B15C-4CF8-8FD0-F284043834C4,True,False,False
164001,True,False,False
TCGA-A7-A0CD-01Z-00-DX2.609CED8D-5947-4753-A75B-73A8343B47EC,True,False,False
TCGA-BH-A0BR-01Z-00-DX1.F7912887-8AE9-4391-9B83-9AC7B4FF38EF,True,False,False
TCGA-AC-A2B8-01Z-00-DX1.14F3A9B2-1382-436A-B53C-92FC8495AD48,True,False,False
TCGA-A7-A13G-01Z-00-DX1.C258C545-8C1F-41D4-846F-962A746CBDFB,True,False,False
TCGA-A7-A425-01Z-00-DX1.812A94B1-0403-4298-A6C5-F71AFD3A9995,True,False,False
TCGA-AQ-A7U7-01Z-00-DX1.AB5629A1-399E-402B-AD3D-DAF9F97D8300,True,False,False
126507,True,False,False
153253-2,True,False,False
150986-3,True,False,False
TCGA-AC-A3YJ-01Z-00-DX1.8E665F69-FD8C-419A-871F-3AEE2E5A3A60,True,False,False
TCGA-A7-A0D9-01Z-00-DX1.FBC3B90F-C58B-4476-8354-0AF9248324E3,True,False,False
TCGA-A2-A0YL-01Z-00-DX1.69A438C7-B1E0-4990-B1E6-586C551DC79C,True,False,False
TCGA-D8-A1JI-01Z-00-DX1.9BDB647F-EEAB-4235-BE44-A3815A48CCE0,True,False,False
114357,True,False,False
137536,True,False,False
histai_1426_slide_H&E_0,True,False,False
histai_1556_slide_H&E_0,True,False,False
histai_0272_slide_H&E_0,True,False,False
histai_0404_slide_H&E_0,True,False,False
histai_1339_slide_H&E_0,True,False,False
histai_1462_slide_H&E_0,True,False,False
histai_0238_slide_H&E_0,True,False,False
histai_0695_slide_H&E_0,True,False,False
histai_1218_slide_H&E_0,True,False,False
histai_1360_slide_H&E_0,True,False,False
histai_0843_slide_H&E_0,True,False,False
histai_0802_slide_H&E_0,True,False,False
histai_0247_slide_H&E_0,True,False,False
histai_1322_slide_H&E_0,True,False,False
histai_1263_slide_H&E_0,True,False,False
histai_0386_slide_H&E_0,True,False,False
histai_0759_slide_H&E_0,True,False,False
histai_0562_slide_H&E_0,True,False,False
histai_0147_slide_H&E_0,True,False,False
histai_1389_slide_H&E_0,True,False,False
histai_0330_slide_H&E_0,True,False,False
histai_1691_slide_H&E_0,True,False,False
histai_1511_slide_H&E_0,True,False,False
histai_0937_slide_H&E_0,True,False,False
histai_1203_slide_H&E_0,True,False,False
histai_0073_slide_H&E_0,True,False,False
histai_0973_slide_H&E_0,True,False,False
histai_0876_slide_H&E_0,True,False,False
histai_0346_slide_H&E_0,True,False,False
histai_0886_slide_H&E_0,True,False,False
histai_1144_slide_H&E_0,True,False,False
histai_0191_slide_H&E_0,True,False,False
histai_0236_slide_H&E_0,True,False,False
histai_0256_slide_H&E_0,True,False,False
histai_0275_slide_H&E_0,True,False,False
histai_1078_slide_H&E_0,True,False,False
histai_0801_slide_H&E_0,True,False,False
histai_0160_slide_H&E_0,True,False,False
histai_0090_slide_H&E_0,True,False,False
histai_1387_slide_H&E_0,True,False,False
histai_1014_slide_H&E_0,True,False,False
histai_1134_slide_H&E_0,True,False,False
histai_0888_slide_H&E_0,True,False,False
histai_1208_slide_H&E_0,True,False,False
histai_0366_slide_H&E_0,True,False,False
histai_0402_slide_H&E_0,True,False,False
histai_0473_slide_H&E_0,True,False,False
histai_1464_slide_H&E_0,True,False,False
histai_0980_slide_H&E_0,True,False,False
histai_0438_slide_H&E_0,True,False,False
histai_0617_slide_H&E_0,True,False,False
histai_1438_slide_H&E_0,True,False,False
histai_0134_slide_H&E_0,True,False,False
157820-1,True,False,False
histai_1070_slide_H&E_0,True,False,False
histai_0392_slide_H&E_0,True,False,False
histai_0162_slide_H&E_0,True,False,False
histai_0962_slide_H&E_0,True,False,False
histai_1169_slide_H&E_0,True,False,False
histai_1226_slide_H&E_0,True,False,False
histai_1309_slide_H&E_0,True,False,False
histai_0207_slide_H&E_0,True,False,False
histai_0575_slide_H&E_0,True,False,False
histai_1390_slide_H&E_0,True,False,False
histai_0243_slide_H&E_0,True,False,False
histai_1413_slide_H&E_0,True,False,False
histai_0344_slide_H&E_0,True,False,False
histai_0172_slide_H&E_0,True,False,False
histai_0143_slide_H&E_0,True,False,False
histai_1572_slide_H&E_0,True,False,False
histai_0726_slide_H&E_0,True,False,False
histai_0291_slide_H&E_0,True,False,False
histai_0082_slide_H&E_0,True,False,False
histai_1148_slide_H&E_0,True,False,False
histai_0535_slide_H&E_0,True,False,False
histai_0389_slide_H&E_0,True,False,False
histai_0317_slide_H&E_0,True,False,False
histai_0101_slide_H&E_0,True,False,False
histai_0309_slide_H&E_0,True,False,False
histai_1011_slide_H&E_0,True,False,False
histai_0804_slide_H&E_0,True,False,False
histai_0715_slide_H&E_0,True,False,False
histai_1259_slide_H&E_0,True,False,False
histai_1035_slide_H&E_0,True,False,False
histai_1241_slide_H&E_0,True,False,False
histai_0474_slide_H&E_0,True,False,False
histai_0221_slide_H&E_0,True,False,False
histai_1571_slide_H&E_0,True,False,False
histai_1333_slide_H&E_0,True,False,False
histai_0969_slide_H&E_0,True,False,False
histai_1385_slide_H&E_0,True,False,False
histai_0227_slide_H&E_0,True,False,False
histai_0785_slide_H&E_0,True,False,False
histai_1229_slide_H&E_0,True,False,False
histai_0289_slide_H&E_0,True,False,False
histai_0904_slide_H&E_0,True,False,False
histai_0324_slide_H&E_0,True,False,False
histai_0918_slide_H&E_0,True,False,False
histai_1688_slide_H&E_0,True,False,False
histai_1314_slide_H&E_0,True,False,False
histai_1312_slide_H&E_0,True,False,False
histai_0822_slide_H&E_0,True,False,False
histai_1460_slide_H&E_0,True,False,False
histai_0055_slide_H&E_0,True,False,False
histai_0376_slide_H&E_0,True,False,False
histai_1060_slide_H&E_0,True,False,False
histai_0673_slide_H&E_0,True,False,False
histai_1127_slide_H&E_0,True,False,False
histai_1551_slide_H&E_0,True,False,False
histai_0393_slide_H&E_0,True,False,False
histai_0882_slide_H&E_0,True,False,False
histai_0157_slide_H&E_0,True,False,False
histai_1094_slide_H&E_0,True,False,False
histai_0839_slide_H&E_0,True,False,False
histai_0703_slide_H&E_0,True,False,False
histai_1100_slide_H&E_0,True,False,False
histai_0187_slide_H&E_0,True,False,False
histai_1375_slide_H&E_0,True,False,False
histai_1111_slide_H&E_0,True,False,False
histai_1394_slide_H&E_0,True,False,False
histai_1061_slide_H&E_0,True,False,False
histai_0686_slide_H&E_0,True,False,False
histai_1113_slide_H&E_0,True,False,False
histai_1242_slide_H&E_0,True,False,False
histai_1407_slide_H&E_0,True,False,False
histai_0621_slide_H&E_0,True,False,False
histai_0669_slide_H&E_0,True,False,False
histai_1166_slide_H&E_0,True,False,False
histai_1573_slide_H&E_0,True,False,False
histai_0209_slide_H&E_0,True,False,False
histai_0378_slide_H&E_0,True,False,False
histai_0930_slide_H&E_0,True,False,False
histai_0853_slide_H&E_0,True,False,False
histai_1251_slide_H&E_0,True,False,False
histai_0658_slide_H&E_0,True,False,False
histai_0836_slide_H&E_0,True,False,False
histai_0304_slide_H&E_0,True,False,False
histai_1193_slide_H&E_0,True,False,False
histai_0226_slide_H&E_0,True,False,False
histai_0965_slide_H&E_0,True,False,False
histai_0636_slide_H&E_0,True,False,False
histai_0832_slide_H&E_0,True,False,False
histai_0765_slide_H&E_0,True,False,False
histai_0182_slide_H&E_0,True,False,False
histai_1136_slide_H&E_0,True,False,False
histai_1297_slide_H&E_0,True,False,False
histai_1448_slide_H&E_0,True,False,False
histai_1302_slide_H&E_0,True,False,False
histai_0439_slide_H&E_0,True,False,False
histai_1466_slide_H&E_0,True,False,False
histai_1378_slide_H&E_0,True,False,False
histai_0274_slide_H&E_0,True,False,False
histai_1031_slide_H&E_0,True,False,False
histai_0650_slide_H&E_0,True,False,False
histai_1048_slide_H&E_0,True,False,False
histai_1096_slide_H&E_0,True,False,False
histai_1116_slide_H&E_0,True,False,False
histai_0216_slide_H&E_0,True,False,False
histai_1501_slide_H&E_0,True,False,False
histai_0717_slide_H&E_0,True,False,False
histai_1477_slide_H&E_0,True,False,False
histai_1023_slide_H&E_0,True,False,False
histai_1540_slide_H&E_0,True,False,False
histai_1516_slide_H&E_0,True,False,False
histai_0549_slide_H&E_0,True,False,False
histai_1293_slide_H&E_0,True,False,False
histai_1228_slide_H&E_0,True,False,False
histai_0840_slide_H&E_0,True,False,False
histai_1279_slide_H&E_0,True,False,False
histai_1371_slide_H&E_0,True,False,False
histai_0987_slide_H&E_0,True,False,False
histai_1376_slide_H&E_0,True,False,False
histai_0780_slide_H&E_0,True,False,False
histai_1457_slide_H&E_0,True,False,False
histai_0285_slide_H&E_0,True,False,False
histai_0201_slide_H&E_0,True,False,False
histai_0958_slide_H&E_0,True,False,False
histai_1451_slide_H&E_0,True,False,False
histai_0979_slide_H&E_0,True,False,False
histai_1133_slide_H&E_0,True,False,False
histai_1055_slide_H&E_0,True,False,False
histai_0094_slide_H&E_0,True,False,False
histai_0604_slide_H&E_0,True,False,False
histai_1447_slide_H&E_0,True,False,False
histai_1147_slide_H&E_0,True,False,False
histai_0825_slide_H&E_0,True,False,False
histai_1518_slide_H&E_0,True,False,False
histai_1555_slide_H&E_0,True,False,False
histai_1076_slide_H&E_0,True,False,False
histai_1563_slide_H&E_0,True,False,False
histai_0462_slide_H&E_0,True,False,False
histai_0567_slide_H&E_0,True,False,False
histai_0490_slide_H&E_0,True,False,False
histai_0399_slide_H&E_0,True,False,False
histai_0762_slide_H&E_0,True,False,False
histai_0524_slide_H&E_0,True,False,False
histai_0946_slide_H&E_0,True,False,False
histai_0033_slide_H&E_0,True,False,False
histai_0501_slide_H&E_0,True,False,False
histai_0864_slide_H&E_0,True,False,False
histai_1057_slide_H&E_0,True,False,False
histai_1102_slide_H&E_0,True,False,False
histai_0168_slide_H&E_0,True,False,False
histai_1519_slide_H&E_0,True,False,False
histai_1104_slide_H&E_0,True,False,False
histai_0900_slide_H&E_0,True,False,False
histai_1264_slide_H&E_0,True,False,False
histai_1064_slide_H&E_0,True,False,False
histai_0948_slide_H&E_0,True,False,False
histai_0618_slide_H&E_0,True,False,False
histai_1278_slide_H&E_0,True,False,False
histai_0141_slide_H&E_0,True,False,False
histai_0173_slide_H&E_0,True,False,False
histai_0484_slide_H&E_0,True,False,False
histai_0460_slide_H&E_0,True,False,False
histai_0994_slide_H&E_0,True,False,False
histai_0907_slide_H&E_0,True,False,False
histai_0869_slide_H&E_0,True,False,False
histai_1008_slide_H&E_0,True,False,False
histai_1079_slide_H&E_0,True,False,False
histai_1382_slide_H&E_0,True,False,False
histai_0938_slide_H&E_0,True,False,False
histai_1401_slide_H&E_0,True,False,False
histai_1509_slide_H&E_0,True,False,False
histai_1348_slide_H&E_0,True,False,False
histai_1372_slide_H&E_0,True,False,False
histai_0813_slide_H&E_0,True,False,False
histai_0364_slide_H&E_0,True,False,False
histai_0232_slide_H&E_0,True,False,False
histai_0779_slide_H&E_0,True,False,False
histai_0963_slide_H&E_0,True,False,False
histai_0503_slide_H&E_0,True,False,False
histai_0792_slide_H&E_0,True,False,False
histai_0189_slide_H&E_0,True,False,False
histai_0417_slide_H&E_0,True,False,False
histai_1521_slide_H&E_0,True,False,False
histai_1529_slide_H&E_0,True,False,False
histai_0308_slide_H&E_0,True,False,False
histai_0103_slide_H&E_0,True,False,False
histai_0200_slide_H&E_0,True,False,False
histai_1362_slide_H&E_0,True,False,False
histai_1093_slide_H&E_0,True,False,False
histai_0725_slide_H&E_0,True,False,False
histai_1397_slide_H&E_0,True,False,False
histai_1025_slide_H&E_0,True,False,False
histai_1227_slide_H&E_0,True,False,False
histai_1157_slide_H&E_0,True,False,False
histai_1213_slide_H&E_0,True,False,False
histai_0646_slide_H&E_0,True,False,False
histai_1335_slide_H&E_0,True,False,False
histai_1154_slide_H&E_0,True,False,False
histai_0269_slide_H&E_0,True,False,False
histai_0241_slide_H&E_0,True,False,False
histai_1298_slide_H&E_0,True,False,False
histai_0374_slide_H&E_0,True,False,False
histai_1233_slide_H&E_0,True,False,False
histai_0251_slide_H&E_0,True,False,False
histai_0368_slide_H&E_0,True,False,False
histai_0634_slide_H&E_0,True,False,False
histai_0315_slide_H&E_0,True,False,False
histai_1275_slide_H&E_0,True,False,False
histai_0626_slide_H&E_0,True,False,False
histai_0476_slide_H&E_0,True,False,False
histai_0941_slide_H&E_0,True,False,False
histai_0632_slide_H&E_0,True,False,False
histai_0396_slide_H&E_0,True,False,False
histai_1152_slide_H&E_0,True,False,False
