,train,val,test
B25-158771_2,True,False,False
B25-158771,True,False,False
109609,True,False,False
154142,True,False,False
histai_1598_slide_H&E_0,True,False,False
histai_1483_slide_H&E_0,True,False,False
histai_1138_slide_H&E_0,True,False,False
histai_1582_slide_H&E_0,True,False,False
histai_1645_slide_H&E_0,True,False,False
histai_1578_slide_H&E_0,True,False,False
histai_1602_slide_H&E_0,True,False,False
histai_1583_slide_H&E_0,True,False,False
histai_1679_slide_H&E_0,True,False,False
histai_0412_slide_H&E_0,True,False,False
histai_0751_slide_H&E_0,True,False,False
histai_0791_slide_H&E_0,True,False,False
histai_1167_slide_H&E_0,True,False,False
histai_1115_slide_H&E_0,True,False,False
histai_0945_slide_H&E_0,True,False,False
histai_0319_slide_H&E_0,True,False,False
histai_1620_slide_H&E_0,True,False,False
histai_1487_slide_H&E_0,True,False,False
histai_1662_slide_H&E_0,True,False,False
124733,True,False,False
149875,True,False,False
145814,True,False,False
109523,True,False,False
155981,True,False,False
125797,True,False,False
145083,True,False,False
155957-2,True,False,False
149622,True,False,False
154773,True,False,False
1578281-1,True,False,False
155956-B,True,False,False
155956-A,True,False,False
AP473_OT1760_14411_MxBr_35_HE,True,False,False
126751,True,False,False
132208,True,False,False
144313,True,False,False
154400-2,True,False,False
149567-2,True,False,False
124806-2,True,False,False
148781,True,False,False
B25-152248,True,False,False
OT_1788_AP_487__12073_1R1_MxBr_06_HE,True,False,False
TCGA-OK-A5Q2-01Z-00-DX3.5F9215C3-E407-46F8-968E-503D7D14605C,True,False,False
TCGA-BH-A0HP-01Z-00-DX1.F1FF6E88-B2D1-40AA-8373-1714D82E666F,True,False,False
105040,True,False,False
TCGA-AR-A0TS-01Z-00-DX1.2DB81A2E-16C1-4EE0-8175-65FA46768277,True,False,False
TCGA-A7-A0CE-01Z-00-DX1.E67322FB-ED25-4B85-B3B0-2B8BD277BB4A,True,False,False
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,True,False,False
TCGA-BH-A0C0-01Z-00-DX1.2D32D35A-EB7E-4D0E-BE5F-E56F7B930463,True,False,False
TCGA-LD-A7W6-01Z-00-DX1.3E125146-B447-4973-AE09-6D374970B46C,True,False,False
TCGA-BH-A0W7-01Z-00-DX1.93F11232-A1FB-4682-B744-3531D4DF11AF,True,False,False
TCGA-BH-A18F-01Z-00-DX1.81A81589-2D77-4CD6-BD34-76E292AA031D,True,False,False
TCGA-GM-A3NY-01Z-00-DX1.BEED8B8F-5A1B-4CE2-BB5D-A7ED40551AE4,True,False,False
TCGA-A2-A3XW-01Z-00-DX1.45F5F36F-5503-4A38-AF37-E526915A8DBE,True,False,False
