slide,n_parches,n_marcados,auc,ee,ic95_lo,ic95_hi,p_nulo,n_iter_nulo,fuente,rama,tier,etiqueta,n_poligonos,confianza
110616,2933,44,0.9356178608515057,0.02575308735769481,0.8851418096304239,0.9860939120725875,0.022222222222222223,44,json_out_ensemble,predicha:no_identificado,train,no_identificado,6,0.6471015214920044
110616,2933,44,0.7752053242707448,0.04172627671257121,0.6934218219141053,0.8569888266273844,0.01694915254237288,58,ckpt_1fold_verdadera,verdadera:no_identificado,train,no_identificado,6,
110616,2933,44,0.7752053242707448,0.04172627671257121,0.6934218219141053,0.8569888266273844,0.017857142857142856,55,ckpt_1fold_predicha,predicha:no_identificado,train,no_identificado,6,
124729,4334,32,0.948352510460251,0.02730842480403509,0.8948279978443423,1.0018770230761598,0.004975124378109453,200,json_out_ensemble,predicha:si,train,si,5,0.9803740382194519
124729,4334,32,0.9292117038586704,0.03148468770010302,0.8675017159664684,0.9909216917508723,0.004975124378109453,200,ckpt_1fold_verdadera,verdadera:si,train,si,5,
124729,4334,32,0.9292117038586704,0.03148468770010302,0.8675017159664684,0.9909216917508723,0.004975124378109453,200,ckpt_1fold_predicha,predicha:si,train,si,5,
124806,2705,9,0.921529838443785,0.06210147814479443,0.7998109412799879,1.0432487356075821,0.004975124378109453,200,json_out_ensemble,predicha:si,val,si,2,0.9364691972732544
124806,2705,9,0.9254451038575667,0.06072700950897991,0.8064201652199661,1.0444700424951674,0.004975124378109453,200,ckpt_1fold_verdadera,verdadera:si,val,si,2,
124806,2705,9,0.9254451038575667,0.06072700950897991,0.8064201652199661,1.0444700424951674,0.004975124378109453,200,ckpt_1fold_predicha,predicha:si,val,si,2,
126504,4410,2,0.7025862068965517,0.20768640951270612,0.2955208442516477,1.1096515695414557,0.3333333333333333,200,json_out_ensemble,predicha:si,test,si,1,0.898879885673523
126504,4410,2,0.7037205081669692,0.2075554155829874,0.29691189362431386,1.1105291227096246,0.30845771144278605,200,ckpt_1fold_verdadera,verdadera:si,test,si,1,
126504,4410,2,0.7037205081669692,0.2075554155829874,0.29691189362431386,1.1105291227096246,0.27860696517412936,200,ckpt_1fold_predicha,predicha:si,test,si,1,
128250,4489,33,0.7880079973886078,0.04730731916255638,0.6952856518299974,0.8807303429472183,0.04975124378109453,200,json_out_ensemble,predicha:si,train,si,4,0.9848772287368774
128250,4489,33,0.7452328491376965,0.0496575654316058,0.6479040208917491,0.8425616773836438,0.10945273631840796,200,ckpt_1fold_verdadera,verdadera:si,train,si,4,
128250,4489,33,0.7452328491376965,0.0496575654316058,0.6479040208917491,0.8425616773836438,0.12437810945273632,200,ckpt_1fold_predicha,predicha:si,train,si,4,
131461-1,7839,28,0.8515783601880133,0.04558968569761859,0.7622225762206808,0.9409341441553457,0.05970149253731343,200,json_out_ensemble,predicha:si,train,si,4,0.8540574312210083
131461-1,7839,28,0.7147338003182325,0.05514806140218332,0.6066435999699532,0.8228240006665118,0.004975124378109453,200,ckpt_1fold_verdadera,verdadera:si,train,si,4,
131461-1,7839,28,0.7147338003182325,0.05514806140218332,0.6066435999699532,0.8228240006665118,0.004975124378109453,200,ckpt_1fold_predicha,predicha:si,train,si,4,
132844,2292,3,0.8719965050240279,0.13169444941886493,0.6138753841630527,1.1301176258850032,0.24378109452736318,200,json_out_ensemble,predicha:no,val,si,1,0.5995500683784485
132844,2292,3,0.7553516819571865,0.16288825626279005,0.436090699682118,1.074612664232255,0.2885572139303483,200,ckpt_1fold_verdadera,verdadera:si,val,si,1,
132844,2292,3,0.9187418086500655,0.10919208340917887,0.704725325168075,1.132758292132056,0.05472636815920398,200,ckpt_1fold_predicha,predicha:no,val,si,1,
142541-1,5875,4,0.8404019758133197,0.12376331083958465,0.5978258865677337,1.0829780650589056,0.04477611940298507,200,json_out_ensemble,predicha:si,train,si,1,0.7622219324111938
142541-1,5875,4,0.7220660875489695,0.14507800174927477,0.43771320412039094,1.0064189709775482,0.3034825870646766,200,ckpt_1fold_verdadera,verdadera:si,train,si,1,
142541-1,5875,4,0.7220660875489695,0.14507800174927477,0.43771320412039094,1.0064189709775482,0.22388059701492538,200,ckpt_1fold_predicha,predicha:si,train,si,1,
164001,3796,6,0.9990765171503958,0.00876759950147849,0.9818920221274979,1.0162610121732936,0.004975124378109453,200,json_out_ensemble,predicha:si,val,si,3,0.6317657232284546
164001,3796,6,0.9263852242744063,0.07394853787739561,0.7814460900347109,1.0713243585141017,0.004975124378109453,200,ckpt_1fold_verdadera,verdadera:si,val,si,3,
164001,3796,6,0.740589270008795,0.1167786759979925,0.5117030650527297,0.9694754749648604,0.24875621890547264,200,ckpt_1fold_predicha,predicha:no_identificado,val,si,3,
B25-158899,4697,7,0.23643009442583005,0.07035850909840206,0.09852741659296199,0.3743327722586981,0.9203980099502488,200,json_out_ensemble,predicha:si,fuera,None,3,0.9658163785934448
B25-158899,4697,7,0.1980810234541578,0.06138967142235829,0.07775726746633554,0.31840477944198003,0.9950248756218906,200,ckpt_1fold_predicha,predicha:si,fuera,None,3,
