rank,expert,slot,mean_combine_weight,mean_routing_logit
0,21,0,5.769029e-02,1.047299e+00
1,3,2,4.942344e-02,1.095670e+00
2,2,6,4.628144e-02,8.757262e-01
3,13,6,4.088028e-02,1.153433e+00
4,12,9,3.705159e-02,-2.582423e-01
5,27,3,3.640709e-02,1.110073e+00
6,19,9,3.224897e-02,7.252020e-02
7,21,2,2.818376e-02,1.892585e-01
8,5,0,2.353902e-02,-1.318256e-01
9,14,9,2.250282e-02,8.369704e-01
10,28,0,2.129985e-02,1.189803e+00
11,8,1,1.931642e-02,6.916688e-01
12,28,4,1.853505e-02,4.313275e-01
13,16,2,1.761028e-02,8.657073e-01
14,14,8,1.735357e-02,7.633694e-01
15,15,7,1.564053e-02,2.275817e+00
16,13,3,1.521608e-02,-1.161217e+00
17,19,6,1.445324e-02,-4.315151e-01
18,28,5,1.435477e-02,1.898388e+00
19,21,6,1.321950e-02,-3.492699e-01
20,8,0,1.290783e-02,1.489384e+00
21,5,1,1.289778e-02,8.171380e-01
22,27,5,1.227024e-02,1.467346e-01
23,13,5,1.192472e-02,-6.582561e-01
24,10,6,1.186898e-02,1.580275e+00
25,2,8,1.156232e-02,-8.271949e-01
26,0,1,1.084637e-02,8.035609e-01
27,1,2,9.656712e-03,1.048377e+00
28,28,9,8.499666e-03,-1.512935e+00
29,21,1,8.097381e-03,1.515218e+00
30,29,6,7.360628e-03,-7.500871e-01
31,9,5,7.117668e-03,4.283630e-01
32,10,1,6.982051e-03,1.097221e-01
33,23,2,6.674469e-03,6.273370e-01
34,12,5,6.657415e-03,-8.536714e-01
35,20,0,6.483314e-03,2.832764e-01
36,7,0,6.438887e-03,4.930091e-01
37,19,5,6.433333e-03,-5.895394e-01
38,14,2,6.411773e-03,1.405843e-01
39,27,7,6.367952e-03,1.958411e+00
40,19,2,6.132503e-03,5.295810e-01
41,4,9,5.728111e-03,1.638706e+00
42,13,7,5.590414e-03,2.599744e-01
43,4,5,5.420563e-03,6.909158e-01
44,11,8,5.327097e-03,2.254709e+00
45,21,8,5.256894e-03,-6.139912e-01
46,6,5,4.803891e-03,5.846431e-01
47,24,5,4.721708e-03,-3.437035e-01
48,17,4,4.626212e-03,-2.675816e-01
49,14,5,4.281710e-03,1.767395e+00
50,13,2,3.973726e-03,1.320948e+00
51,29,7,3.944424e-03,2.159694e-01
52,15,5,3.873201e-03,2.273921e+00
53,3,1,3.861620e-03,-7.871167e-02
54,23,4,3.637491e-03,-1.101967e+00
55,17,1,3.613655e-03,-1.691363e-01
56,29,5,3.602742e-03,-1.317958e-01
