rank,expert,slot,mean_combine_weight,mean_routing_logit
0,28,4,2.860055e-02,6.043845e-01
1,6,9,2.806213e-02,1.412543e+00
2,13,6,2.400272e-02,1.087161e+00
3,28,5,2.129911e-02,1.209384e+00
4,19,9,2.071928e-02,2.207295e-01
5,1,7,1.952391e-02,1.036215e+00
6,26,2,1.741095e-02,2.726026e-01
7,13,5,1.712392e-02,5.026286e-02
8,10,5,1.675184e-02,7.333480e-01
9,19,5,1.416993e-02,-4.163711e-01
10,22,3,1.234253e-02,1.357938e+00
11,29,7,1.217320e-02,-1.662710e-01
12,2,7,1.162715e-02,1.200219e+00
13,18,5,1.120387e-02,1.728134e+00
14,17,3,1.104524e-02,5.785382e-01
15,15,7,1.097398e-02,1.422596e-01
16,6,2,1.018932e-02,-4.247787e-01
17,7,3,1.016138e-02,5.805771e-02
18,2,5,9.551779e-03,1.601230e+00
19,9,0,9.480898e-03,-2.003096e-01
20,22,9,9.373795e-03,-4.172661e-01
21,21,8,9.237368e-03,-2.944278e-02
22,2,0,9.204813e-03,5.998208e-02
23,6,5,8.735050e-03,4.404246e-01
24,26,8,8.525156e-03,4.016609e-01
25,15,2,8.466262e-03,1.621835e+00
26,23,5,8.460850e-03,1.760949e-02
27,2,6,7.997585e-03,-1.112995e+00
28,19,2,7.985184e-03,-2.098904e-01
29,13,3,7.965529e-03,1.202609e-01
30,16,6,7.589333e-03,-2.836109e-01
31,26,1,7.528819e-03,6.010005e-01
32,6,6,7.386165e-03,1.234320e+00
33,16,2,6.999807e-03,5.040882e-01
34,7,9,6.983367e-03,-3.753279e-01
35,7,5,6.916312e-03,3.693184e-01
36,7,0,6.852498e-03,-5.601964e-01
37,5,9,6.834495e-03,-2.201869e-01
38,22,6,6.736349e-03,-3.021939e-01
39,0,3,6.700542e-03,-1.671439e+00
40,8,7,6.184925e-03,1.614437e+00
41,4,5,6.137402e-03,-1.887947e-01
42,17,0,6.017114e-03,1.659887e+00
43,10,1,5.881477e-03,2.753378e-01
44,19,6,5.438885e-03,-2.840691e-01
45,25,7,5.373532e-03,1.539329e-02
46,13,2,5.371258e-03,7.560552e-01
47,2,9,5.246508e-03,8.365322e-01
48,13,4,5.181949e-03,9.877905e-01
49,11,8,5.164186e-03,1.680444e-01
50,19,3,5.014549e-03,2.375126e-01
51,11,9,5.012276e-03,-2.651362e-01
52,21,6,4.982582e-03,-3.119448e-01
53,7,2,4.963508e-03,-3.922991e-02
54,12,7,4.878336e-03,1.979931e-01
55,15,9,4.854173e-03,-1.280408e-01
56,3,1,4.793552e-03,-4.069948e-01
57,29,9,4.691392e-03,-5.458258e-01
58,12,5,4.582910e-03,4.833563e-01
59,3,2,4.546414e-03,-9.833096e-02
60,21,0,4.517194e-03,1.178518e+00
61,16,3,4.486626e-03,6.484190e-01
62,8,1,4.464455e-03,1.825943e-01
63,4,9,4.457144e-03,2.983640e-01
64,22,4,4.422782e-03,-3.532565e-01
65,11,2,4.392779e-03,2.439889e-01
66,23,1,4.360778e-03,2.975272e-01
67,27,7,4.160169e-03,3.081677e-01
68,26,6,4.132585e-03,1.992477e-01
69,15,3,4.125190e-03,3.455562e-01
70,24,4,4.115598e-03,1.804397e-01
71,0,6,4.075219e-03,1.031264e+00
72,29,2,4.031612e-03,-4.355941e-01
73,15,8,3.955404e-03,5.146639e-01
74,23,2,3.894712e-03,1.172677e-01
75,19,0,3.884362e-03,-3.065999e-01
76,15,5,3.855171e-03,2.167122e-01
77,11,0,3.833039e-03,1.599955e-01
78,3,7,3.720835e-03,-2.691963e-01
79,3,0,3.696656e-03,-7.028232e-02
80,14,6,3.598482e-03,1.010165e+00
81,28,2,3.531343e-03,-2.396860e-01
82,18,0,3.507311e-03,-1.099338e-01
83,29,4,3.461990e-03,5.735457e-01
84,8,9,3.447880e-03,2.530336e-01
85,12,2,3.414632e-03,1.303761e-01
86,2,8,3.412312e-03,-6.224087e-01
87,17,4,3.397139e-03,1.266007e-01
88,8,0,3.385058e-03,1.376556e+00
89,7,1,3.360156e-03,-1.216820e+00
90,11,7,3.329921e-03,-1.854904e-01
91,13,9,3.259949e-03,-1.065046e+00
92,18,9,3.258018e-03,2.222267e-02
93,9,8,3.237215e-03,-8.811926e-01
94,0,5,3.233307e-03,1.490389e-01
95,25,5,3.223737e-03,1.840503e-01
96,23,8,3.203007e-03,-4.340500e-01
97,6,0,3.169913e-03,-5.515899e-01
98,10,4,3.096572e-03,1.901964e-01
99,22,2,3.093981e-03,-1.309851e+00
100,1,6,3.014837e-03,-8.822510e-02
101,28,7,3.009641e-03,1.117847e+00
102,14,9,2.965503e-03,2.261651e-01
103,27,5,2.842453e-03,-5.143407e-01
104,5,2,2.837209e-03,-2.272046e-02
105,12,6,2.792756e-03,-5.050246e-01
106,24,0,2.783415e-03,-9.510397e-02
107,27,9,2.765686e-03,-2.482786e-01
108,14,8,2.765620e-03,-4.784035e-01
109,4,2,2.730473e-03,6.147916e-01
110,23,4,2.730282e-03,-8.850850e-01
111,7,8,2.728788e-03,-1.696076e-01
112,21,5,2.713697e-03,1.179441e-01
113,16,7,2.696804e-03,1.820227e+00
114,27,1,2.654249e-03,-1.050942e+00
115,14,1,2.645666e-03,-8.179121e-01
116,7,7,2.604187e-03,-2.930192e-01
117,18,2,2.603412e-03,-7.917811e-01
118,12,4,2.523603e-03,-3.161795e-01
119,14,2,2.480472e-03,7.909446e-01
120,5,5,2.435155e-03,3.171301e-01
121,13,7,2.431577e-03,-1.227326e-01
122,7,6,2.419469e-03,-3.488927e-01
123,25,9,2.398389e-03,-1.171253e+00
124,12,3,2.377095e-03,-4.970788e-01
125,20,9,2.356946e-03,1.548582e-02
126,3,5,2.343225e-03,2.450421e-01
127,0,4,2.336708e-03,-1.084328e-01
128,21,3,2.336519e-03,-1.878229e-02
129,27,2,2.314346e-03,-9.711371e-01
130,0,7,2.293047e-03,9.845288e-01
131,29,8,2.195026e-03,-7.082427e-01
132,27,0,2.176222e-03,9.791752e-02
133,5,8,2.166256e-03,4.947167e-01
134,2,2,2.144443e-03,-3.429331e-01
135,4,7,2.105597e-03,-5.456442e-01
136,16,5,2.101981e-03,1.152408e-01
137,27,4,2.075993e-03,4.868025e-01
138,11,3,2.073671e-03,-7.825104e-01
139,18,7,2.065815e-03,8.026701e-01
140,21,7,2.051606e-03,-4.753780e-01
141,10,6,1.986611e-03,3.060894e-01
142,5,7,1.967404e-03,1.473833e-01
143,3,4,1.957170e-03,-2.547911e-01
144,1,5,1.954403e-03,7.765005e-01
145,10,8,1.949809e-03,-3.193038e-01
146,10,0,1.916720e-03,-2.519806e-01
147,6,3,1.913626e-03,-7.332316e-01
148,25,8,1.895113e-03,-1.246293e+00
149,4,4,1.893299e-03,-3.918797e-01
150,26,9,1.862420e-03,1.376861e-01
151,4,0,1.852334e-03,-1.329046e-01
152,7,4,1.845361e-03,-2.451539e-01
153,10,2,1.810262e-03,6.841325e-01
154,26,4,1.792053e-03,8.150744e-01
155,13,0,1.790385e-03,-3.059131e-01
156,26,5,1.766311e-03,-6.754847e-01
157,18,8,1.763248e-03,9.450140e-03
158,16,8,1.744431e-03,1.338000e-01
159,1,8,1.742178e-03,3.626605e-01
160,28,6,1.726886e-03,3.369772e-01
161,4,3,1.724584e-03,-4.004591e-01
162,9,7,1.684407e-03,-6.613826e-02
163,2,1,1.674706e-03,-5.341070e-01
164,9,4,1.673621e-03,-1.360409e+00
165,5,6,1.662780e-03,-1.466091e+00
166,8,3,1.646464e-03,-5.597095e-01
167,1,3,1.631448e-03,7.085019e-01
168,10,9,1.586866e-03,9.264647e-01
169,25,2,1.580115e-03,-1.081411e+00
170,11,4,1.578916e-03,-1.336532e+00
171,15,0,1.569094e-03,3.698786e-01
172,19,4,1.543592e-03,5.041671e-01
173,22,7,1.537749e-03,4.108734e-02
174,22,1,1.533170e-03,2.848160e-01
175,25,0,1.532220e-03,-9.490654e-01
176,29,5,1.499938e-03,-1.789725e-02
177,5,1,1.498839e-03,-9.821811e-01
178,2,3,1.488850e-03,1.850201e-01
