rank,expert,slot,mean_combine_weight,mean_routing_logit
0,6,7,4.934570e-02,-6.735816e-02
1,15,5,2.867695e-02,-4.685864e-02
2,19,9,2.760762e-02,1.501418e+00
3,15,7,2.661919e-02,4.224912e-02
4,26,2,2.054458e-02,7.350155e-01
5,8,6,1.705730e-02,1.340015e-01
6,17,0,1.660685e-02,2.357258e+00
7,23,7,1.624273e-02,-9.685517e-01
8,8,9,1.608369e-02,1.138167e+00
9,28,2,1.551776e-02,1.261990e-01
10,10,9,1.533133e-02,2.061048e+00
11,21,1,1.431222e-02,6.905301e-01
12,6,4,1.400203e-02,1.204481e+00
13,27,0,1.371364e-02,3.006229e-01
14,8,0,1.303788e-02,2.072872e+00
15,23,2,1.296433e-02,1.240671e+00
16,16,0,1.245755e-02,8.740429e-01
17,21,4,1.216895e-02,1.013245e+00
18,3,0,1.198339e-02,-2.695395e-01
19,9,5,1.032506e-02,5.028057e-01
20,5,1,1.012116e-02,5.433104e-01
21,4,9,9.293934e-03,-1.746436e-01
22,9,4,8.665531e-03,-1.372016e+00
23,20,0,8.069101e-03,6.258960e-01
24,14,7,8.053022e-03,1.811754e+00
25,29,3,7.753273e-03,-6.770204e-01
26,9,6,7.745125e-03,-1.103947e+00
27,10,7,7.619811e-03,1.382387e-01
28,10,8,7.534832e-03,9.678662e-02
29,3,1,7.247124e-03,1.316890e+00
30,17,4,7.070777e-03,1.862773e+00
31,24,5,6.871820e-03,1.587128e+00
32,0,0,6.858372e-03,8.567562e-01
33,25,2,6.584499e-03,1.303400e+00
34,2,4,6.428971e-03,3.616647e-01
35,21,2,6.391449e-03,3.763059e-01
36,1,7,6.354027e-03,1.062734e+00
37,4,1,6.339239e-03,-4.246647e-01
38,2,6,6.040382e-03,-1.480884e+00
39,4,7,6.000064e-03,1.456236e-01
40,13,9,5.819732e-03,8.716004e-02
41,3,8,5.649884e-03,5.048353e-01
42,10,5,5.628543e-03,5.491160e-01
43,2,0,5.624944e-03,4.634538e-01
44,10,2,5.575767e-03,8.327550e-01
45,26,6,5.479787e-03,5.722350e-02
46,9,8,5.404877e-03,5.835643e-01
47,28,7,5.331856e-03,1.185620e+00
48,9,0,5.328835e-03,-3.202125e-01
49,26,9,5.137094e-03,-2.542122e-01
50,7,9,5.094422e-03,3.993909e-01
51,0,6,4.873348e-03,-5.486023e-01
52,2,3,4.845170e-03,5.274575e-01
53,10,3,4.711467e-03,5.866629e-01
54,16,7,4.662758e-03,1.403726e+00
55,25,5,4.658438e-03,1.274851e+00
56,8,3,4.635994e-03,-3.748689e-01
57,18,9,4.607719e-03,-9.743866e-01
58,1,5,4.553278e-03,4.360961e-01
59,12,9,4.408774e-03,-2.984186e-01
60,8,1,4.375437e-03,7.495883e-01
61,8,5,4.262315e-03,8.072693e-01
62,25,7,4.218924e-03,2.576351e-01
63,14,9,4.216487e-03,5.816116e-01
64,19,4,4.212544e-03,-4.914959e-01
65,25,4,4.182518e-03,3.391517e-01
66,18,8,4.071761e-03,-1.094393e-02
67,19,7,3.891187e-03,4.049777e-02
68,18,4,3.873796e-03,-3.696338e-01
69,5,3,3.824341e-03,8.294536e-01
70,16,2,3.797823e-03,2.510629e+00
71,16,6,3.787290e-03,2.590373e-01
72,27,4,3.786852e-03,-2.191356e-01
73,12,1,3.673526e-03,9.034674e-01
74,17,3,3.598149e-03,9.925231e-01
75,3,2,3.589471e-03,7.623181e-01
76,2,9,3.416744e-03,9.332992e-01
77,19,1,3.403008e-03,8.545014e-01
78,8,4,3.400970e-03,-3.397610e-01
79,15,6,3.388176e-03,-3.752303e-01
80,28,6,3.385324e-03,-3.062143e-01
81,27,6,3.381199e-03,-1.250338e+00
82,8,8,3.297745e-03,-9.327606e-02
83,17,8,3.201975e-03,-7.592444e-02
84,5,9,3.191259e-03,-1.308676e+00
85,9,2,3.184824e-03,6.677393e-02
86,17,2,3.170863e-03,2.430493e-01
87,22,0,3.153692e-03,-6.417183e-01
88,21,8,3.151519e-03,-6.526045e-01
89,13,5,3.148238e-03,1.013288e+00
90,16,8,3.062051e-03,-1.744249e-01
91,10,1,3.042955e-03,1.224668e+00
92,26,1,3.033252e-03,-8.224073e-02
93,14,5,2.980333e-03,-8.216969e-01
94,21,7,2.938980e-03,9.592158e-01
95,26,8,2.912469e-03,8.846404e-01
96,22,4,2.816546e-03,5.026789e-01
97,29,7,2.805963e-03,-8.431125e-02
98,20,1,2.792462e-03,-2.845358e-02
99,18,6,2.778724e-03,3.337173e-01
100,23,8,2.776440e-03,6.221540e-01
101,28,0,2.766930e-03,-1.134510e+00
102,21,0,2.762976e-03,8.054656e-01
103,28,5,2.728609e-03,5.718552e-03
104,26,0,2.726715e-03,-2.950323e-01
105,29,6,2.719506e-03,-5.903499e-01
106,24,3,2.708465e-03,-9.151376e-01
107,24,9,2.704713e-03,-4.012591e-01
108,15,0,2.694116e-03,-3.392664e-01
109,14,2,2.688533e-03,-2.847262e-01
110,0,4,2.659934e-03,1.204900e-01
111,10,4,2.651129e-03,-7.617901e-01
112,13,0,2.556006e-03,-8.477328e-01
113,9,7,2.493758e-03,-3.683967e-02
114,19,5,2.461644e-03,-3.549041e-01
115,23,5,2.444868e-03,8.029402e-01
116,19,3,2.418187e-03,-4.963986e-02
117,20,4,2.407539e-03,4.101390e-01
118,6,0,2.351356e-03,8.194471e-01
119,13,1,2.350669e-03,3.724502e-02
120,12,0,2.325745e-03,4.000421e-02
121,16,9,2.280435e-03,2.361423e-02
122,14,4,2.264500e-03,5.248035e-01
123,11,7,2.263034e-03,-1.767769e-01
124,9,3,2.253978e-03,8.722789e-01
125,0,2,2.246769e-03,-7.969981e-01
126,17,7,2.204571e-03,-2.871056e-01
127,22,3,2.189967e-03,1.466757e+00
128,19,0,2.167675e-03,1.559590e-01
129,4,3,2.102694e-03,2.126318e-02
130,16,4,2.084349e-03,-7.617884e-01
131,24,2,2.070476e-03,1.172791e+00
132,26,4,2.024830e-03,1.223546e+00
133,11,3,1.981103e-03,7.952045e-01
134,11,9,1.951983e-03,6.562462e-01
135,13,4,1.948700e-03,-2.485323e-02
136,24,4,1.927158e-03,2.793149e-01
137,29,5,1.890594e-03,-3.651552e-01
138,21,6,1.866419e-03,-8.400415e-01
139,13,3,1.834128e-03,9.690177e-01
140,8,7,1.797645e-03,-1.460312e-01
141,26,7,1.779873e-03,-5.046707e-01
142,21,5,1.768389e-03,-3.406658e-01
143,25,3,1.766806e-03,-2.686585e-01
144,12,5,1.764228e-03,5.516592e-01
145,3,9,1.754032e-03,3.621774e-01
146,16,5,1.742696e-03,6.798870e-04
147,25,6,1.731522e-03,-9.394923e-01
148,17,5,1.729648e-03,-1.816566e-01
149,19,6,1.683243e-03,-1.247782e+00
150,29,8,1.653410e-03,-1.314985e+00
151,3,5,1.616028e-03,-3.703892e-01
152,0,7,1.615875e-03,4.571526e-01
153,2,7,1.606988e-03,9.697342e-01
154,14,8,1.596870e-03,-1.163431e+00
155,7,0,1.578222e-03,-6.681701e-01
156,7,2,1.573931e-03,5.040739e-01
157,23,0,1.540849e-03,-6.851288e-01
158,11,0,1.536803e-03,5.394166e-01
159,4,8,1.490660e-03,-9.847873e-01
160,29,0,1.464888e-03,-1.613992e+00
161,12,2,1.463565e-03,-6.144280e-02
162,22,1,1.458873e-03,-1.112342e-01
163,24,6,1.422380e-03,2.280782e-01
164,12,3,1.422200e-03,4.518844e-01
165,16,1,1.422168e-03,-5.531317e-01
166,24,8,1.416528e-03,-4.185968e-01
167,27,7,1.414728e-03,-3.663700e-02
168,15,2,1.384720e-03,8.274085e-01
169,15,3,1.381017e-03,-6.039310e-02
170,3,7,1.380861e-03,1.277618e-01
171,0,1,1.369406e-03,4.129940e-01
172,5,5,1.365333e-03,1.166875e+00
173,11,2,1.350198e-03,2.505263e-01
174,16,3,1.340723e-03,1.081375e+00
175,4,2,1.321130e-03,9.692283e-01
176,26,5,1.317614e-03,-7.582593e-01
177,18,2,1.296137e-03,-1.709771e-01
178,8,2,1.285001e-03,5.315885e-01
179,4,4,1.283766e-03,4.882018e-01
180,28,9,1.278141e-03,-5.243449e-01
181,10,6,1.276971e-03,-1.048142e+00
182,11,5,1.268924e-03,-8.150018e-01
183,11,8,1.263650e-03,1.172033e+00
184,14,6,1.260241e-03,-1.780575e-01
185,24,7,1.258492e-03,-2.884639e-01
186,9,1,1.239965e-03,6.406122e-01
187,5,2,1.222900e-03,-2.062891e-01
188,5,4,1.215689e-03,6.410739e-01
189,3,4,1.207669e-03,-7.375015e-01
190,23,9,1.205332e-03,-1.183776e+00
191,20,6,1.205213e-03,1.751147e-01
192,13,2,1.202886e-03,1.690181e+00
193,12,7,1.200915e-03,-1.667996e-01
194,18,3,1.195866e-03,-9.734581e-01
195,29,4,1.195211e-03,1.676550e+00
196,25,1,1.173269e-03,-1.078872e-01
197,7,1,1.168817e-03,-3.364498e-01
198,2,1,1.153278e-03,1.337547e-01
199,1,0,1.141205e-03,-2.635924e-01
200,11,6,1.139328e-03,-6.289963e-01
201,6,5,1.125172e-03,8.811379e-01
202,0,3,1.098345e-03,-9.433404e-01
203,22,2,1.097628e-03,-1.177707e+00
204,23,6,1.074066e-03,-1.955646e+00
205,3,6,1.069487e-03,2.400812e-01
206,27,5,1.052461e-03,-1.607123e-01
207,19,2,1.047423e-03,-9.833518e-01
208,20,8,1.028654e-03,-2.025848e-02
209,20,2,1.024988e-03,-8.170573e-01
210,13,6,1.020760e-03,3.521597e-01
211,0,8,1.020346e-03,3.470336e-01
212,25,9,1.014185e-03,3.282227e-01
213,3,3,9.997877e-04,4.117122e-01
214,4,5,9.877273e-04,-1.886591e-01
215,2,2,9.861210e-04,1.949783e-01
216,13,7,9.801020e-04,-1.406937e+00
217,7,7,9.433614e-04,-2.404473e-01
218,27,1,9.397411e-04,-2.750724e-01
219,21,3,9.354903e-04,-3.475290e-01
220,1,3,9.223427e-04,1.080957e+00
221,23,4,9.190359e-04,-3.363096e-01
222,20,3,9.188998e-04,-1.118198e+00
223,12,8,9.188149e-04,5.599864e-01
224,18,1,9.014677e-04,-2.443474e-02
225,22,7,8.973073e-04,-4.105271e-01
226,14,3,8.957514e-04,-7.558113e-01
227,1,8,8.833485e-04,-5.465778e-01
228,18,0,8.702870e-04,8.032126e-01
229,28,4,8.631176e-04,-3.481204e-01
230,12,6,8.405114e-04,2.342611e-01
231,26,3,8.393471e-04,6.456850e-02
232,15,9,8.344579e-04,-5.504410e-01
233,17,6,8.324404e-04,5.400821e-02
234,11,1,8.091453e-04,-5.860053e-01
235,20,7,7.879918e-04,1.211038e-02
236,29,1,7.740684e-04,-3.674978e-01
237,15,1,7.733845e-04,-8.589127e-01
238,7,4,7.686475e-04,-1.019099e+00
239,27,9,7.542283e-04,-6.424185e-01
240,5,7,7.526017e-04,3.582413e-01
241,10,0,7.466140e-04,3.581398e-01
242,7,3,7.409120e-04,-5.409909e-01
243,5,6,7.359354e-04,-3.523369e-01
244,4,0,7.216540e-04,-2.869534e-01
245,6,8,7.136330e-04,-1.049531e+00
246,13,8,7.092445e-04,-1.011758e-01
247,12,4,7.057996e-04,-3.318032e-01
248,2,8,7.039822e-04,-9.509718e-01
249,14,1,7.035341e-04,-4.255676e-01
250,20,9,6.881975e-04,-2.880499e-01
251,15,4,6.876867e-04,-1.870805e-01
252,5,0,6.552046e-04,-6.304725e-01
253,7,8,6.465227e-04,-1.216866e+00
254,21,9,6.455930e-04,-4.177574e-01
255,27,2,6.449355e-04,-1.182942e+00
256,17,9,6.396856e-04,-8.903803e-01
257,14,0,6.229104e-04,-4.252594e-01
258,6,1,6.174629e-04,-7.296222e-01
259,22,6,5.965933e-04,-6.325903e-01
260,22,5,5.964492e-04,3.939840e-01
261,27,3,5.818594e-04,-8.690668e-01
262,18,7,5.777860e-04,-1.937842e-01
263,1,1,5.682822e-04,-1.027368e+00
264,28,1,5.657059e-04,-6.700499e-01
265,6,6,5.557433e-04,3.304721e-01
266,29,2,5.544473e-04,-7.533205e-01
267,24,1,5.525221e-04,-5.424870e-01
268,2,5,5.218845e-04,-8.921299e-03
269,15,8,5.171609e-04,-4.199160e-02
270,11,4,5.096994e-04,-5.739337e-01
271,29,9,5.022423e-04,1.777791e-01
