rank,expert,slot,mean_combine_weight,mean_routing_logit
0,17,0,2.764468e-02,9.440283e-01
1,15,5,2.630782e-02,-7.575320e-01
2,8,9,2.101819e-02,1.406185e+00
3,29,3,1.693618e-02,-2.425005e-01
4,27,4,1.517603e-02,5.114446e-01
5,26,9,1.507185e-02,4.084413e-01
6,6,7,1.502904e-02,9.639916e-02
7,14,6,1.393032e-02,2.213096e-01
8,15,7,1.370692e-02,-2.806213e-01
9,3,1,1.291519e-02,1.758147e+00
10,16,7,1.216731e-02,8.552596e-01
11,17,4,1.093617e-02,2.263173e-01
12,8,0,1.078182e-02,7.094572e-01
13,28,2,1.053863e-02,-5.531973e-01
14,15,9,1.034390e-02,3.300452e-01
15,23,5,1.031246e-02,1.174981e-01
16,28,7,1.014871e-02,9.395438e-01
17,13,9,9.719138e-03,-4.937595e-01
18,0,7,9.697336e-03,5.264632e-01
19,19,7,9.667899e-03,-2.029523e-01
20,5,9,8.659593e-03,-7.888641e-01
21,5,3,8.383039e-03,3.557330e-01
22,26,6,8.368310e-03,5.149275e-01
23,5,1,8.049835e-03,7.522039e-01
24,22,7,8.021048e-03,6.656532e-01
25,8,3,8.001055e-03,-4.565254e-02
26,8,1,7.936411e-03,4.231353e-01
27,14,5,7.696314e-03,1.480173e-01
28,20,4,7.648822e-03,8.578331e-01
29,9,0,7.451464e-03,5.134435e-01
30,9,8,7.209879e-03,9.043943e-01
31,4,9,7.195550e-03,2.467833e-02
32,6,5,7.181963e-03,2.435459e-01
33,5,5,7.120654e-03,1.944562e+00
34,10,2,7.041619e-03,-4.879520e-02
35,16,3,6.823620e-03,5.789670e-01
36,24,3,6.814759e-03,-5.622651e-01
37,1,5,6.761529e-03,3.831832e-01
38,1,3,6.688887e-03,3.483229e-01
39,5,8,6.450255e-03,1.134645e+00
40,4,1,6.339518e-03,-7.243226e-01
41,14,2,6.327048e-03,1.182364e-01
42,19,9,5.837522e-03,7.509366e-01
43,2,4,5.768822e-03,1.505103e-01
44,13,3,5.739921e-03,7.249500e-01
45,12,3,5.599607e-03,6.712103e-02
46,3,2,5.455506e-03,4.273038e-01
47,29,7,5.329219e-03,-3.512015e-01
48,21,1,5.306986e-03,6.734240e-01
49,1,7,5.297385e-03,-2.010944e-01
50,26,2,5.263848e-03,3.839539e-01
51,18,4,5.195877e-03,2.437769e-02
52,27,0,5.067299e-03,4.674315e-01
53,7,9,4.988664e-03,2.166476e-01
54,26,4,4.949537e-03,3.113411e-01
55,14,7,4.941002e-03,1.058796e+00
56,2,0,4.932675e-03,6.835567e-01
57,17,8,4.868119e-03,-1.680956e-01
58,17,5,4.786509e-03,-1.285549e-01
59,9,2,4.777122e-03,3.577061e-01
60,18,8,4.727933e-03,2.015119e-01
61,28,6,4.585112e-03,3.736995e-01
62,12,1,4.579622e-03,6.905309e-01
63,3,0,4.510852e-03,3.909921e-01
64,28,1,4.400809e-03,-8.352213e-02
65,26,1,4.345309e-03,-9.147200e-02
66,6,4,4.318897e-03,9.031618e-01
67,13,1,4.300087e-03,-5.484570e-02
68,2,7,4.251951e-03,9.170084e-01
69,14,4,4.238589e-03,4.123238e-01
