rank,expert,slot,mean_combine_weight,mean_routing_logit
0,12,2,3.787611e-02,7.406635e-01
1,5,5,2.505321e-02,-9.885564e-02
2,24,9,2.426725e-02,-4.565402e-01
3,11,3,2.202085e-02,-3.717681e-01
4,28,7,1.868800e-02,-1.876973e-01
5,25,9,1.847028e-02,9.614704e-01
6,11,4,1.837913e-02,9.921312e-01
7,23,2,1.806944e-02,-6.006578e-01
8,21,4,1.720339e-02,1.584195e+00
9,10,2,1.662262e-02,5.251499e-01
10,0,1,1.546396e-02,1.450715e+00
11,13,5,1.545101e-02,9.286057e-01
12,25,0,1.499742e-02,1.077701e+00
13,17,3,1.472191e-02,4.781145e-01
14,9,8,1.402515e-02,3.488088e-01
15,3,1,1.326848e-02,1.459353e+00
16,17,4,1.301543e-02,-1.822622e+00
17,14,9,1.301147e-02,-5.109362e-02
18,25,1,1.240839e-02,1.088794e+00
19,28,8,1.189957e-02,1.597009e-01
20,1,4,1.172172e-02,-1.138081e-01
21,0,3,1.166245e-02,-3.335336e-01
22,0,4,1.139244e-02,2.749632e+00
23,26,9,1.133096e-02,7.004478e-01
24,18,9,1.023092e-02,5.197678e-01
25,16,0,9.350322e-03,2.442505e-01
26,14,3,8.882943e-03,2.826034e-01
27,11,8,8.821823e-03,7.942395e-01
28,11,6,8.808516e-03,1.417229e+00
29,17,0,8.576715e-03,1.192717e+00
30,21,1,8.083398e-03,2.585778e-01
31,19,6,7.892967e-03,-8.921720e-01
32,12,1,7.870323e-03,5.436101e-01
33,17,2,7.602036e-03,-1.141255e+00
34,1,3,6.982786e-03,8.483189e-03
35,1,2,6.934135e-03,1.417675e+00
36,24,4,6.824896e-03,7.046585e-01
37,17,6,6.772688e-03,1.477686e-01
38,9,0,6.687310e-03,1.816801e+00
39,24,2,6.482483e-03,-5.572418e-04
40,9,5,6.411782e-03,5.720693e-01
41,25,8,6.323744e-03,5.041943e-02
42,6,7,5.987328e-03,9.124554e-01
43,4,6,5.861351e-03,-1.346455e+00
44,5,3,5.820349e-03,-5.285664e-01
45,5,0,5.645113e-03,-1.123125e-01
46,21,6,5.596195e-03,-1.703222e+00
47,3,7,5.522315e-03,8.048451e-01
48,8,7,5.417370e-03,1.152122e+00
49,13,6,5.345608e-03,6.580110e-01
50,14,7,5.301767e-03,1.094909e+00
51,20,4,5.271514e-03,-1.186753e+00
52,21,9,5.133476e-03,-4.705092e-01
53,6,2,4.975303e-03,-4.942730e-01
54,15,2,4.973838e-03,9.901913e-01
55,15,3,4.892976e-03,1.080882e+00
56,26,0,4.892771e-03,6.089898e-01
57,4,7,4.870928e-03,-5.966426e-02
58,28,5,4.801003e-03,-6.221380e-01
59,23,8,4.766991e-03,2.228496e+00
60,14,1,4.733068e-03,5.133004e-01
61,19,3,4.678134e-03,6.822422e-01
62,3,5,4.458789e-03,-1.438848e+00
63,8,0,4.363862e-03,3.862472e-01
64,17,9,4.306239e-03,1.291831e+00
65,26,8,4.263526e-03,-2.597801e-01
66,15,0,4.241958e-03,2.132711e-01
67,22,3,4.232694e-03,-1.059590e-01
68,0,5,4.211544e-03,-8.133218e-01
69,1,8,4.174774e-03,-1.291774e+00
70,2,6,4.174409e-03,1.058547e+00
71,22,4,4.146278e-03,2.995985e-01
72,3,3,4.098825e-03,-7.497729e-02
73,11,2,4.096558e-03,-8.084143e-01
74,9,1,4.080288e-03,2.240477e+00
75,19,8,3.988607e-03,7.818652e-01
76,1,5,3.939269e-03,-6.547790e-01
77,20,2,3.911417e-03,-1.569108e+00
78,0,8,3.817308e-03,3.186670e-01
79,29,5,3.814908e-03,-2.338893e-01
80,26,1,3.798806e-03,-1.508899e-01
81,3,6,3.684791e-03,-1.954049e-01
82,24,3,3.585967e-03,1.130071e-01
83,23,5,3.564531e-03,3.738455e-01
84,21,0,3.550585e-03,-2.472041e-01
85,11,7,3.546850e-03,2.728552e-01
86,0,6,3.533374e-03,1.087021e+00
87,6,0,3.493166e-03,-4.104668e-01
88,12,3,3.480457e-03,1.386021e+00
89,5,9,3.348590e-03,-7.432444e-02
90,7,4,3.338564e-03,-1.734578e-01
