rank,expert,slot,mean_combine_weight,mean_routing_logit
0,12,2,2.877016e-02,1.636551e-01
1,19,7,2.868303e-02,-2.100533e-01
2,24,1,2.640044e-02,2.813017e-01
3,21,4,2.033226e-02,3.248972e-01
4,3,1,1.808172e-02,4.794263e-01
5,0,6,1.614548e-02,8.688692e-01
6,24,7,1.614543e-02,7.744275e-01
7,25,9,1.458330e-02,-8.167765e-01
8,24,6,1.435882e-02,4.208935e-01
9,13,7,1.430853e-02,-1.775344e+00
10,25,1,1.271311e-02,7.124941e-01
11,0,3,1.246055e-02,6.840864e-01
12,11,7,1.078189e-02,-2.335497e-01
13,28,7,1.067290e-02,-2.482949e-01
14,10,2,1.047638e-02,-4.148975e-02
15,23,2,9.675015e-03,-4.701967e-01
16,9,3,9.552334e-03,-1.083384e+00
17,11,3,9.336917e-03,-1.194488e+00
18,24,3,9.114021e-03,-1.317701e-01
19,7,5,8.810181e-03,5.380037e-01
20,4,7,8.654823e-03,-7.030250e-01
21,2,4,8.554685e-03,-7.110887e-01
22,5,6,8.535315e-03,-1.452900e+00
23,21,8,8.443032e-03,3.437079e-02
24,5,4,8.394360e-03,-2.040553e-01
25,18,9,8.369114e-03,4.927206e-01
26,25,0,8.181609e-03,-8.053768e-01
27,13,3,8.168546e-03,2.198020e-01
28,10,3,8.019608e-03,4.093985e-01
29,21,2,7.996511e-03,-1.278941e-01
30,13,5,7.889844e-03,-1.838917e-02
31,22,9,7.851658e-03,-6.192482e-01
32,18,7,7.669795e-03,8.025547e-01
33,18,5,7.565350e-03,-3.229074e-01
34,1,5,7.556366e-03,3.176177e-01
35,20,5,7.483272e-03,2.527138e-01
36,27,4,7.446907e-03,4.152694e-01
37,28,1,7.366302e-03,-5.320736e-03
38,9,1,7.336710e-03,-1.067481e-02
39,26,9,7.243239e-03,1.462260e-01
40,22,7,7.216348e-03,-7.226188e-02
41,19,6,6.783728e-03,-7.868022e-01
42,18,8,6.709357e-03,1.347999e+00
43,2,7,6.538318e-03,-8.972888e-01
44,13,8,6.409374e-03,-2.989152e-01
45,5,2,6.343388e-03,1.325373e+00
46,17,0,6.301908e-03,6.088591e-01
47,22,5,6.241733e-03,-1.567581e+00
48,5,8,6.088075e-03,-8.906241e-02
49,0,8,6.067424e-03,-5.093286e-01
50,28,2,6.032701e-03,-7.930183e-02
51,15,2,5.866510e-03,-3.407786e-01
52,20,1,5.410687e-03,-5.327724e-01
53,23,8,5.317025e-03,3.876921e-01
54,20,7,5.301823e-03,-6.445216e-01
55,2,0,5.284054e-03,8.563861e-01
56,5,3,5.203858e-03,-3.693232e-01
57,8,0,5.173302e-03,8.064640e-01
58,28,5,5.166491e-03,-1.129777e+00
59,25,8,5.156654e-03,-1.039173e+00
60,24,4,5.008752e-03,6.856565e-01
61,28,8,4.953665e-03,-1.293418e+00
62,12,3,4.948771e-03,3.043912e-01
63,27,5,4.830899e-03,1.941392e-01
64,7,0,4.825593e-03,-8.339108e-01
65,24,5,4.692551e-03,1.941682e-01
66,13,2,4.650319e-03,-5.629692e-02
67,28,3,4.633885e-03,-2.413082e-01
68,2,6,4.523910e-03,5.963824e-01
69,6,2,4.523160e-03,-1.165245e+00
70,13,6,4.489408e-03,7.460959e-01
71,22,8,4.397630e-03,-1.724084e-01
72,3,7,4.370117e-03,-2.332222e-01
73,15,6,4.304556e-03,-3.326441e-01
74,20,8,4.276604e-03,-6.208538e-01
75,7,2,4.112052e-03,-3.464940e-01
76,14,1,4.067347e-03,6.695542e-02
77,17,3,4.012086e-03,1.186048e-01
78,11,6,3.999950e-03,2.381594e-01
79,26,1,3.787237e-03,8.995646e-02
80,24,2,3.694703e-03,3.917159e-01
81,2,2,3.565690e-03,3.717066e-01
82,21,1,3.558759e-03,9.318060e-02
83,22,3,3.553557e-03,-2.114459e-01
84,3,6,3.508497e-03,-2.345797e-01
85,29,2,3.502695e-03,-7.471386e-01
86,23,0,3.490840e-03,-7.755053e-01
87,4,5,3.482003e-03,2.219890e-01
88,14,2,3.460211e-03,-1.594861e-01
89,19,0,3.444100e-03,-3.199190e-01
90,6,9,3.427038e-03,-2.911323e-01
91,27,3,3.391652e-03,5.784763e-01
92,16,8,3.385382e-03,1.580122e-01
93,17,7,3.374766e-03,-3.505212e-01
94,27,0,3.347393e-03,2.451538e-01
95,12,1,3.338938e-03,2.850540e-01
96,0,5,3.302712e-03,2.816445e-01
97,1,4,3.210273e-03,-4.400534e-02
98,0,7,3.185032e-03,9.018571e-01
99,14,7,3.181553e-03,-1.942876e-01
100,14,3,3.174869e-03,-4.399389e-01
101,27,1,3.168133e-03,-8.789055e-01
102,17,5,3.135635e-03,-2.318576e-01
103,19,4,3.075022e-03,-8.905764e-01
104,22,4,3.073833e-03,3.370742e-01
105,12,8,3.024530e-03,-1.027496e+00
106,27,7,3.012586e-03,-2.832229e-01
107,10,9,3.002136e-03,8.328421e-02
108,18,6,2.938383e-03,-4.476247e-01
