rank,expert,slot,mean_combine_weight,mean_routing_logit
0,12,2,4.480422e-02,8.100871e-01
1,28,5,3.847864e-02,-1.562138e-01
2,23,2,3.605833e-02,-7.133630e-02
3,25,1,3.553557e-02,7.960310e-01
4,28,8,3.297005e-02,4.027790e-01
5,3,1,2.695275e-02,1.173492e+00
6,1,8,2.687228e-02,-7.871011e-01
7,2,6,2.116825e-02,1.758830e+00
8,1,5,1.499721e-02,1.520661e+00
9,25,9,1.404087e-02,2.835292e-01
10,20,5,1.302690e-02,1.591862e+00
11,12,8,1.263306e-02,1.740665e+00
12,25,7,1.162393e-02,6.419225e-01
13,3,5,1.108467e-02,2.113903e-02
14,24,5,1.084703e-02,-8.280460e-01
15,28,3,1.081825e-02,4.180087e-01
16,9,5,1.037257e-02,1.181234e+00
17,5,6,9.022309e-03,-1.082730e+00
18,25,3,8.902072e-03,1.838338e-01
19,7,9,8.441720e-03,-7.768847e-02
20,5,1,8.155328e-03,6.568247e-01
21,1,6,8.072730e-03,-1.342732e-01
22,7,7,7.910347e-03,-7.349092e-01
23,24,1,7.839059e-03,5.596603e-02
24,12,3,7.817012e-03,1.278388e+00
25,20,8,7.653985e-03,-3.817766e-01
26,10,2,7.574979e-03,2.868717e-01
27,1,0,7.484182e-03,3.550522e-02
28,2,9,7.453970e-03,-1.148525e+00
29,3,3,7.101612e-03,9.629641e-01
30,24,6,6.988807e-03,-3.911862e-01
31,0,7,6.874135e-03,1.516244e+00
32,2,0,6.830759e-03,-1.964004e-01
33,6,7,6.651925e-03,6.604602e-01
34,14,7,6.616358e-03,2.022466e-01
35,15,0,6.334964e-03,1.116869e-01
36,29,3,6.316684e-03,9.295821e-01
37,11,2,6.310243e-03,-2.675496e-02
38,26,4,6.117049e-03,-4.302416e-02
39,25,6,5.889719e-03,1.009889e+00
40,23,5,5.728559e-03,1.286706e+00
41,15,7,5.656111e-03,1.161367e+00
42,3,7,5.566697e-03,3.727883e-01
43,27,7,5.481068e-03,6.658422e-01
44,22,3,5.395236e-03,-1.433379e+00
45,9,0,5.359186e-03,9.072985e-01
46,13,7,5.333250e-03,-8.771973e-01
47,6,5,5.195940e-03,-9.751518e-01
48,1,4,5.122021e-03,4.805519e-01
49,28,0,4.736416e-03,-7.689901e-02
