marca,x,y,lado_um,acreditada,deteccion_pareada,inst_bajo_centroide,clase_bajo_centroide,n_instancias_en_radio,inst_mas_cercana,clase_mas_cercana,dist_mas_cercana_um,hay_clase_mitosis_en_radio,clases_en_radio
0,9828.5,70597.8,16.7,1,128,0,(sin instancia),10,152569,mitosis,2.3,1,epithelial-cell:9|mitosis:1
1,9476.2,71448.9,17.2,1,6,22794,mitosis,10,22794,mitosis,1.3,1,epithelial-cell:8|connective-tissue-cell:1|mitosis:1
2,14951.6,58839.7,20.5,1,141,0,(sin instancia),8,182863,mitosis,4.9,1,epithelial-cell:6|mitosis:2
3,9736.0,71521.6,23.7,0,-1,0,(sin instancia),11,23132,epithelial-cell,2.8,0,epithelial-cell:11
4,12406.5,58274.8,16.7,0,-1,143981,neutrophil,4,143981,neutrophil,1.8,0,neutrophil:1|epithelial-cell:3
5,12294.0,59305.6,13.5,0,-1,147761,epithelial-cell,8,147761,epithelial-cell,2.2,0,epithelial-cell:6|lymphocyte:1|connective-tissue-cell:1
6,13373.5,55771.8,16.7,0,-1,0,(sin instancia),7,134965,epithelial-cell,6.7,0,epithelial-cell:7
7,11887.5,56020.8,16.7,1,103,135853,mitosis,4,135853,mitosis,1.4,1,epithelial-cell:3|mitosis:1
8,12638.2,58597.4,25.1,0,-1,145255,epithelial-cell,10,145255,epithelial-cell,4.8,0,epithelial-cell:10
9,11758.5,55906.8,16.7,0,-1,135423,epithelial-cell,3,135423,epithelial-cell,1.1,0,epithelial-cell:3
10,10370.4,72009.3,13.0,1,132,156441,mitosis,11,156441,mitosis,1.4,1,epithelial-cell:10|mitosis:1
11,13869.5,56976.8,16.7,1,106,139342,mitosis,10,139342,mitosis,1.5,1,epithelial-cell:9|mitosis:1
12,13847.5,57082.8,16.7,1,108,139678,mitosis,7,139678,mitosis,2.2,1,epithelial-cell:6|mitosis:1
13,11693.2,55374.4,25.1,0,-1,133342,epithelial-cell,11,133342,epithelial-cell,2.1,0,epithelial-cell:11
14,9657.9,70532.9,17.7,1,25,44324,mitosis,11,44324,mitosis,3.4,1,epithelial-cell:10|mitosis:1
15,13146.2,59289.4,25.1,0,-1,147702,epithelial-cell,10,147702,epithelial-cell,1.1,0,epithelial-cell:9|connective-tissue-cell:1
16,12454.2,58638.4,25.1,0,-1,145374,epithelial-cell,9,145374,epithelial-cell,2.8,0,neutrophil:1|epithelial-cell:8
17,10399.5,72172.8,16.7,0,-1,157139,epithelial-cell,11,157139,epithelial-cell,1.5,0,epithelial-cell:10|connective-tissue-cell:1
18,12872.5,55668.8,16.7,1,99,134481,mitosis,6,134481,mitosis,2.4,1,epithelial-cell:5|mitosis:1
19,12744.5,55876.8,16.7,0,-1,135335,epithelial-cell,10,135335,epithelial-cell,0.9,0,epithelial-cell:10
20,11899.5,57731.8,16.7,0,-1,141993,epithelial-cell,8,141993,epithelial-cell,1.3,0,epithelial-cell:8
21,12441.2,58372.4,25.1,0,-1,0,(sin instancia),9,144378,epithelial-cell,5.3,0,epithelial-cell:9
22,13407.5,55732.8,16.7,1,100,134783,mitosis,8,134783,mitosis,2.0,1,epithelial-cell:7|mitosis:1
23,12586.5,58699.8,16.7,1,119,145599,mitosis,9,145599,mitosis,1.9,1,epithelial-cell:8|mitosis:1
24,14066.5,57499.8,16.7,1,114,141125,mitosis,5,141125,mitosis,0.8,1,epithelial-cell:4|mitosis:1
25,13922.0,60039.1,19.5,1,125,150120,mitosis,9,150120,mitosis,1.2,1,epithelial-cell:6|connective-tissue-cell:1|mitosis:2
