brazo,cabeza,es_cabeza_verdadera,universo,n_universo,grupo,n_parches,auc_ranking,ee_hanley,ic95_lo,ic95_hi,ancho_ic,percentil_mediano,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
CLAM,ausente,False,lamina,4799,Nucleos alto grado,13,0.8676,0.0641,0.7419,0.9932,0.2513,88.72,,,,
CLAM,ausente,False,lamina,4799,Mitosis,28,0.743,0.054,0.6372,0.8488,0.2117,80.88,,,,
CLAM,ausente,False,lamina,4799,Immune cells,23,0.5142,0.0609,0.3948,0.6335,0.2386,53.33,,,,
CLAM,ausente,False,lamina,4799,Tumor,48,0.7168,0.0421,0.6342,0.7994,0.1652,75.45,,,,
CLAM,ausente,False,lamina,4799,necrosis,18,0.4795,0.0672,0.3478,0.6111,0.2633,43.23,,,,
CLAM,ausente,False,lamina,4799,Stroma,12,0.6552,0.0864,0.4858,0.8245,0.3387,71.17,,,,
CLAM,ausente,False,lamina,4799,Tejido Adiposo,27,0.295,0.0421,0.2124,0.3775,0.1651,22.28,,,,
CLAM,ausente,False,region_anotada,2496,Nucleos alto grado,13,0.8839,0.0609,0.7645,1.0033,0.2388,90.42,,,,
CLAM,ausente,False,region_anotada,2496,Mitosis,28,0.7615,0.0531,0.6575,0.8656,0.2081,82.65,,,,
CLAM,ausente,False,region_anotada,2496,Immune cells,23,0.5357,0.0617,0.4148,0.6566,0.2418,55.31,,,,
CLAM,ausente,False,region_anotada,2496,Tumor,48,0.7377,0.0416,0.6562,0.8191,0.163,77.35,,,,
CLAM,ausente,False,region_anotada,2496,necrosis,18,0.4996,0.0683,0.3658,0.6335,0.2677,45.43,,,,
CLAM,ausente,False,region_anotada,2496,Stroma,12,0.6745,0.086,0.506,0.8431,0.3371,72.93,,,,
CLAM,ausente,False,region_anotada,2496,Tejido Adiposo,27,0.3141,0.0441,0.2277,0.4006,0.1728,24.57,,,,
CLAM,no_identificado,False,lamina,4799,Nucleos alto grado,13,0.6916,0.082,0.5309,0.8523,0.3213,71.05,,,,
CLAM,no_identificado,False,lamina,4799,Mitosis,28,0.6454,0.0567,0.5342,0.7566,0.2224,65.4,,,,
CLAM,no_identificado,False,lamina,4799,Immune cells,23,0.5335,0.0615,0.413,0.654,0.2411,49.02,,,,
CLAM,no_identificado,False,lamina,4799,Tumor,48,0.6636,0.0432,0.579,0.7483,0.1694,68.31,,,,
CLAM,no_identificado,False,lamina,4799,necrosis,18,0.7287,0.0681,0.5952,0.8622,0.267,76.2,,,,
CLAM,no_identificado,False,lamina,4799,Stroma,12,0.4546,0.0805,0.2969,0.6124,0.3155,42.25,,,,
CLAM,no_identificado,False,lamina,4799,Tejido Adiposo,27,0.077,0.014,0.0496,0.1045,0.0549,4.94,,,,
CLAM,no_identificado,False,region_anotada,2496,Nucleos alto grado,13,0.7049,0.0815,0.5452,0.8646,0.3194,72.87,,,,
CLAM,no_identificado,False,region_anotada,2496,Mitosis,28,0.658,0.0567,0.5469,0.7692,0.2222,66.49,,,,
CLAM,no_identificado,False,region_anotada,2496,Immune cells,23,0.5475,0.062,0.426,0.6691,0.243,50.5,,,,
CLAM,no_identificado,False,region_anotada,2496,Tumor,48,0.6768,0.0431,0.5922,0.7614,0.1691,69.58,,,,
CLAM,no_identificado,False,region_anotada,2496,necrosis,18,0.7395,0.0676,0.607,0.8719,0.2649,77.54,,,,
CLAM,no_identificado,False,region_anotada,2496,Stroma,12,0.4687,0.0816,0.3087,0.6286,0.3199,43.83,,,,
CLAM,no_identificado,False,region_anotada,2496,Tejido Adiposo,27,0.0834,0.0153,0.0535,0.1133,0.0599,5.81,,,,
CLAM,presente_central,True,lamina,4799,Nucleos alto grado,13,0.5946,0.0832,0.4315,0.7578,0.3263,60.09,0.10644677661169415,0.4312843578210895,2000.0,0.4879896211564528
CLAM,presente_central,True,lamina,4799,Mitosis,28,0.728,0.0547,0.6209,0.8352,0.2143,73.05,0.0004997501249375312,0.05319148936170213,469.0,0.6052043235323925
CLAM,presente_central,True,lamina,4799,Immune cells,23,0.4141,0.0558,0.3048,0.5234,0.2186,39.45,,,,
CLAM,presente_central,True,lamina,4799,Tumor,48,0.6967,0.0426,0.6132,0.7803,0.1672,69.23,0.0004997501249375312,0.020967741935483872,619.0,0.5854322868476028
CLAM,presente_central,True,lamina,4799,necrosis,18,0.8946,0.0498,0.7971,0.9921,0.195,96.68,0.0004997501249375312,0.0013869625520110957,720.0,0.5628250106358076
CLAM,presente_central,True,lamina,4799,Stroma,12,0.4562,0.0806,0.2983,0.6142,0.316,43.15,,,,
CLAM,presente_central,True,lamina,4799,Tejido Adiposo,27,0.0863,0.0155,0.0559,0.1167,0.0608,7.52,,,,
CLAM,presente_central,True,region_anotada,2496,Nucleos alto grado,13,0.6003,0.0834,0.4369,0.7637,0.3269,60.72,0.09545227386306847,0.43478260869565216,2000.0,0.48237322922748216
CLAM,presente_central,True,region_anotada,2496,Mitosis,28,0.7364,0.0544,0.6298,0.8429,0.2132,74.31,0.0004997501249375312,0.05255023183925812,1293.0,0.6087942682094484
CLAM,presente_central,True,region_anotada,2496,Immune cells,23,0.4159,0.056,0.3061,0.5258,0.2197,39.2,,,,
CLAM,presente_central,True,region_anotada,2496,Tumor,48,0.7036,0.0426,0.6201,0.7871,0.167,70.64,0.0004997501249375312,0.01597444089456869,1877.0,0.5795137981538877
CLAM,presente_central,True,region_anotada,2496,necrosis,18,0.8993,0.0488,0.8036,0.9951,0.1915,96.83,0.0004997501249375312,0.0004997501249375312,2000.0,0.5614717044204515
CLAM,presente_central,True,region_anotada,2496,Stroma,12,0.4581,0.0809,0.2996,0.6166,0.3169,42.63,,,,
CLAM,presente_central,True,region_anotada,2496,Tejido Adiposo,27,0.0879,0.016,0.0566,0.1193,0.0627,7.82,,,,
CLAM,presente_focal,False,lamina,4799,Nucleos alto grado,13,0.8538,0.0665,0.7234,0.9842,0.2608,85.79,,,,
CLAM,presente_focal,False,lamina,4799,Mitosis,28,0.652,0.0567,0.541,0.7631,0.2221,68.04,,,,
CLAM,presente_focal,False,lamina,4799,Immune cells,23,0.4682,0.0589,0.3528,0.5837,0.231,42.75,,,,
CLAM,presente_focal,False,lamina,4799,Tumor,48,0.593,0.0434,0.5079,0.6782,0.1703,58.48,,,,
CLAM,presente_focal,False,lamina,4799,necrosis,18,0.4363,0.0646,0.3097,0.5628,0.2531,42.24,,,,
CLAM,presente_focal,False,lamina,4799,Stroma,12,0.5771,0.0864,0.4078,0.7463,0.3385,60.88,,,,
CLAM,presente_focal,False,lamina,4799,Tejido Adiposo,27,0.2074,0.0326,0.1436,0.2713,0.1277,13.61,,,,
CLAM,presente_focal,False,region_anotada,2496,Nucleos alto grado,13,0.8703,0.0636,0.7456,0.995,0.2494,87.49,,,,
CLAM,presente_focal,False,region_anotada,2496,Mitosis,28,0.6744,0.0564,0.5638,0.7849,0.2211,70.48,,,,
CLAM,presente_focal,False,region_anotada,2496,Immune cells,23,0.4904,0.0601,0.3726,0.6082,0.2356,45.45,,,,
CLAM,presente_focal,False,region_anotada,2496,Tumor,48,0.6157,0.0437,0.5301,0.7013,0.1711,61.14,,,,
CLAM,presente_focal,False,region_anotada,2496,necrosis,18,0.4575,0.0661,0.328,0.587,0.259,44.61,,,,
CLAM,presente_focal,False,region_anotada,2496,Stroma,12,0.5987,0.0868,0.4286,0.7687,0.3401,63.43,,,,
CLAM,presente_focal,False,region_anotada,2496,Tejido Adiposo,27,0.223,0.0347,0.155,0.2909,0.1359,15.23,,,,
