brazo,K,pct_region,en_mascara,detectadas,ambas,cota_min,recall_conjunto
CLAM,20,0.8,1,13,1,1,0.0385
CLAM,50,2.0,5,13,2,5,0.0769
CLAM,100,4.0,12,13,8,12,0.3077
CLAM,189,7.6,15,13,10,13,0.3846
CLAM,300,12.0,19,13,11,13,0.4231
CLAM,500,20.0,23,13,12,13,0.4615
CLAM,750,30.0,24,13,12,13,0.4615
CLAM,1000,40.1,25,13,13,13,0.5
CLAM,1392,55.8,26,13,13,13,0.5
CLAM,2000,80.1,26,13,13,13,0.5
CLAM,2496,100.0,26,13,13,13,0.5
Mammoth,20,0.8,2,13,1,2,0.0385
Mammoth,50,2.0,4,13,3,4,0.1154
Mammoth,100,4.0,14,13,8,13,0.3077
Mammoth,189,7.6,18,13,11,13,0.4231
Mammoth,300,12.0,22,13,11,13,0.4231
Mammoth,500,20.0,23,13,12,13,0.4615
Mammoth,750,30.0,26,13,13,13,0.5
Mammoth,1000,40.1,26,13,13,13,0.5
Mammoth,1392,55.8,26,13,13,13,0.5
Mammoth,2000,80.1,26,13,13,13,0.5
Mammoth,2496,100.0,26,13,13,13,0.5
