brazo,tipo,K,n_parches_mascara,objetos_a_mirar,unidad_objetos,area_mm2,pct_region,marcas_recuperadas,n_marcas,recall
CLAM,CLAM,20,20,20.0,parches,0.2834,0.8,1.0,26,0.0385
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,20,20,4.0,nucleos,0.0142,0.8,1.0,26,0.0385
Mammoth,Mammoth,20,20,20.0,parches,0.2834,0.8,2.0,26,0.0769
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,20,20,1.0,nucleos,0.0035,0.8,1.0,26,0.0385
CLAM∩Mammoth,CLAM∩Mammoth,20,3,3.0,parches,0.0425,0.12,0.0,26,0.0
CLAM∪Mammoth,CLAM∪Mammoth,20,37,37.0,parches,0.5243,1.48,3.0,26,0.1154
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,20,3,0.0,nucleos,0.0,0.12,0.0,26,0.0
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,20,37,5.0,nucleos,0.0177,1.48,2.0,26,0.0769
azar,azar,20,20,20.0,parches,0.2834,0.8,0.21,26,0.008
azar+HoVer-NeXt,azar+HoVer-NeXt,20,20,0.7,nucleos,0.0023,0.8,0.1,26,0.004
CLAM,CLAM,50,50,50.0,parches,0.7085,2.0,5.0,26,0.1923
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,50,50,10.0,nucleos,0.0354,2.0,2.0,26,0.0769
Mammoth,Mammoth,50,50,50.0,parches,0.7085,2.0,4.0,26,0.1538
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,50,50,9.0,nucleos,0.0319,2.0,3.0,26,0.1154
CLAM∩Mammoth,CLAM∩Mammoth,50,11,11.0,parches,0.1559,0.44,0.0,26,0.0
CLAM∪Mammoth,CLAM∪Mammoth,50,89,89.0,parches,1.2612,3.57,9.0,26,0.3462
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,50,11,3.0,nucleos,0.0106,0.44,0.0,26,0.0
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,50,89,16.0,nucleos,0.0567,3.57,5.0,26,0.1923
azar,azar,50,50,50.0,parches,0.7085,2.0,0.52,26,0.02
azar+HoVer-NeXt,azar+HoVer-NeXt,50,50,1.6,nucleos,0.0058,2.0,0.26,26,0.01
CLAM,CLAM,100,100,100.0,parches,1.4171,4.01,12.0,26,0.4615
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,100,100,19.0,nucleos,0.0673,4.01,8.0,26,0.3077
Mammoth,Mammoth,100,100,100.0,parches,1.4171,4.01,14.0,26,0.5385
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,100,100,22.0,nucleos,0.0779,4.01,8.0,26,0.3077
CLAM∩Mammoth,CLAM∩Mammoth,100,36,36.0,parches,0.5101,1.44,9.0,26,0.3462
