brazo,tipo,K,n_parches_mascara,objetos_a_mirar,unidad_objetos,area_mm2,pct_region,marcas_recuperadas,n_marcas,recall
Mammoth,Mammoth,20,20,20.0,parches,0.2834,0.8,0.0,26,0.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,20,20,1.0,nucleos,0.0035,0.8,0.0,26,0.0
azar,azar,20,20,20.0,parches,0.2834,0.8,0.21,26,0.008
azar+HoVer-NeXt,azar+HoVer-NeXt,20,20,0.7,nucleos,0.0023,0.8,0.1,26,0.004
Mammoth,Mammoth,50,50,50.0,parches,0.7085,2.0,0.0,26,0.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,50,50,2.0,nucleos,0.0071,2.0,0.0,26,0.0
azar,azar,50,50,50.0,parches,0.7085,2.0,0.52,26,0.02
azar+HoVer-NeXt,azar+HoVer-NeXt,50,50,1.6,nucleos,0.0058,2.0,0.26,26,0.01
Mammoth,Mammoth,100,100,100.0,parches,1.4171,4.01,1.0,26,0.0385
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,100,100,8.0,nucleos,0.0283,4.01,1.0,26,0.0385
azar,azar,100,100,100.0,parches,1.4171,4.01,1.04,26,0.0401
azar+HoVer-NeXt,azar+HoVer-NeXt,100,100,3.3,nucleos,0.0116,4.01,0.52,26,0.02
Mammoth,Mammoth,189,189,189.0,parches,2.6782,7.57,8.0,26,0.3077
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,189,189,21.0,nucleos,0.0744,7.57,6.0,26,0.2308
azar,azar,189,189,189.0,parches,2.6782,7.57,1.97,26,0.0757
azar+HoVer-NeXt,azar+HoVer-NeXt,189,189,6.2,nucleos,0.022,7.57,0.98,26,0.0379
Mammoth,Mammoth,300,300,300.0,parches,4.2512,12.02,11.0,26,0.4231
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,300,300,33.0,nucleos,0.1169,12.02,8.0,26,0.3077
azar,azar,300,300,300.0,parches,4.2512,12.02,3.12,26,0.1202
azar+HoVer-NeXt,azar+HoVer-NeXt,300,300,9.9,nucleos,0.0349,12.02,1.56,26,0.0601
Mammoth,Mammoth,500,500,500.0,parches,7.0853,20.03,17.0,26,0.6538
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,500,500,48.0,nucleos,0.17,20.03,10.0,26,0.3846
azar,azar,500,500,500.0,parches,7.0853,20.03,5.21,26,0.2003
azar+HoVer-NeXt,azar+HoVer-NeXt,500,500,16.4,nucleos,0.0582,20.03,2.6,26,0.1002
Mammoth,Mammoth,750,750,750.0,parches,10.6279,30.05,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,750,750,68.0,nucleos,0.2409,30.05,13.0,26,0.5
azar,azar,750,750,750.0,parches,10.6279,30.05,7.81,26,0.3005
azar+HoVer-NeXt,azar+HoVer-NeXt,750,750,24.6,nucleos,0.0873,30.05,3.91,26,0.1502
Mammoth,Mammoth,1000,1000,1000.0,parches,14.1705,40.06,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,1000,1000,72.0,nucleos,0.2551,40.06,13.0,26,0.5
azar,azar,1000,1000,1000.0,parches,14.1705,40.06,10.42,26,0.4006
azar+HoVer-NeXt,azar+HoVer-NeXt,1000,1000,32.9,nucleos,0.1164,40.06,5.21,26,0.2003
Mammoth,Mammoth,1392,1392,1392.0,parches,19.7254,55.77,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,1392,1392,75.0,nucleos,0.2657,55.77,13.0,26,0.5
azar,azar,1392,1392,1392.0,parches,19.7254,55.77,14.5,26,0.5577
azar+HoVer-NeXt,azar+HoVer-NeXt,1392,1392,45.7,nucleos,0.162,55.77,7.25,26,0.2788
Mammoth,Mammoth,2000,2000,2000.0,parches,28.341,80.13,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,2000,2000,78.0,nucleos,0.2763,80.13,13.0,26,0.5
azar,azar,2000,2000,2000.0,parches,28.341,80.13,20.83,26,0.8013
azar+HoVer-NeXt,azar+HoVer-NeXt,2000,2000,65.7,nucleos,0.2328,80.13,10.42,26,0.4006
Mammoth,Mammoth,2496,2496,2496.0,parches,35.3696,100.0,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,2496,2496,79.0,nucleos,0.2799,100.0,13.0,26,0.5
azar,azar,2496,2496,2496.0,parches,35.3696,100.0,26.0,26,1.0
azar+HoVer-NeXt,azar+HoVer-NeXt,2496,2496,82.0,nucleos,0.2905,100.0,13.0,26,0.5
HoVer-NeXt,HoVer-NeXt,-1,2496,82.0,nucleos,0.2905,100.0,13.0,26,0.5
