rank,expert,slot,mean_combine_weight,mean_routing_logit
0,15,7,3.090184e-02,6.431234e-01
1,25,0,2.892092e-02,8.754811e-01
2,28,4,2.437769e-02,-6.710821e-02
3,11,8,1.722719e-02,1.304776e+00
4,29,0,1.595412e-02,-3.920009e-01
5,15,8,1.561863e-02,1.076941e+00
6,0,7,1.510520e-02,4.682185e-01
7,24,2,1.413304e-02,1.475277e+00
8,17,3,1.278565e-02,1.901514e+00
9,29,3,1.248890e-02,1.235563e+00
10,12,7,1.231873e-02,1.589580e+00
11,12,5,1.176244e-02,-6.106775e-01
12,5,7,1.166227e-02,5.077000e-01
13,5,2,1.142541e-02,8.538581e-01
14,2,9,1.080953e-02,8.360406e-01
15,21,0,1.025797e-02,1.348038e-01
16,15,5,9.592485e-03,1.074324e+00
17,9,2,9.255942e-03,1.589923e+00
18,28,1,9.081473e-03,1.568297e-01
19,9,3,9.050495e-03,-9.217983e-01
20,26,1,8.773580e-03,1.002850e-01
21,7,0,8.591048e-03,6.579229e-01
22,28,2,8.583711e-03,-3.582139e-02
23,26,7,8.557989e-03,1.906772e+00
24,4,4,8.400159e-03,-3.135297e-01
25,6,9,8.293665e-03,1.375356e+00
26,14,9,8.224344e-03,7.325940e-01
27,12,6,8.050795e-03,1.500056e+00
28,8,9,7.322936e-03,-1.427360e-01
29,3,1,7.169182e-03,8.780863e-01
30,2,0,7.138043e-03,1.735834e+00
31,26,2,7.113657e-03,6.061867e-01
32,2,1,7.016407e-03,1.761640e+00
33,2,5,7.001178e-03,2.371423e-01
34,28,3,6.982510e-03,2.082959e-01
35,22,5,6.892434e-03,-2.485441e-01
36,18,1,6.748930e-03,1.708959e+00
37,0,6,6.597643e-03,4.873048e-01
38,15,1,6.577116e-03,-8.033869e-02
39,0,2,6.366668e-03,2.925998e-01
40,10,3,6.234347e-03,6.642488e-01
41,27,3,6.203242e-03,1.205898e+00
42,18,9,6.035472e-03,1.121857e+00
43,6,4,6.018732e-03,9.496056e-01
44,6,2,5.999679e-03,2.450170e-01
45,22,9,5.989423e-03,-4.850149e-01
