brazo,K,area_mm2,pct_region,mitosis_en_mascara,techo_recall,esperado_al_azar,enriquecimiento
CLAM,20,0.283,0.8,2,0.0714,0.22,8.91
CLAM,50,0.709,2.0,6,0.2143,0.56,10.7
CLAM,100,1.417,4.0,12,0.4286,1.12,10.7
CLAM,189,2.678,7.6,15,0.5357,2.12,7.07
CLAM,300,4.251,12.0,19,0.6786,3.37,5.65
CLAM,500,7.085,20.0,23,0.8214,5.61,4.1
CLAM,750,10.628,30.0,25,0.8929,8.41,2.97
CLAM,1000,14.171,40.1,26,0.9286,11.22,2.32
CLAM,1392,19.725,55.8,27,0.9643,15.62,1.73
CLAM,2000,28.341,80.1,27,0.9643,22.44,1.2
CLAM,2496,35.37,100.0,28,1.0,28.0,1.0
Mammoth,20,0.283,0.8,3,0.1071,0.22,13.37
Mammoth,50,0.709,2.0,4,0.1429,0.56,7.13
Mammoth,100,1.417,4.0,13,0.4643,1.12,11.59
Mammoth,189,2.678,7.6,18,0.6429,2.12,8.49
Mammoth,300,4.251,12.0,22,0.7857,3.37,6.54
Mammoth,500,7.085,20.0,23,0.8214,5.61,4.1
Mammoth,750,10.628,30.0,28,1.0,8.41,3.33
Mammoth,1000,14.171,40.1,28,1.0,11.22,2.5
Mammoth,1392,19.725,55.8,28,1.0,15.62,1.79
Mammoth,2000,28.341,80.1,28,1.0,22.44,1.25
Mammoth,2496,35.37,100.0,28,1.0,28.0,1.0
