brazo,K,area_mm2,pct_region,mitosis_en_mascara,techo_recall,esperado_al_azar,enriquecimiento
Mammoth,20,0.283,0.8,0,0.0,0.22,0.0
Mammoth,50,0.709,2.0,0,0.0,0.56,0.0
Mammoth,100,1.417,4.0,2,0.0714,1.12,1.78
Mammoth,189,2.678,7.6,9,0.3214,2.12,4.24
Mammoth,300,4.251,12.0,13,0.4643,3.37,3.86
Mammoth,500,7.085,20.0,20,0.7143,5.61,3.57
Mammoth,750,10.628,30.0,28,1.0,8.41,3.33
Mammoth,1000,14.171,40.1,28,1.0,11.22,2.5
Mammoth,1392,19.725,55.8,28,1.0,15.62,1.79
Mammoth,2000,28.341,80.1,28,1.0,22.44,1.25
Mammoth,2496,35.37,100.0,28,1.0,28.0,1.0
