marca,x,y,lado_px,en_region_anotada,dmin_px,dmin_um,acreditada,deteccion,det_x,det_y
0,9828.5,70597.8,36.0,True,5.0,2.3,True,128,9829.0,70602.7
1,9476.2,71448.9,37.0,True,2.9,1.3,True,6,9478.0,71451.2
2,14951.6,58839.7,44.0,True,10.6,4.9,True,141,14961.2,58835.3
3,9736.0,71521.6,51.0,True,267.4,124.3,False,-1,,
4,12406.5,58274.8,36.0,True,461.6,214.6,False,-1,,
5,12294.0,59305.6,29.0,True,675.8,314.3,False,-1,,
6,13373.5,55771.8,36.0,True,50.2,23.3,False,-1,,
7,11887.5,56020.8,36.0,True,3.1,1.4,True,103,11885.0,56022.5
8,12638.2,58597.4,54.0,True,111.5,51.8,False,-1,,
9,11758.5,55906.8,36.0,True,171.4,79.7,False,-1,,
10,10370.4,72009.3,28.0,True,3.0,1.4,True,132,10372.8,72007.4
11,13869.5,56976.8,36.0,True,3.2,1.5,True,106,13871.9,56978.8
12,13847.5,57082.8,36.0,True,4.8,2.2,True,108,13848.1,57087.5
13,11693.2,55374.4,54.0,True,432.4,201.0,False,-1,,
14,9657.9,70532.9,38.0,True,7.4,3.4,True,25,9656.0,70540.1
15,13146.2,59289.4,54.0,True,245.4,114.1,False,-1,,
16,12454.2,58638.4,54.0,True,148.7,69.1,False,-1,,
17,10399.5,72172.8,36.0,True,167.5,77.9,False,-1,,
18,12872.5,55668.8,36.0,True,5.2,2.4,True,99,12869.9,55664.2
19,12744.5,55876.8,36.0,True,246.8,114.8,False,-1,,
20,11899.5,57731.8,36.0,True,320.4,149.0,False,-1,,
21,12441.2,58372.4,54.0,True,358.2,166.6,False,-1,,
22,13407.5,55732.8,36.0,True,4.4,2.0,True,100,13409.4,55736.7
23,12586.5,58699.8,36.0,True,4.1,1.9,True,119,12590.3,58698.1
24,14066.5,57499.8,36.0,True,1.7,0.8,True,114,14066.9,57501.4
25,13922.0,60039.1,42.0,True,2.5,1.2,True,125,13924.3,60040.0
