slide_id,marcas,detecciones,marcas_en_region_anotada,detecciones_en_region_anotada,region_anotada,tp_30um,recall_30um,dmin_mediana_um,lado_mediano_um,dx,dy
129741,26,177,26,82,"[49920, 80640)",13,0.5,14.1,16.7,3829,0
126504,20,109,20,109,,5,0.25,322.9,20.7,8981,0
128194,17,45,17,45,,4,0.2353,193.3,16.3,7431,0
124729,8,10,8,10,,1,0.125,744.4,18.6,13358,0
124806,6,74,6,74,,3,0.5,38.5,13.3,8890,0
B25-158899,6,7,6,2,"[0, 25600)",0,0.0,1402.3,12.3,22708,0
144317,3,10,3,10,,0,0.0,4152.3,15.8,10349,0
164001,3,20,3,20,,0,0.0,1538.3,14.0,11261,0
106552,2,10,2,10,,0,0.0,3377.5,14.0,15501,0
103762,1,252,1,252,,0,0.0,933.0,13.0,19148,0
109609,1,13,1,13,,0,0.0,2021.3,14.9,10030,0
110616,1,5,1,5,,0,0.0,2580.6,29.8,8981,0
