slide_id,tolerancia_um,tp,n,recall
129741,7.5,13,26,0.5
129741,15.0,13,26,0.5
129741,22.5,13,26,0.5
129741,30.0,13,26,0.5
129741,50.0,13,26,0.5
129741,75.0,13,26,0.5
129741,100.0,14,26,0.5385
129741,150.0,17,26,0.6538
129741,200.0,18,26,0.6923
129741,300.0,20,26,0.7692
126504,7.5,5,20,0.25
126504,15.0,5,20,0.25
126504,22.5,5,20,0.25
126504,30.0,5,20,0.25
126504,50.0,5,20,0.25
126504,75.0,5,20,0.25
126504,100.0,5,20,0.25
126504,150.0,5,20,0.25
126504,200.0,5,20,0.25
126504,300.0,7,20,0.35
128194,7.5,4,17,0.2353
128194,15.0,4,17,0.2353
128194,22.5,4,17,0.2353
128194,30.0,4,17,0.2353
128194,50.0,4,17,0.2353
128194,75.0,4,17,0.2353
128194,100.0,4,17,0.2353
128194,150.0,6,17,0.3529
128194,200.0,7,17,0.4118
128194,300.0,7,17,0.4118
124729,7.5,1,8,0.125
124729,15.0,1,8,0.125
124729,22.5,1,8,0.125
124729,30.0,1,8,0.125
124729,50.0,1,8,0.125
124729,75.0,1,8,0.125
124729,100.0,1,8,0.125
124729,150.0,1,8,0.125
124729,200.0,1,8,0.125
124729,300.0,1,8,0.125
124806,7.5,3,6,0.5
124806,15.0,3,6,0.5
124806,22.5,3,6,0.5
124806,30.0,3,6,0.5
124806,50.0,3,6,0.5
124806,75.0,4,6,0.6667
124806,100.0,4,6,0.6667
124806,150.0,4,6,0.6667
124806,200.0,5,6,0.8333
124806,300.0,6,6,1.0
B25-158899,7.5,0,6,0.0
B25-158899,15.0,0,6,0.0
B25-158899,22.5,0,6,0.0
B25-158899,30.0,0,6,0.0
B25-158899,50.0,0,6,0.0
B25-158899,75.0,0,6,0.0
B25-158899,100.0,0,6,0.0
B25-158899,150.0,0,6,0.0
B25-158899,200.0,0,6,0.0
B25-158899,300.0,0,6,0.0
144317,7.5,0,3,0.0
144317,15.0,0,3,0.0
144317,22.5,0,3,0.0
144317,30.0,0,3,0.0
144317,50.0,0,3,0.0
144317,75.0,0,3,0.0
144317,100.0,0,3,0.0
144317,150.0,0,3,0.0
144317,200.0,0,3,0.0
144317,300.0,0,3,0.0
164001,7.5,0,3,0.0
164001,15.0,0,3,0.0
164001,22.5,0,3,0.0
164001,30.0,0,3,0.0
164001,50.0,0,3,0.0
164001,75.0,0,3,0.0
164001,100.0,0,3,0.0
164001,150.0,0,3,0.0
164001,200.0,0,3,0.0
164001,300.0,0,3,0.0
106552,7.5,0,2,0.0
106552,15.0,0,2,0.0
106552,22.5,0,2,0.0
106552,30.0,0,2,0.0
106552,50.0,0,2,0.0
106552,75.0,0,2,0.0
106552,100.0,0,2,0.0
106552,150.0,0,2,0.0
106552,200.0,0,2,0.0
106552,300.0,0,2,0.0
103762,7.5,0,1,0.0
103762,15.0,0,1,0.0
103762,22.5,0,1,0.0
103762,30.0,0,1,0.0
103762,50.0,0,1,0.0
103762,75.0,0,1,0.0
103762,100.0,0,1,0.0
103762,150.0,0,1,0.0
103762,200.0,0,1,0.0
103762,300.0,0,1,0.0
109609,7.5,0,1,0.0
109609,15.0,0,1,0.0
109609,22.5,0,1,0.0
109609,30.0,0,1,0.0
109609,50.0,0,1,0.0
109609,75.0,0,1,0.0
109609,100.0,0,1,0.0
109609,150.0,0,1,0.0
109609,200.0,0,1,0.0
109609,300.0,0,1,0.0
110616,7.5,0,1,0.0
110616,15.0,0,1,0.0
110616,22.5,0,1,0.0
110616,30.0,0,1,0.0
110616,50.0,0,1,0.0
110616,75.0,0,1,0.0
110616,100.0,0,1,0.0
110616,150.0,0,1,0.0
110616,200.0,0,1,0.0
110616,300.0,0,1,0.0
