brazo,presupuesto_mm2,k_parches,area_real_mm2,marcas_dentro,acreditadas_dentro,detecciones_dentro,n_laminas,det_por_mm2
azar,1.0,852.0,12.073284403199999,1.5050000000000001,0.40499999999999997,11.325,12,0.938021471356902
azar,3.0,2544.0,36.0498069504,4.6,1.3,34.76,12,0.9642215296138864
azar,10.0,8472.0,120.05265899520002,15.175,4.215,114.8,12,0.9562470415968877
azar,30.0,25416.0,360.15797698560004,45.48,12.615,339.85,12,0.9436136965351403
azar,lamina_entera,49832.0,706.1454323712001,94.0,26.0,707.0,12,1.0012101864426572
clam_combinado,1.0,852.0,12.073284403199999,18.0,6.0,45.0,12,3.7272376345307365
clam_combinado,3.0,2544.0,36.0498069504,31.0,11.0,106.0,12,2.940376356129803
clam_combinado,10.0,8472.0,120.05265899520002,68.0,22.0,281.0,12,2.340639535616075
clam_combinado,30.0,25416.0,360.15797698560004,91.0,26.0,548.0,12,1.5215545261181604
clam_combinado,lamina_entera,49832.0,706.1454323712001,94.0,26.0,707.0,12,1.0012101864426572
clam_gate,1.0,852.0,12.073284403199999,3.0,0.0,9.0,12,0.7454475269061474
clam_gate,3.0,2544.0,36.0498069504,14.0,5.0,31.0,12,0.8599213871700369
clam_gate,10.0,8472.0,120.05265899520002,42.0,15.0,166.0,12,1.3827265584066493
clam_gate,30.0,25416.0,360.15797698560004,92.0,26.0,510.0,12,1.416045270657412
clam_gate,lamina_entera,49832.0,706.1454323712001,94.0,26.0,707.0,12,1.0012101864426572
clam_mitosis,1.0,852.0,12.073284403199999,23.0,11.0,88.0,12,7.2888202630823296
clam_mitosis,3.0,2544.0,36.0498069504,42.0,14.0,166.0,12,4.6047403312976165
clam_mitosis,10.0,8472.0,120.05265899520002,68.0,23.0,327.0,12,2.7238047264998455
clam_mitosis,30.0,25416.0,360.15797698560004,90.0,26.0,549.0,12,1.5243310854723906
clam_mitosis,lamina_entera,49832.0,706.1454323712001,94.0,26.0,707.0,12,1.0012101864426572
sin_filtro,lamina_entera,,,94.0,26.0,732.0,12,inf
teselado,lamina_entera,49832.0,706.1454323712001,94.0,26.0,707.0,12,1.0012101864426572
