slide,brazo,presupuesto_mm2,k_parches,area_real_mm2,marcas_dentro,acreditadas_dentro,detecciones_dentro,det_por_mm2,marcas_dentro_p975,acreditadas_dentro_p975,detecciones_dentro_p975
129741,sin_filtro,lamina_entera,,,26.0,13.0,177.0,,,,
129741,teselado,lamina_entera,4799.0,68.0043331584,26.0,13.0,168.0,2.470430812234917,,,
129741,clam_mitosis,lamina_entera,4799.0,68.0043331584,26.0,13.0,168.0,2.470430812234917,,,
129741,clam_gate,lamina_entera,4799.0,68.0043331584,26.0,13.0,168.0,2.470430812234917,,,
129741,clam_combinado,lamina_entera,4799.0,68.0043331584,26.0,13.0,168.0,2.470430812234917,,,
129741,azar,lamina_entera,4799.0,68.0043331584,26.0,13.0,168.0,2.470430812234917,26.0,13.0,168.0
129741,clam_mitosis,30.0,2118.0,30.0131647488,26.0,13.0,158.0,5.264356535620497,,,
129741,clam_gate,30.0,2118.0,30.0131647488,26.0,13.0,157.0,5.231037823369735,,,
129741,clam_combinado,30.0,2118.0,30.0131647488,26.0,13.0,160.0,5.330993960122022,,,
129741,azar,30.0,2118.0,30.0131647488,11.42,5.705,73.505,2.4490919439923076,17.0,9.0,86.0
129741,clam_mitosis,10.0,706.0,10.004388249600002,23.0,12.0,120.0,11.994736410274548,,,
129741,clam_gate,10.0,706.0,10.004388249600002,10.0,6.0,58.0,5.797455931632698,,,
129741,clam_combinado,10.0,706.0,10.004388249600002,19.0,12.0,104.0,10.395438222237942,,,
129741,azar,10.0,706.0,10.004388249600002,3.74,1.855,24.865,2.4854093403456385,8.0,5.0,34.0
129741,clam_mitosis,3.0,212.0,3.0041505792,16.0,9.0,67.0,22.302477267248694,,,
129741,clam_gate,3.0,212.0,3.0041505792,3.0,3.0,13.0,4.327346335436314,,,
129741,clam_combinado,3.0,212.0,3.0041505792,8.0,4.0,44.0,14.646402981476754,,,
129741,azar,3.0,212.0,3.0041505792,1.165,0.63,7.62,2.536490698155747,4.0,3.0,13.025000000000006
129741,clam_mitosis,1.0,71.0,1.0061070336,12.0,8.0,34.0,33.79362121974534,,,
129741,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,5.0,4.969650179374315,,,
129741,clam_combinado,1.0,71.0,1.0061070336,7.0,4.0,20.0,19.87860071749726,,,
129741,azar,1.0,71.0,1.0061070336,0.325,0.15,2.265,2.251251531256565,2.0,1.0,5.025000000000006
126504,sin_filtro,lamina_entera,,,20.0,5.0,109.0,,,,
126504,teselado,lamina_entera,4410.0,62.492000256000004,20.0,5.0,108.0,1.728221205235476,,,
126504,clam_mitosis,lamina_entera,4410.0,62.492000256000004,20.0,5.0,108.0,1.728221205235476,,,
126504,clam_gate,lamina_entera,4410.0,62.492000256000004,20.0,5.0,108.0,1.728221205235476,,,
126504,clam_combinado,lamina_entera,4410.0,62.492000256000004,20.0,5.0,108.0,1.728221205235476,,,
126504,azar,lamina_entera,4410.0,62.492000256000004,20.0,5.0,108.0,1.728221205235476,20.0,5.0,108.0
126504,clam_mitosis,30.0,2118.0,30.0131647488,19.0,5.0,98.0,3.2652338005747388,,,
126504,clam_gate,30.0,2118.0,30.0131647488,20.0,5.0,89.0,2.9653653903178747,,,
126504,clam_combinado,30.0,2118.0,30.0131647488,20.0,5.0,98.0,3.2652338005747388,,,
126504,azar,30.0,2118.0,30.0131647488,9.655,2.41,52.25,1.740902715102348,14.0,4.0,64.0
126504,clam_mitosis,10.0,706.0,10.004388249600002,13.0,4.0,63.0,6.297236615394138,,,
126504,clam_gate,10.0,706.0,10.004388249600002,8.0,3.0,35.0,3.498464786330077,,,
126504,clam_combinado,10.0,706.0,10.004388249600002,15.0,4.0,57.0,5.697499794880411,,,
126504,azar,10.0,706.0,10.004388249600002,3.135,0.75,17.695,1.7687238398317346,6.025000000000006,2.0250000000000057,25.025000000000006
126504,clam_mitosis,3.0,212.0,3.0041505792,6.0,1.0,31.0,10.31905664604044,,,
126504,clam_gate,3.0,212.0,3.0041505792,6.0,2.0,11.0,3.6616007453691886,,,
126504,clam_combinado,3.0,212.0,3.0041505792,8.0,3.0,28.0,9.320438260939753,,,
126504,azar,3.0,212.0,3.0041505792,0.85,0.19,5.33,1.7742119975288888,3.0,1.0,10.025000000000006
126504,clam_mitosis,1.0,71.0,1.0061070336,2.0,1.0,18.0,17.890740645747535,,,
126504,clam_gate,1.0,71.0,1.0061070336,1.0,0.0,0.0,0.0,,,
126504,clam_combinado,1.0,71.0,1.0061070336,4.0,1.0,14.0,13.915020502248082,,,
126504,azar,1.0,71.0,1.0061070336,0.345,0.055,1.785,1.7741651140366304,2.0,1.0,5.0
128194,sin_filtro,lamina_entera,,,17.0,4.0,45.0,,,,
128194,teselado,lamina_entera,4570.0,64.75928371200001,17.0,4.0,45.0,0.6948810644683122,,,
128194,clam_mitosis,lamina_entera,4570.0,64.75928371200001,17.0,4.0,45.0,0.6948810644683122,,,
128194,clam_gate,lamina_entera,4570.0,64.75928371200001,17.0,4.0,45.0,0.6948810644683122,,,
128194,clam_combinado,lamina_entera,4570.0,64.75928371200001,17.0,4.0,45.0,0.6948810644683122,,,
128194,azar,lamina_entera,4570.0,64.75928371200001,17.0,4.0,45.0,0.6948810644683122,17.0,4.0,45.0
128194,clam_mitosis,30.0,2118.0,30.0131647488,17.0,4.0,42.0,1.3993859145320309,,,
128194,clam_gate,30.0,2118.0,30.0131647488,17.0,4.0,43.0,1.4327046267827934,,,
128194,clam_combinado,30.0,2118.0,30.0131647488,17.0,4.0,43.0,1.4327046267827934,,,
128194,azar,30.0,2118.0,30.0131647488,7.585,1.785,20.88,0.6956947117959239,12.0,4.0,28.0
128194,clam_mitosis,10.0,706.0,10.004388249600002,16.0,4.0,39.0,3.8982893333392283,,,
128194,clam_gate,10.0,706.0,10.004388249600002,10.0,3.0,27.0,2.6988156923117734,,,
128194,clam_combinado,10.0,706.0,10.004388249600002,15.0,3.0,36.0,3.5984209230823647,,,
128194,azar,10.0,706.0,10.004388249600002,2.65,0.59,6.78,0.677702607180512,6.0,2.0,13.0
128194,clam_mitosis,3.0,212.0,3.0041505792,10.0,1.0,21.0,6.9903286957048145,,,
128194,clam_gate,3.0,212.0,3.0041505792,1.0,0.0,2.0,0.6657455900671252,,,
128194,clam_combinado,3.0,212.0,3.0041505792,7.0,1.0,16.0,5.3259647205370015,,,
128194,azar,3.0,212.0,3.0041505792,0.905,0.2,2.125,0.7073546894463205,3.0,1.0,5.025000000000006
128194,clam_mitosis,1.0,71.0,1.0061070336,6.0,1.0,12.0,11.927160430498356,,,
128194,clam_gate,1.0,71.0,1.0061070336,0.0,0.0,2.0,1.9878600717497261,,,
128194,clam_combinado,1.0,71.0,1.0061070336,3.0,0.0,6.0,5.963580215249178,,,
128194,azar,1.0,71.0,1.0061070336,0.335,0.09,0.625,0.6212062724217894,2.0,1.0,3.0
124729,sin_filtro,lamina_entera,,,8.0,1.0,10.0,,,,
124729,teselado,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,clam_mitosis,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,clam_gate,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,clam_combinado,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,,,
124729,azar,lamina_entera,4334.0,61.415040614400006,8.0,1.0,10.0,0.16282656332975373,8.0,1.0,10.0
124729,clam_mitosis,30.0,2118.0,30.0131647488,8.0,1.0,10.0,0.3331871225076264,,,
124729,clam_gate,30.0,2118.0,30.0131647488,8.0,1.0,9.0,0.2998684102568638,,,
124729,clam_combinado,30.0,2118.0,30.0131647488,8.0,1.0,9.0,0.2998684102568638,,,
