slide,n_parches,paso_px,area_parche_mm2,mm2,marcas,acreditadas,detecciones,marcas_en_tesela,marcas_fuera,detecciones_en_tesela,detecciones_fuera,region_anotada
129741,4799,256,0.014171,68.0043331584,26,13,177,26,0,168,9,"[49920, 80640)"
126504,4410,256,0.014171,62.492000256000004,20,5,109,20,0,108,1,
128194,4570,256,0.014171,64.75928371200001,17,4,45,17,0,45,0,
124729,4334,256,0.014171,61.415040614400006,8,1,10,8,0,10,0,
124806,2705,256,0.014171,38.331260928000006,6,3,74,6,0,73,1,
B25-158899,4697,256,0.014171,66.5589399552,6,0,7,6,0,7,0,"[0, 25600)"
144317,4769,256,0.014171,67.5792175104,3,0,10,3,0,10,0,
164001,3796,256,0.014171,53.791299993600006,3,0,20,3,0,15,5,
106552,4659,256,0.014171,66.02046013440001,2,0,10,2,0,9,1,
103762,5203,256,0.014171,73.7292238848,1,0,252,1,0,245,7,
109609,2957,256,0.014171,41.9022323712,1,0,13,1,0,12,1,
110616,2933,256,0.014171,41.5621398528,1,0,5,1,0,5,0,
