grupo,N,n_laminas,alcanzables,recall,pct_alcanzables,nulo_media,nulo_p975,pct_nulo_p975,carga_media_mm2_lamina
alto,10,9,76,8,10.5263,0.0100,0.0000,0.0000,0.1329
moderado,10,10,53,0,0.0000,0.0000,0.0000,0.0000,0.1329
bajo,10,2,16,0,0.0000,0.0050,0.0000,0.0000,0.1329
total,10,21,145,8,5.5172,0.0150,0.0000,0.0000,0.1329
alto,20,9,76,10,13.1579,0.0150,0.0000,0.0000,0.2564
moderado,20,10,53,0,0.0000,0.0100,0.0000,0.0000,0.2564
bajo,20,2,16,0,0.0000,0.0050,0.0000,0.0000,0.2564
total,20,21,145,10,6.8966,0.0300,1.0000,0.6897,0.2564
alto,50,9,76,15,19.7368,0.0250,0.0250,0.0329,0.6046
moderado,50,10,53,2,3.7736,0.0350,1.0000,1.8868,0.6046
bajo,50,2,16,0,0.0000,0.0050,0.0000,0.0000,0.6046
total,50,21,145,17,11.7241,0.0650,1.0000,0.6897,0.6046
alto,100,9,76,22,28.9474,0.0500,1.0000,1.3158,1.1458
moderado,100,10,53,2,3.7736,0.0700,1.0000,1.8868,1.1458
bajo,100,2,16,0,0.0000,0.0050,0.0000,0.0000,1.1458
total,100,21,145,24,16.5517,0.1250,1.0000,0.6897,1.1458
alto,200,9,76,27,35.5263,0.1400,1.0000,1.3158,2.0230
moderado,200,10,53,4,7.5472,0.1100,1.0000,1.8868,2.0230
bajo,200,2,16,0,0.0000,0.0200,0.0000,0.0000,2.0230
total,200,21,145,31,21.3793,0.2700,2.0000,1.3793,2.0230
alto,500,9,76,41,53.9474,0.3550,2.0000,2.6316,4.0676
moderado,500,10,53,12,22.6415,0.2500,1.0000,1.8868,4.0676
bajo,500,2,16,0,0.0000,0.0350,1.0000,6.2500,4.0676
total,500,21,145,53,36.5517,0.6400,3.0000,2.0690,4.0676
alto,1000,9,76,47,61.8421,0.6850,3.0000,3.9474,6.4523
moderado,1000,10,53,19,35.8491,0.5550,3.0000,5.6604,6.4523
bajo,1000,2,16,2,12.5000,0.0950,1.0000,6.2500,6.4523
total,1000,21,145,68,46.8966,1.3350,4.0000,2.7586,6.4523
alto,2000,9,76,57,75.0000,1.3850,4.0250,5.2961,9.5509
moderado,2000,10,53,23,43.3962,0.9900,4.0000,7.5472,9.5509
bajo,2000,2,16,6,37.5000,0.1350,2.0000,12.5000,9.5509
total,2000,21,145,86,59.3103,2.5100,7.0000,4.8276,9.5509
