,train,val,test
0,AP_494_OT_1808_14-2715_MxBr_89_HE,AP473_OT1760_14143_MxBr_31_HE,AP_494_OT_1808_14-2524_MxBr_87_HE
1,AP_494_OT_1814_46875_MxBr_55_HE,AP_494_OT_1808_15-0559_MxBr_107_HE,AP656_OT2122_Br0247_HE
2,OT1808_AP_494_46875_MxBr_55,AP_494_OT_1808_15-0742_MxBr_112_HE,AP_494_OT_1808_14-2443_MxBr_84_HE_Br0326
3,AP656_OT2122_Br0270_HE,,AP_494_OT_1808_14-2443_MxBr_84_HE
4,OT_1788_AP_487_12054-A_MxBr_03_HE,,
5,AP_494_OT_1808_50417_MxBr_60__HE,,
6,OT_1814_AP_494_50417_MxBr_60,,
7,AP473_OT1760_13341_MxBr_17_HE,,
8,AP473_OT1760_14411_MxBr_35_HE,,
9,AP473_OT1760_12865_MxBr_12_HE,,
10,OT_1788_AP_487__12073_1R1_MxBr_06_HE,,
11,AP_494_OT_1808_49827_MxBr_58_HE,,
12,OT_1814_AP_494_49827_MxBr_58_BR0300,,
13,Copy_of_AP_500_OT_1831_Br0310.1_56296-1_HE_(2),,
14,Copy_of_AP_500_OT_1831_Br0310.1_56296-1_HE,,
15,Copy_of_AP_494_OT_1808_56296_MxBr_68_HE,,
16,OT_1788_AP_487_13132_MxBr_15_HE,,
17,AP_494_OT_1808_14-2785_MxBr_91_HE,,
18,AP656_OT2122_Br0269_HE,,
19,AP_500_OT_1831_Br0298.1_46941-3A_HE,,
20,AP_494_OT_1808_49890_MxBr_59_HE,,
21,AP_494_OT_1808_14-1441_MxBr_74_HE,,
22,AP_494_OT_1808_15-0141_MxBr_99_HE,,
23,AP_494_OT_1808_56377_MxBr_99_HE,,
24,AP_494_OT_1808_14-2998_MxBr_95_HE,,
25,OT_1788_AP_487_13845_MxBr_26_HE,,
26,AP473_OT1760_12330_MxBr_07_HE,,
27,Copy_of_AP_494_OT_1808_14-2724_MxBr_90_HE,,
28,AP656_OT2122_Br0266_HE,,
29,AP_494_OT_1808_53678_MxBr_65_HE,,
30,OT_1814_AP_494_53678_MxBr_65,,
31,AP_500_OT_1831_Br0307.1_53678-I72_HE,,
32,AP473_OT1760_14782_MxBr_42_HE,,
33,AP473_OT1760_1199_1_1-6_MxBr_02_HE,,
