,train,val,test
0,AP_494_OT_1808_14-2715_MxBr_89_HE,AP_494_OT_1808_53678_MxBr_65_HE,OT_1788_AP_487__12073_1R1_MxBr_06_HE
1,AP656_OT2122_Br0270_HE,OT_1814_AP_494_53678_MxBr_65,Copy_of_AP_500_OT_1831_Br0310.1_56296-1_HE_(2)
2,AP473_OT1760_14143_MxBr_31_HE,AP_500_OT_1831_Br0307.1_53678-I72_HE,Copy_of_AP_500_OT_1831_Br0310.1_56296-1_HE
3,OT_1788_AP_487_12054-A_MxBr_03_HE,AP473_OT1760_1199_1_1-6_MxBr_02_HE,Copy_of_AP_494_OT_1808_56296_MxBr_68_HE
4,AP_494_OT_1808_50417_MxBr_60__HE,,
5,OT_1814_AP_494_50417_MxBr_60,,
6,AP473_OT1760_13341_MxBr_17_HE,,
7,AP473_OT1760_14411_MxBr_35_HE,,
8,AP_494_OT_1808_14-2524_MxBr_87_HE,,
9,AP473_OT1760_12865_MxBr_12_HE,,
10,AP_494_OT_1808_49827_MxBr_58_HE,,
11,OT_1814_AP_494_49827_MxBr_58_BR0300,,
12,OT_1788_AP_487_13132_MxBr_15_HE,,
13,AP_494_OT_1808_14-2785_MxBr_91_HE,,
14,AP656_OT2122_Br0269_HE,,
15,AP_500_OT_1831_Br0298.1_46941-3A_HE,,
16,AP_494_OT_1808_49890_MxBr_59_HE,,
17,AP_494_OT_1808_14-1441_MxBr_74_HE,,
18,AP_494_OT_1808_15-0141_MxBr_99_HE,,
19,AP_494_OT_1808_56377_MxBr_99_HE,,
20,AP_494_OT_1808_14-2998_MxBr_95_HE,,
21,OT_1788_AP_487_13845_MxBr_26_HE,,
22,AP_494_OT_1808_15-0559_MxBr_107_HE,,
23,AP656_OT2122_Br0247_HE,,
24,AP473_OT1760_12330_MxBr_07_HE,,
25,AP_494_OT_1808_14-2443_MxBr_84_HE_Br0326,,
26,AP_494_OT_1808_14-2443_MxBr_84_HE,,
27,AP_494_OT_1808_15-0742_MxBr_112_HE,,
28,AP656_OT2122_Br0266_HE,,
29,AP473_OT1760_14782_MxBr_42_HE,,
