,e28·s4,e6·s9,e13·s6,e28·s5,e19·s9,e1·s7,e26·s2,e13·s5,e10·s5,e19·s5,e22·s3,e29·s7
e28·s4,1.0,-0.584,0.578,-0.559,0.587,-0.355,-0.537,0.587,-0.424,0.606,-0.267,0.111
e6·s9,-0.584,1.0,-0.717,0.594,-0.707,0.719,0.725,-0.623,0.729,-0.675,0.623,0.052
e13·s6,0.578,-0.717,1.0,-0.528,0.762,-0.531,-0.705,0.71,-0.605,0.74,-0.431,-0.134
e28·s5,-0.559,0.594,-0.528,1.0,-0.552,0.548,0.598,-0.584,0.513,-0.533,0.303,0.171
e19·s9,0.587,-0.707,0.762,-0.552,1.0,-0.506,-0.697,0.726,-0.594,0.623,-0.409,-0.144
e1·s7,-0.355,0.719,-0.531,0.548,-0.506,1.0,0.552,-0.484,0.642,-0.43,0.644,0.224
e26·s2,-0.537,0.725,-0.705,0.598,-0.697,0.552,1.0,-0.624,0.589,-0.571,0.515,0.197
e13·s5,0.587,-0.623,0.71,-0.584,0.726,-0.484,-0.624,1.0,-0.516,0.626,-0.381,-0.129
e10·s5,-0.424,0.729,-0.605,0.513,-0.594,0.642,0.589,-0.516,1.0,-0.552,0.455,0.196
e19·s5,0.606,-0.675,0.74,-0.533,0.623,-0.43,-0.571,0.626,-0.552,1.0,-0.299,0.076
e22·s3,-0.267,0.623,-0.431,0.303,-0.409,0.644,0.515,-0.381,0.455,-0.299,1.0,0.055
e29·s7,0.111,0.052,-0.134,0.171,-0.144,0.224,0.197,-0.129,0.196,0.076,0.055,1.0
