,e6·s7,e15·s5,e19·s9,e15·s7,e26·s2,e8·s6,e17·s0,e23·s7,e8·s9,e28·s2,e10·s9,e21·s1
e6·s7,1.0,-0.366,0.552,0.315,0.434,0.558,-0.568,0.477,0.23,0.075,0.597,0.065
e15·s5,-0.366,1.0,-0.203,0.065,-0.501,-0.488,0.109,-0.428,-0.454,-0.25,-0.143,0.153
e19·s9,0.552,-0.203,1.0,0.517,0.35,0.554,-0.576,0.571,0.197,-0.329,0.67,0.16
e15·s7,0.315,0.065,0.517,1.0,0.373,0.244,-0.427,0.337,-0.098,-0.013,0.553,-0.116
e26·s2,0.434,-0.501,0.35,0.373,1.0,0.455,-0.274,0.593,0.35,0.419,0.417,-0.126
e8·s6,0.558,-0.488,0.554,0.244,0.455,1.0,-0.399,0.697,0.589,0.13,0.456,0.289
e17·s0,-0.568,0.109,-0.576,-0.427,-0.274,-0.399,1.0,-0.335,0.061,0.213,-0.681,-0.082
e23·s7,0.477,-0.428,0.571,0.337,0.593,0.697,-0.335,1.0,0.565,0.113,0.373,0.18
e8·s9,0.23,-0.454,0.197,-0.098,0.35,0.589,0.061,0.565,1.0,0.259,0.088,0.33
e28·s2,0.075,-0.25,-0.329,-0.013,0.419,0.13,0.213,0.113,0.259,1.0,-0.078,-0.121
e10·s9,0.597,-0.143,0.67,0.553,0.417,0.456,-0.681,0.373,0.088,-0.078,1.0,0.129
e21·s1,0.065,0.153,0.16,-0.116,-0.126,0.289,-0.082,0.18,0.33,-0.121,0.129,1.0
