,e12·s2,e5·s5,e24·s9,e11·s3,e28·s7,e25·s9,e11·s4,e23·s2,e21·s4,e10·s2,e0·s1,e13·s5
e12·s2,1.0,-0.621,-0.473,0.053,0.649,0.526,-0.462,0.64,-0.437,0.736,-0.372,-0.28
e5·s5,-0.621,1.0,0.89,0.081,-0.533,-0.469,0.686,-0.749,0.633,-0.641,0.829,0.577
e24·s9,-0.473,0.89,1.0,0.167,-0.4,-0.295,0.612,-0.779,0.596,-0.576,0.864,0.562
e11·s3,0.053,0.081,0.167,1.0,0.234,0.334,0.108,-0.279,-0.037,0.105,0.047,0.181
e28·s7,0.649,-0.533,-0.4,0.234,1.0,0.669,-0.317,0.459,-0.381,0.564,-0.363,-0.16
e25·s9,0.526,-0.469,-0.295,0.334,0.669,1.0,-0.536,0.297,-0.382,0.31,-0.287,-0.367
e11·s4,-0.462,0.686,0.612,0.108,-0.317,-0.536,1.0,-0.579,0.403,-0.371,0.504,0.723
e23·s2,0.64,-0.749,-0.779,-0.279,0.459,0.297,-0.579,1.0,-0.618,0.702,-0.69,-0.482
e21·s4,-0.437,0.633,0.596,-0.037,-0.381,-0.382,0.403,-0.618,1.0,-0.606,0.675,0.348
e10·s2,0.736,-0.641,-0.576,0.105,0.564,0.31,-0.371,0.702,-0.606,1.0,-0.556,-0.202
e0·s1,-0.372,0.829,0.864,0.047,-0.363,-0.287,0.504,-0.69,0.675,-0.556,1.0,0.433
e13·s5,-0.28,0.577,0.562,0.181,-0.16,-0.367,0.723,-0.482,0.348,-0.202,0.433,1.0
