rank,experto,slot,id,peso_pct,vs_uniforme,masa_acum_pct,sobre_uniforme,en_top_90pct,pct_TCGA-A7-A4SB,pct_TCGA-D8-A1XB
1,13,6,e13·s6,3.2441,9.732,3.24,si,si,4.088,2.4003
2,21,0,e21·s0,3.1104,9.331,6.35,si,si,5.769,0.4517
3,2,6,e2·s6,2.714,8.142,9.07,si,si,4.6281,0.7998
4,3,2,e3·s2,2.6985,8.095,11.77,si,si,4.9423,0.4546
5,19,9,e19·s9,2.6484,7.945,14.42,si,si,3.2249,2.0719
6,28,4,e28·s4,2.3568,7.07,16.77,si,si,1.8535,2.8601
7,27,3,e27·s3,1.881,5.643,18.65,si,si,3.6407,0.1213
8,12,9,e12·s9,1.8727,5.618,20.53,si,si,3.7052,0.0402
9,28,5,e28·s5,1.7827,5.348,22.31,si,si,1.4355,2.1299
10,6,9,e6·s9,1.4958,4.488,23.8,si,si,0.1855,2.8062
11,21,2,e21·s2,1.4718,4.416,25.28,si,si,2.8184,0.1253
12,13,5,e13·s5,1.4524,4.357,26.73,si,si,1.1925,1.7124
13,15,7,e15·s7,1.3307,3.992,28.06,si,si,1.5641,1.0974
14,14,9,e14·s9,1.2734,3.82,29.33,si,si,2.2503,0.2966
15,5,0,e5·s0,1.2411,3.723,30.57,si,si,2.3539,0.1284
16,16,2,e16·s2,1.2305,3.692,31.8,si,si,1.761,0.7
17,8,1,e8·s1,1.189,3.567,32.99,si,si,1.9316,0.4464
18,13,3,e13·s3,1.1591,3.477,34.15,si,si,1.5216,0.7966
19,28,0,e28·s0,1.1353,3.406,35.29,si,si,2.13,0.1406
20,19,5,e19·s5,1.0302,3.09,36.32,si,si,0.6433,1.417
21,14,8,e14·s8,1.006,3.018,37.32,si,si,1.7354,0.2766
22,1,7,e1·s7,0.9986,2.996,38.32,si,si,0.0447,1.9524
23,19,6,e19·s6,0.9946,2.984,39.32,si,si,1.4453,0.5439
24,26,2,e26·s2,0.9218,2.765,40.24,si,si,0.1025,1.7411
25,21,6,e21·s6,0.9101,2.73,41.15,si,si,1.3219,0.4983
26,10,5,e10·s5,0.8546,2.564,42.0,si,si,0.0339,1.6752
27,8,0,e8·s0,0.8146,2.444,42.82,si,si,1.2908,0.3385
28,29,7,e29·s7,0.8059,2.418,43.62,si,si,0.3944,1.2173
29,27,5,e27·s5,0.7556,2.267,44.38,si,si,1.227,0.2842
30,2,8,e2·s8,0.7487,2.246,45.13,si,si,1.1562,0.3412
31,21,8,e21·s8,0.7247,2.174,45.85,si,si,0.5257,0.9237
32,5,1,e5·s1,0.7198,2.159,46.57,si,si,1.2898,0.1499
33,19,2,e19·s2,0.7059,2.118,47.28,si,si,0.6133,0.7985
34,10,6,e10·s6,0.6928,2.078,47.97,si,si,1.1869,0.1987
35,17,3,e17·s3,0.6917,2.075,48.66,si,si,0.2788,1.1045
36,6,5,e6·s5,0.6769,2.031,49.34,si,si,0.4804,0.8735
37,7,0,e7·s0,0.6646,1.994,50.0,si,si,0.6439,0.6852
38,2,5,e2·s5,0.6457,1.937,50.65,si,si,0.3362,0.9552
39,10,1,e10·s1,0.6432,1.93,51.29,si,si,0.6982,0.5881
40,22,3,e22·s3,0.6378,1.913,51.93,si,si,0.0413,1.2343
41,2,7,e2·s7,0.6339,1.902,52.57,si,si,0.1051,1.1627
42,6,2,e6·s2,0.6059,1.818,53.17,si,si,0.1929,1.0189
43,15,2,e15·s2,0.5903,1.771,53.76,si,si,0.334,0.8466
44,18,5,e18·s5,0.5813,1.744,54.34,si,si,0.0422,1.1204
45,4,5,e4·s5,0.5779,1.734,54.92,si,si,0.5421,0.6137
46,0,1,e0·s1,0.562,1.686,55.48,si,si,1.0846,0.0394
47,12,5,e12·s5,0.562,1.686,56.04,si,si,0.6657,0.4583
48,2,0,e2·s0,0.5561,1.668,56.6,si,si,0.1916,0.9205
49,1,2,e1·s2,0.5428,1.628,57.14,si,si,0.9657,0.1199
50,22,9,e22·s9,0.5385,1.615,57.68,si,si,0.1396,0.9374
51,23,2,e23·s2,0.5285,1.585,58.21,si,si,0.6674,0.3895
52,27,7,e27·s7,0.5264,1.579,58.74,si,si,0.6368,0.416
53,11,8,e11·s8,0.5246,1.574,59.26,si,si,0.5327,0.5164
54,7,3,e7·s3,0.5153,1.546,59.78,si,si,0.0144,1.0161
55,4,9,e4·s9,0.5093,1.528,60.29,si,si,0.5728,0.4457
56,16,6,e16·s6,0.5073,1.522,60.79,si,si,0.2556,0.7589
57,9,0,e9·s0,0.4872,1.462,61.28,si,si,0.0263,0.9481
58,13,2,e13·s2,0.4672,1.402,61.75,si,si,0.3974,0.5371
59,17,0,e17·s0,0.4657,1.397,62.21,si,si,0.3298,0.6017
60,28,9,e28·s9,0.4539,1.362,62.67,si,si,0.85,0.0578
61,21,1,e21·s1,0.4537,1.361,63.12,si,si,0.8097,0.0977
62,5,9,e5·s9,0.4447,1.334,63.57,si,si,0.206,0.6834
63,14,2,e14·s2,0.4446,1.334,64.01,si,si,0.6412,0.248
64,26,8,e26·s8,0.443,1.329,64.45,si,si,0.0336,0.8525
65,29,6,e29·s6,0.4396,1.319,64.89,si,si,0.7361,0.1431
66,23,5,e23·s5,0.4342,1.302,65.33,si,si,0.0222,0.8461
67,3,1,e3·s1,0.4328,1.298,65.76,si,si,0.3862,0.4794
68,22,6,e22·s6,0.4255,1.276,66.19,si,si,0.1773,0.6736
69,17,4,e17·s4,0.4012,1.204,66.59,si,si,0.4626,0.3397
70,13,7,e13·s7,0.4011,1.203,66.99,si,si,0.559,0.2432
71,9,5,e9·s5,0.3988,1.196,67.39,si,si,0.7118,0.0859
72,7,5,e7·s5,0.3927,1.178,67.78,si,si,0.0938,0.6916
73,26,1,e26·s1,0.3865,1.159,68.17,si,si,0.0201,0.7529
74,15,5,e15·s5,0.3864,1.159,68.55,si,si,0.3873,0.3855
75,6,6,e6·s6,0.3798,1.139,68.93,si,si,0.021,0.7386
76,7,9,e7·s9,0.3717,1.115,69.3,si,si,0.0451,0.6983
77,20,0,e20·s0,0.3709,1.113,69.67,si,si,0.6483,0.0934
78,11,0,e11·s0,0.3689,1.107,70.04,si,si,0.3546,0.3833
79,0,3,e0·s3,0.3557,1.067,70.4,si,si,0.0414,0.6701
80,8,7,e8·s7,0.3425,1.027,70.74,si,si,0.0664,0.6185
81,25,7,e25·s7,0.3402,1.021,71.08,si,si,0.143,0.5374
82,0,6,e0·s6,0.3349,1.005,71.42,si,si,0.2623,0.4075
83,19,3,e19·s3,0.3332,1.0,71.75,no (≈0),si,0.165,0.5015
84,7,2,e7·s2,0.3243,0.973,72.07,no (≈0),si,0.1523,0.4964
85,15,8,e15·s8,0.321,0.963,72.4,no (≈0),si,0.2466,0.3955
86,23,4,e23·s4,0.3184,0.955,72.71,no (≈0),si,0.3637,0.273
87,15,3,e15·s3,0.3146,0.944,73.03,no (≈0),si,0.2167,0.4125
88,11,9,e11·s9,0.3142,0.943,73.34,no (≈0),si,0.1271,0.5012
89,21,5,e21·s5,0.314,0.942,73.66,no (≈0),si,0.3567,0.2714
90,23,8,e23·s8,0.3096,0.929,73.97,no (≈0),si,0.2989,0.3203
91,2,9,e2·s9,0.3093,0.928,74.28,no (≈0),si,0.094,0.5247
92,22,2,e22·s2,0.3066,0.92,74.58,no (≈0),si,0.3037,0.3094
93,22,4,e22·s4,0.3038,0.911,74.89,no (≈0),si,0.1652,0.4423
94,13,4,e13·s4,0.3037,0.911,75.19,no (≈0),si,0.0892,0.5182
95,27,1,e27·s1,0.2951,0.885,75.48,no (≈0),si,0.3248,0.2654
96,24,5,e24·s5,0.2948,0.885,75.78,no (≈0),si,0.4722,0.1175
97,27,2,e27·s2,0.2897,0.869,76.07,no (≈0),si,0.3481,0.2314
98,12,7,e12·s7,0.2893,0.868,76.36,no (≈0),si,0.0908,0.4878
99,12,2,e12·s2,0.2883,0.865,76.65,no (≈0),si,0.2351,0.3415
100,14,1,e14·s1,0.2749,0.825,76.92,no (≈0),si,0.2852,0.2646
101,15,9,e15·s9,0.2721,0.816,77.19,no (≈0),si,0.0587,0.4854
102,29,9,e29·s9,0.2711,0.813,77.46,no (≈0),si,0.073,0.4691
103,11,2,e11·s2,0.2661,0.798,77.73,no (≈0),si,0.0929,0.4393
104,6,0,e6·s0,0.2604,0.781,77.99,no (≈0),si,0.2038,0.317
105,14,5,e14·s5,0.2587,0.776,78.25,no (≈0),si,0.4282,0.0892
106,29,5,e29·s5,0.2551,0.765,78.51,no (≈0),si,0.3603,0.15
107,26,6,e26·s6,0.2493,0.748,78.75,no (≈0),si,0.0853,0.4133
108,29,2,e29·s2,0.2485,0.746,79.0,no (≈0),si,0.0939,0.4032
109,3,7,e3·s7,0.2431,0.729,79.25,no (≈0),si,0.114,0.3721
110,23,1,e23·s1,0.2407,0.722,79.49,no (≈0),si,0.0453,0.4361
111,16,3,e16·s3,0.2406,0.722,79.73,no (≈0),si,0.0326,0.4487
112,14,6,e14·s6,0.2403,0.721,79.97,no (≈0),si,0.1207,0.3598
113,12,3,e12·s3,0.2391,0.717,80.21,no (≈0),si,0.2405,0.2377
114,7,8,e7·s8,0.2312,0.694,80.44,no (≈0),si,0.1896,0.2729
115,25,9,e25·s9,0.2281,0.684,80.67,no (≈0),si,0.2165,0.2398
116,19,0,e19·s0,0.2233,0.67,80.89,no (≈0),si,0.0581,0.3884
117,28,6,e28·s6,0.2226,0.668,81.11,no (≈0),si,0.2725,0.1727
118,18,9,e18·s9,0.2169,0.651,81.33,no (≈0),si,0.1079,0.3258
119,24,4,e24·s4,0.211,0.633,81.54,no (≈0),si,0.0105,0.4116
120,8,8,e8·s8,0.2105,0.632,81.75,no (≈0),si,0.2814,0.1396
121,24,1,e24·s1,0.2072,0.622,81.96,no (≈0),si,0.3474,0.067
122,10,2,e10·s2,0.2049,0.615,82.16,no (≈0),si,0.2288,0.181
123,28,8,e28·s8,0.2031,0.609,82.37,no (≈0),si,0.2746,0.1315
124,5,2,e5·s2,0.2008,0.603,82.57,no (≈0),si,0.118,0.2837
125,17,1,e17·s1,0.2007,0.602,82.77,no (≈0),si,0.3614,0.04
126,13,9,e13·s9,0.1938,0.581,82.96,no (≈0),si,0.0616,0.326
127,29,4,e29·s4,0.1931,0.579,83.15,no (≈0),si,0.0401,0.3462
128,8,9,e8·s9,0.1919,0.576,83.35,no (≈0),si,0.0389,0.3448
129,3,0,e3·s0,0.1911,0.573,83.54,no (≈0),si,0.0125,0.3697
130,29,8,e29·s8,0.19,0.57,83.73,no (≈0),si,0.1606,0.2195
131,28,2,e28·s2,0.1883,0.565,83.92,no (≈0),si,0.0235,0.3531
132,10,4,e10·s4,0.1852,0.556,84.1,no (≈0),si,0.0607,0.3097
