rank,experto,slot,id,peso_pct,vs_uniforme,masa_acum_pct,sobre_uniforme,en_top_90pct,pct_TCGA-D8-A1X5,pct_TCGA-D8-A1XW
1,6,7,e6·s7,3.2187,9.656,3.22,si,si,4.9346,1.5029
2,15,5,e15·s5,2.7492,8.248,5.97,si,si,2.8677,2.6308
3,17,0,e17·s0,2.2126,6.638,8.18,si,si,1.6607,2.7645
4,15,7,e15·s7,2.0163,6.049,10.2,si,si,2.6619,1.3707
5,8,9,e8·s9,1.8551,5.565,12.05,si,si,1.6084,2.1018
6,19,9,e19·s9,1.6723,5.017,13.72,si,si,2.7608,0.5838
7,28,2,e28·s2,1.3028,3.908,15.03,si,si,1.5518,1.0539
8,26,2,e26·s2,1.2904,3.871,16.32,si,si,2.0545,0.5264
9,29,3,e29·s3,1.2345,3.703,17.55,si,si,0.7753,1.6936
10,8,0,e8·s0,1.191,3.573,18.74,si,si,1.3038,1.0782
11,26,9,e26·s9,1.0104,3.031,19.75,si,si,0.5137,1.5072
12,3,1,e3·s1,1.0081,3.024,20.76,si,si,0.7247,1.2915
13,8,6,e8·s6,1.0064,3.019,21.77,si,si,1.7057,0.307
14,21,1,e21·s1,0.981,2.943,22.75,si,si,1.4312,0.5307
15,27,4,e27·s4,0.9481,2.844,23.7,si,si,0.3787,1.5176
16,27,0,e27·s0,0.939,2.817,24.64,si,si,1.3714,0.5067
17,6,4,e6·s4,0.916,2.748,25.55,si,si,1.4002,0.4319
18,5,1,e5·s1,0.9085,2.726,26.46,si,si,1.0121,0.805
19,23,7,e23·s7,0.9008,2.702,27.36,si,si,1.6243,0.1773
20,17,4,e17·s4,0.9003,2.701,28.26,si,si,0.7071,1.0936
21,10,9,e10·s9,0.8588,2.576,29.12,si,si,1.5331,0.1845
22,16,7,e16·s7,0.8415,2.525,29.96,si,si,0.4663,1.2167
23,3,0,e3·s0,0.8247,2.474,30.79,si,si,1.1983,0.4511
24,4,9,e4·s9,0.8245,2.473,31.61,si,si,0.9294,0.7196
25,23,2,e23·s2,0.8132,2.44,32.42,si,si,1.2964,0.33
26,21,4,e21·s4,0.7954,2.386,33.22,si,si,1.2169,0.374
27,13,9,e13·s9,0.7769,2.331,34.0,si,si,0.582,0.9719
28,28,7,e28·s7,0.774,2.322,34.77,si,si,0.5332,1.0149
29,14,6,e14·s6,0.7595,2.279,35.53,si,si,0.126,1.393
30,16,0,e16·s0,0.7262,2.178,36.26,si,si,1.2458,0.2065
31,26,6,e26·s6,0.6924,2.077,36.95,si,si,0.548,0.8368
32,19,7,e19·s7,0.678,2.034,37.63,si,si,0.3891,0.9668
33,9,5,e9·s5,0.6509,1.953,38.28,si,si,1.0325,0.2694
34,14,7,e14·s7,0.6497,1.949,38.93,si,si,0.8053,0.4941
35,9,0,e9·s0,0.639,1.917,39.57,si,si,0.5329,0.7451
36,23,5,e23·s5,0.6379,1.914,40.2,si,si,0.2445,1.0312
37,4,1,e4·s1,0.6339,1.902,40.84,si,si,0.6339,0.634
38,8,3,e8·s3,0.6319,1.896,41.47,si,si,0.4636,0.8001
39,10,2,e10·s2,0.6309,1.893,42.1,si,si,0.5576,0.7042
40,9,8,e9·s8,0.6307,1.892,42.73,si,si,0.5405,0.721
41,8,1,e8·s1,0.6156,1.847,43.35,si,si,0.4375,0.7936
42,5,3,e5·s3,0.6104,1.831,43.96,si,si,0.3824,0.8383
43,2,4,e2·s4,0.6099,1.83,44.57,si,si,0.6429,0.5769
44,5,9,e5·s9,0.5925,1.778,45.16,si,si,0.3191,0.866
45,9,4,e9·s4,0.5887,1.766,45.75,si,si,0.8666,0.3108
46,1,7,e1·s7,0.5826,1.748,46.33,si,si,0.6354,0.5297
47,1,5,e1·s5,0.5657,1.697,46.9,si,si,0.4553,0.6762
48,0,7,e0·s7,0.5657,1.697,47.46,si,si,0.1616,0.9697
49,15,9,e15·s9,0.5589,1.677,48.02,si,si,0.0834,1.0344
50,25,2,e25·s2,0.5347,1.604,48.56,si,si,0.6584,0.411
51,14,5,e14·s5,0.5338,1.601,49.09,si,si,0.298,0.7696
52,24,5,e24·s5,0.5306,1.592,49.62,si,si,0.6872,0.374
53,2,0,e2·s0,0.5279,1.584,50.15,si,si,0.5625,0.4933
54,10,7,e10·s7,0.5251,1.575,50.67,si,si,0.762,0.2883
55,7,9,e7·s9,0.5042,1.512,51.18,si,si,0.5094,0.4989
56,20,4,e20·s4,0.5028,1.508,51.68,si,si,0.2408,0.7649
57,24,3,e24·s3,0.4762,1.428,52.16,si,si,0.2708,0.6815
58,20,0,e20·s0,0.4661,1.398,52.62,si,si,0.8069,0.1253
59,18,4,e18·s4,0.4535,1.36,53.08,si,si,0.3874,0.5196
60,3,2,e3·s2,0.4522,1.357,53.53,si,si,0.3589,0.5456
61,14,2,e14·s2,0.4508,1.352,53.98,si,si,0.2689,0.6327
