rank,experto,slot,id,peso_pct,vs_uniforme,masa_acum_pct,sobre_uniforme,en_top_90pct,pct_TCGA-AC-A8OS,pct_TCGA-AO-A12D,pct_TCGA-E9-A1NE
1,12,2,e12·s2,3.715,11.145,3.72,si,si,3.7876,2.877,4.4804
2,23,2,e23·s2,2.1268,6.38,5.84,si,si,1.8069,0.9675,3.6058
3,25,1,e25·s1,2.0219,6.066,7.86,si,si,1.2408,1.2713,3.5536
4,3,1,e3·s1,1.9434,5.83,9.81,si,si,1.3268,1.8082,2.6953
5,28,8,e28·s8,1.6608,4.982,11.47,si,si,1.19,0.4954,3.297
6,28,5,e28·s5,1.6149,4.845,13.08,si,si,0.4801,0.5166,3.8479
7,25,9,e25·s9,1.5698,4.709,14.65,si,si,1.847,1.4583,1.4041
8,21,4,e21·s4,1.33,3.99,15.98,si,si,1.7203,2.0332,0.2365
9,24,1,e24·s1,1.2017,3.605,17.18,si,si,0.1812,2.64,0.7839
10,11,3,e11·s3,1.184,3.552,18.37,si,si,2.2021,0.9337,0.4163
11,10,2,e10·s2,1.1558,3.467,19.52,si,si,1.6623,1.0476,0.7575
12,1,8,e1·s8,1.0938,3.281,20.62,si,si,0.4175,0.1766,2.6872
13,19,7,e19·s7,1.0814,3.244,21.7,si,si,0.1617,2.8683,0.2142
14,28,7,e28·s7,1.0779,3.234,22.78,si,si,1.8688,1.0673,0.2976
15,5,5,e5·s5,0.9958,2.987,23.77,si,si,2.5053,0.0741,0.4079
16,2,6,e2·s6,0.9956,2.987,24.77,si,si,0.4174,0.4524,2.1168
17,24,9,e24·s9,0.8957,2.687,25.66,si,si,2.4267,0.1457,0.1146
18,0,3,e0·s3,0.8899,2.67,26.55,si,si,1.1662,1.2461,0.2574
19,1,5,e1·s5,0.8831,2.649,27.44,si,si,0.3939,0.7556,1.4997
20,25,0,e25·s0,0.8235,2.471,28.26,si,si,1.4997,0.8182,0.1527
21,13,5,e13·s5,0.7857,2.357,29.05,si,si,1.5451,0.789,0.023
22,24,6,e24·s6,0.7829,2.349,29.83,si,si,0.2139,1.4359,0.6989
23,20,5,e20·s5,0.779,2.337,30.61,si,si,0.2859,0.7483,1.3027
24,18,9,e18·s9,0.763,2.289,31.37,si,si,1.0231,0.8369,0.4291
25,11,4,e11·s4,0.7094,2.128,32.08,si,si,1.8379,0.2159,0.0744
26,0,1,e0·s1,0.7038,2.111,32.78,si,si,1.5464,0.2404,0.3246
27,13,7,e13·s7,0.6943,2.083,33.48,si,si,0.1187,1.4309,0.5333
28,0,6,e0·s6,0.6828,2.048,34.16,si,si,0.3533,1.6145,0.0806
29,1,4,e1·s4,0.6685,2.005,34.83,si,si,1.1722,0.321,0.5122
30,26,9,e26·s9,0.6641,1.992,35.49,si,si,1.1331,0.7243,0.1349
31,17,3,e17·s3,0.6548,1.964,36.15,si,si,1.4722,0.4012,0.0911
32,9,8,e9·s8,0.6395,1.919,36.79,si,si,1.4025,0.1568,0.3593
33,9,5,e9·s5,0.6375,1.913,37.43,si,si,0.6412,0.2341,1.0373
34,5,6,e5·s6,0.6145,1.843,38.04,si,si,0.0876,0.8535,0.9022
