slide_id,x,y,patch_size,clases
141426-1,17973,9088,256,Tumor
141426-1,17973,9344,256,Tumor
141426-1,18229,9088,256,Tumor
141426-1,18229,9344,256,Tumor
141426-1,26738,11584,256,AreaSolida
141426-1,26738,11840,256,AreaSolida
141426-1,26738,12096,256,AreaSolida
141426-1,26738,12352,256,AreaSolida
141426-1,26738,12608,256,AreaSolida
141426-1,26994,11584,256,AreaSolida
141426-1,26994,11840,256,AreaSolida
141426-1,26994,12096,256,AreaSolida
141426-1,26994,12352,256,AreaSolida
141426-1,26994,12608,256,AreaSolida
141426-1,27250,11584,256,AreaSolida
141426-1,27250,11840,256,AreaSolida
141426-1,27250,12096,256,AreaSolida
141426-1,27250,12352,256,AreaSolida
141426-1,27250,12608,256,AreaSolida
141426-1,27250,13120,256,AreaSolida
141426-1,27506,11584,256,AreaSolida
141426-1,27506,11840,256,AreaSolida
141426-1,27506,12096,256,AreaSolida
141426-1,27506,12352,256,AreaSolida
141426-1,27506,12608,256,AreaSolida
141426-1,27506,13120,256,AreaSolida
141426-1,27762,12096,256,AreaSolida
141426-1,27762,12352,256,AreaSolida
141426-1,27762,12608,256,AreaSolida
141426-1,27762,13888,256,AreaSolida
141426-1,27762,14144,256,AreaSolida
141426-1,27762,14656,256,AreaSolida
141426-1,27762,14912,256,AreaSolida
141426-1,27762,15168,256,AreaSolida
141426-1,28018,13888,256,AreaSolida
141426-1,28018,14144,256,AreaSolida
141426-1,28018,14656,256,AreaSolida
141426-1,28018,14912,256,AreaSolida
141426-1,28018,15168,256,AreaSolida
141426-1,28274,14400,256,AreaSolida
141426-1,28274,14656,256,AreaSolida
141426-1,28274,14912,256,AreaSolida
141426-1,28274,15168,256,AreaSolida
141426-1,28530,14400,256,AreaSolida
141426-1,28530,14656,256,AreaSolida
141426-1,28530,14912,256,AreaSolida
141426-1,28530,15168,256,AreaSolida
141426-1,28786,14400,256,AreaSolida
141426-1,28786,14656,256,AreaSolida
141426-1,28786,14912,256,AreaSolida
141426-1,28786,15168,256,AreaSolida
141426-1,29042,14656,256,AreaSolida
141426-1,29042,14912,256,AreaSolida
141426-1,29042,15168,256,AreaSolida
141426-1,29298,20288,256,Tumor
141426-1,29298,20544,256,Tumor
141426-1,29298,20800,256,Tumor
141426-1,29810,20544,256,Mitosis
141426-1,29810,20800,256,Nucleos mod grado
141426-1,29810,21568,256,Mitosis|Nucleos mod grado
141426-1,29997,3136,256,Tumor
141426-1,29997,3392,256,Permeaciones vasculares
141426-1,29997,3648,256,Permeaciones vasculares
141426-1,30066,20288,256,Tumor
141426-1,30066,20544,256,Tumor
141426-1,30066,20800,256,Nucleos mod grado|Tumor
141426-1,30066,21056,256,Nucleos mod grado
141426-1,30066,21312,256,Mitosis|Nucleos mod grado
141426-1,30253,3136,256,Tumor
141426-1,30253,3392,256,Permeaciones vasculares
141426-1,30253,3648,256,Permeaciones vasculares
141426-1,30322,20288,256,Mitosis|Tumor
141426-1,30322,20544,256,Tumor
141426-1,30322,20800,256,Tumor
141426-1,30509,3392,256,Permeaciones vasculares
141426-1,30509,3648,256,Permeaciones vasculares
141426-1,30578,20288,256,Mitosis|Tumor
141426-1,30578,20544,256,Tumor
141426-1,30578,20800,256,Tumor
141426-1,30834,21312,256,Nucleos mod grado
141426-1,31090,21824,256,AreaTubular
141426-1,31346,21568,256,Nucleos mod grado
141426-1,31346,21824,256,Nucleos mod grado
141426-1,31346,23616,256,AreaTubular
141426-1,31346,23872,256,AreaTubular
141426-1,31602,21568,256,AreaTubular
141426-1,31602,21824,256,AreaTubular
141426-1,31602,23616,256,AreaTubular
141426-1,31602,23872,256,AreaTubular
141426-1,31789,4928,256,Tumor
141426-1,31789,5184,256,Tumor
141426-1,31789,5440,256,Tumor
141426-1,31858,23360,256,AreaTubular
141426-1,31858,23616,256,AreaTubular
141426-1,32045,4928,256,Tumor
141426-1,32045,5184,256,Tumor
141426-1,32045,5440,256,Tumor
141426-1,32045,5696,256,Tumor
141426-1,32045,5952,256,Tumor
141426-1,32114,23360,256,AreaTubular
141426-1,32114,23616,256,AreaTubular
141426-1,32301,5440,256,Tumor
141426-1,32301,5696,256,Tumor
141426-1,32301,5952,256,Tumor
141426-1,32557,5440,256,Tumor
141426-1,32557,5696,256,Tumor
141426-1,32557,5952,256,Tumor
141426-1,32626,24128,256,AreaTubular
141426-1,32882,24128,256,AreaTubular
