slide_id,x,y,patch_size,clases
B25-158899,25466,15936,256,microcalcificaciones
B25-158899,25466,16192,256,microcalcificaciones
B25-158899,25722,15936,256,microcalcificaciones
B25-158899,25722,16448,256,Tumor
B25-158899,25722,16704,256,Tumor
B25-158899,25722,16960,256,Tumor
B25-158899,25978,16448,256,Tumor
B25-158899,25978,16704,256,Tumor
B25-158899,25978,16960,256,Tumor
B25-158899,27514,17216,256,DCIS
B25-158899,27514,17472,256,DCIS
B25-158899,27770,17472,256,DCIS
B25-158899,27897,17024,256,DCIS
B25-158899,28921,16512,256,Negative
B25-158899,28921,16768,256,Negative
B25-158899,28921,17024,256,Negative
B25-158899,28921,17280,256,Negative
B25-158899,28921,17536,256,Negative
B25-158899,29177,14720,256,Nucleos alto grado
B25-158899,29177,16512,256,Negative
B25-158899,29177,16768,256,Negative
B25-158899,29177,17024,256,Negative
B25-158899,29177,17280,256,Negative
B25-158899,29177,17536,256,Negative
B25-158899,29433,14720,256,Mitosis
B25-158899,29433,14976,256,Nucleos alto grado|Tumor
B25-158899,29433,15232,256,Tumor
B25-158899,29433,16512,256,Negative
B25-158899,29433,16768,256,Negative
B25-158899,29433,17024,256,Negative
B25-158899,29433,17280,256,Negative
B25-158899,29433,17536,256,Negative
B25-158899,29945,15232,256,Tumor
B25-158899,30201,15232,256,Tumor
B25-158899,30201,15488,256,Tumor
B25-158899,30713,16256,256,Tumor
B25-158899,30713,16512,256,Tumor
B25-158899,33272,13952,256,Negative
B25-158899,33272,14208,256,Negative
B25-158899,33272,14464,256,Negative
B25-158899,33272,14720,256,Negative
B25-158899,33528,13952,256,Negative
B25-158899,33528,14208,256,Negative
B25-158899,33528,14464,256,Negative
B25-158899,33528,14720,256,Negative
B25-158899,33528,14976,256,Negative
B25-158899,33528,15232,256,Negative
B25-158899,33528,15488,256,Negative
B25-158899,33784,13952,256,Negative
B25-158899,33784,14208,256,Negative
B25-158899,33784,14464,256,Negative
B25-158899,33784,14720,256,Negative
B25-158899,33784,14976,256,Negative
B25-158899,33784,15232,256,Negative
B25-158899,33784,15488,256,Negative
B25-158899,33784,15744,256,Negative
B25-158899,33784,16000,256,Negative
B25-158899,33784,16256,256,Negative
B25-158899,33784,16512,256,Negative
B25-158899,34040,13952,256,Negative
B25-158899,34040,14208,256,Negative
B25-158899,34040,14464,256,Negative
B25-158899,34040,14720,256,Negative
B25-158899,34040,14976,256,Negative
B25-158899,34040,15232,256,Negative
B25-158899,34040,15488,256,Negative
B25-158899,34040,15744,256,Negative
B25-158899,34040,16000,256,Negative
B25-158899,34040,16256,256,Negative
B25-158899,34040,16512,256,Negative
B25-158899,34040,16768,256,Negative
B25-158899,34296,13952,256,Negative
B25-158899,34296,14208,256,Negative
B25-158899,34296,14464,256,Negative
B25-158899,34296,14720,256,Negative
B25-158899,34296,14976,256,Negative
B25-158899,34296,15232,256,Negative
B25-158899,34296,15488,256,Negative
B25-158899,34296,15744,256,Negative
B25-158899,34296,16000,256,Negative
B25-158899,34296,16256,256,Negative
B25-158899,34296,16512,256,Negative
B25-158899,34296,16768,256,Negative
B25-158899,34296,17024,256,Negative
B25-158899,34552,12672,256,Mitosis
B25-158899,34552,12928,256,Mitosis
B25-158899,34808,14208,256,Mitosis
B25-158899,34808,14720,256,Tumor
B25-158899,34808,14976,256,Tumor
B25-158899,35064,14208,256,Mitosis
B25-158899,36471,7104,256,Necrosis
B25-158899,36471,7360,256,Necrosis
B25-158899,36471,7616,256,Necrosis
B25-158899,36727,7104,256,Necrosis
B25-158899,36727,7360,256,Necrosis
B25-158899,36727,7616,256,Necrosis
B25-158899,36983,7104,256,DCIS
B25-158899,36983,7360,256,DCIS
B25-158899,36983,7616,256,DCIS
B25-158899,36983,7872,256,DCIS|Necrosis
B25-158899,36983,8128,256,Necrosis
B25-158899,37239,7104,256,DCIS
B25-158899,37239,7360,256,DCIS
B25-158899,37239,7616,256,DCIS
B25-158899,37239,7872,256,DCIS|Necrosis
B25-158899,37239,8128,256,Necrosis
B25-158899,37495,7872,256,DCIS
B25-158899,38519,11712,256,Tejido Adiposo
B25-158899,38519,11968,256,Tejido Adiposo
B25-158899,38775,10944,256,Tejido Adiposo
B25-158899,38775,11200,256,Tejido Adiposo
B25-158899,38775,11456,256,Tejido Adiposo
B25-158899,38775,11712,256,Tejido Adiposo
B25-158899,38775,11968,256,Tejido Adiposo
B25-158899,39031,11200,256,Tejido Adiposo
B25-158899,39031,11456,256,Tejido Adiposo
B25-158899,39031,11712,256,Tejido Adiposo
B25-158899,39031,11968,256,Tejido Adiposo
B25-158899,39031,14272,256,Mitosis
B25-158899,42102,7872,256,microcalcificaciones
B25-158899,42358,7616,256,microcalcificaciones
B25-158899,42358,7872,256,microcalcificaciones
B25-158899,42614,7872,256,microcalcificaciones
