slide_id,n_ventanas,n_localiza,n_ambiguo,n_sin_senal,frac_localiza,sd_fondo_mediano,tejido_mediano,modo
120361,3,0,1,2,0.0,4.59,0.977,sin_senal
128771,6,0,0,6,0.0,2.94,0.992,sin_senal
129440,8,0,0,8,0.0,3.47,1.0,sin_senal
130981-2,4,0,0,4,0.0,3.51,1.0,sin_senal
137969,3,0,0,3,0.0,2.8,0.98,sin_senal
138527,8,0,0,8,0.0,3.4,1.0,sin_senal
144672,6,0,0,6,0.0,3.79,1.0,sin_senal
145917,7,0,0,7,0.0,3.42,1.0,sin_senal
147774,5,0,0,5,0.0,3.23,0.941,sin_senal
153228,7,0,0,7,0.0,3.51,1.0,sin_senal
157135,5,0,0,5,0.0,3.63,0.996,sin_senal
B25-158410,8,0,0,8,0.0,3.24,0.938,sin_senal
B25-159565,8,0,0,8,0.0,2.98,1.0,sin_senal
B25-163346,8,0,1,7,0.0,3.5,1.0,sin_senal
120063,8,1,0,7,0.125,3.88,0.949,sin_senal
128774-2,8,1,0,7,0.125,2.85,1.0,sin_senal
135924,8,1,0,7,0.125,3.33,0.922,sin_senal
144993,8,1,0,7,0.125,3.39,1.0,sin_senal
147784,8,1,0,7,0.125,3.99,0.996,sin_senal
148778,8,1,0,7,0.125,3.09,0.994,sin_senal
B25-150401,8,1,0,7,0.125,3.27,1.0,sin_senal
B25-150986,8,1,0,7,0.125,3.48,1.0,sin_senal
B25-151249,8,1,0,7,0.125,3.51,1.0,sin_senal
B25-158771,8,1,0,7,0.125,3.81,0.996,sin_senal
128605,7,1,1,5,0.143,3.7,0.914,sin_senal
129743,7,1,0,6,0.143,3.59,1.0,sin_senal
149618-2,7,1,0,6,0.143,3.11,1.0,sin_senal
133681,6,1,0,5,0.167,4.07,0.869,sin_senal
142432,6,1,0,5,0.167,3.67,1.0,sin_senal
147258,6,1,0,5,0.167,4.26,0.967,sin_senal
160814,6,1,0,5,0.167,3.28,0.994,sin_senal
128696,4,1,0,3,0.25,3.72,0.936,sin_senal
137973-1,8,2,0,6,0.25,3.29,1.0,sin_senal
141825,8,2,0,6,0.25,3.48,1.0,sin_senal
144822,4,1,0,3,0.25,4.13,0.969,sin_senal
147414,8,2,0,6,0.25,3.27,1.0,sin_senal
152293,8,2,0,6,0.25,2.99,1.0,sin_senal
152303,8,2,0,6,0.25,3.42,1.0,sin_senal
159188,4,1,0,3,0.25,3.8,0.961,sin_senal
B25-163767,8,2,0,6,0.25,4.53,1.0,sin_senal
141426-2,7,2,0,5,0.286,3.66,1.0,sin_senal
147339,7,2,0,5,0.286,4.01,1.0,sin_senal
161463,7,2,0,5,0.286,3.43,0.961,sin_senal
145819,6,2,0,4,0.333,3.0,0.973,sin_senal
142430,8,3,1,4,0.375,5.78,1.0,sin_senal
B25-150012,8,3,0,5,0.375,3.46,0.977,sin_senal
B25-150234,8,3,1,4,0.375,4.78,0.992,sin_senal
B25-158680,8,3,0,5,0.375,4.05,1.0,sin_senal
148771,5,2,0,3,0.4,3.6,1.0,sin_senal
B25-151504,5,2,0,3,0.4,4.42,1.0,sin_senal
135353,7,3,0,4,0.429,3.77,0.965,sin_senal
155525,7,3,0,4,0.429,4.06,1.0,sin_senal
155793-1,7,3,0,4,0.429,3.67,1.0,sin_senal
B25-150011,7,3,0,4,0.429,2.78,1.0,sin_senal
