slide_id,bif,tiene_h5,vendor,mpp_x,objective_power,level0_w,level0_h,n_regiones,regiones_json,n_parches,paso_grilla,n_bandas_h5,bandas_json,error
101907,101907.bif,1,ventana,0.46500000000000002,20,51765,44800,1,"[{""i"":0,""x"":0,""y"":0,""w"":40960,""h"":44800}]",4308,256,1,"[{""y_min"":2048,""y_max"":42560,""x_min"":13245,""x_max"":49334,""n_parches"":4308}]",
102287,102287.bif,1,ventana,0.46500000000000002,20,53234,40960,1,"[{""i"":0,""x"":0,""y"":0,""w"":44800,""h"":40960}]",6216,256,1,"[{""y_min"":2304,""y_max"":39872,""x_min"":9277,""x_max"":50612,""n_parches"":6216}]",
102376,102376.bif,1,ventana,0.46500000000000002,20,30696,24320,1,"[{""i"":0,""x"":0,""y"":0,""w"":21760,""h"":24320}]",1365,256,2,"[{""y_min"":320,""y_max"":11840,""x_min"":10615,""x_max"":28138,""n_parches"":743},{""y_min"":13376,""y_max"":24128,""x_min"":10807,""x_max"":30059,""n_parches"":622}]",
102467,102467.bif,1,ventana,0.46500000000000002,20,48991,28160,1,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":28160}]",2622,256,1,"[{""y_min"":1088,""y_max"":25088,""x_min"":23344,""x_max"":46182,""n_parches"":2622}]",
102730,102730.bif,1,ventana,0.46500000000000002,20,45684,97280,1,"[{""i"":0,""x"":0,""y"":0,""w"":34560,""h"":97280}]",7701,256,3,"[{""y_min"":0,""y_max"":46784,""x_min"":12220,""x_max"":39605,""n_parches"":3825},{""y_min"":47616,""y_max"":51584,""x_min"":27384,""x_max"":34039,""n_parches"":174},{""y_min"":52480,""y_max"":95232,""x_min"":15803,""x_max"":42932,""n_parches"":3702}]",
102732,102732.bif,1,ventana,0.46500000000000002,20,40792,25600,1,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":25600}]",2743,256,1,"[{""y_min"":2112,""y_max"":24512,""x_min"":12595,""x_max"":39340,""n_parches"":2743}]",
102737-1,102737-1.bif,1,ventana,0.46500000000000002,20,44751,30720,1,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":30720}]",3037,256,2,"[{""y_min"":1280,""y_max"":3584,""x_min"":39253,""x_max"":41301,""n_parches"":55},{""y_min"":4736,""y_max"":28928,""x_min"":20649,""x_max"":42453,""n_parches"":2982}]",
102737-1-2,,0,,,,,,,,,,,,sin .bif sin sufijo de tincion
102737-2,102737-2.bif,1,ventana,0.46500000000000002,20,46038,25600,1,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":25600}]",2500,256,1,"[{""y_min"":1344,""y_max"":24128,""x_min"":16305,""x_max"":43168,""n_parches"":2500}]",
103214,103214.bif,1,ventana,0.46500000000000002,20,55143,26880,1,"[{""i"":0,""x"":0,""y"":0,""w"":25600,""h"":26880}]",1585,256,3,"[{""y_min"":0,""y_max"":5760,""x_min"":39853,""x_max"":52585,""n_parches"":366},{""y_min"":7232,""y_max"":19904,""x_min"":31089,""x_max"":54056,""n_parches"":995},{""y_min"":21312,""y_max"":26688,""x_min"":31153,""x_max"":55015,""n_parches"":224}]",
103368,103368.bif,1,ventana,0.46500000000000002,20,27609,32000,1,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":32000}]",2393,256,2,"[{""y_min"":1216,""y_max"":5824,""x_min"":11695,""x_max"":20399,""n_parches"":264},{""y_min"":7616,""y_max"":31744,""x_min"":766,""x_max"":26851,""n_parches"":2129}]",
103370,103370.bif,1,ventana,0.46500000000000002,20,45950,29440,1,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":29440}]",5820,256,1,"[{""y_min"":0,""y_max"":29248,""x_min"":14783,""x_max"":45374,""n_parches"":5820}]",
103464,103464.bif,1,ventana,0.46500000000000002,20,47848,23040,1,"[{""i"":0,""x"":0,""y"":0,""w"":25600,""h"":23040}]",1646,256,1,"[{""y_min"":1152,""y_max"":17280,""x_min"":24179,""x_max"":45419,""n_parches"":1646}]",
103751,103751.bif,1,ventana,0.46500000000000002,20,30892,29440,1,"[{""i"":0,""x"":0,""y"":0,""w"":26880,""h"":29440}]",2128,256,1,"[{""y_min"":1280,""y_max"":26176,""x_min"":4029,""x_max"":28782,""n_parches"":2128}]",
