[barrido] 589 carpetas en /media/administrador/Storage1/sdonoso/wsi
[barrido] 25/589  ultima=106146
[barrido] 50/589  ultima=108129-1
[barrido] 75/589  ultima=110340
[barrido] 100/589  ultima=111940
[barrido] 125/589  ultima=115893-1
[barrido] 150/589  ultima=117956
[barrido] 175/589  ultima=120417-1
[barrido] 200/589  ultima=124378-2
[barrido] 225/589  ultima=127633
[barrido] 250/589  ultima=129444
[barrido] 275/589  ultima=131791
[barrido] 300/589  ultima=134425
[barrido] 325/589  ultima=136829-2
[barrido] 350/589  ultima=139402
[barrido] 375/589  ultima=142430
[barrido] 400/589  ultima=145445
[barrido] 425/589  ultima=148778
[barrido] 450/589  ultima=150986-3
[barrido] 475/589  ultima=155793-1
[barrido] 500/589  ultima=162836
[barrido] 525/589  ultima=B25-151249
[barrido] 550/589  ultima=Br0245
[barrido] 575/589  ultima=Br0314
[barrido] listo -> /media/administrador/Storage1/sdonoso/clam_testing2/oncomets-ernesto/sprints/B8_sprint8/anotaciones_patologo/regiones_escaneo/regiones_por_slide.csv
