ckpt,rol,split_129741,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_privado_s0,primario,val,4,no_identificado,False,False,score_2,Nucleos alto grado,13,True,0.7980809412067248,89.62067528136724,79.73354282232981,,,,
seba_privado_s0,primario,val,4,no_identificado,False,False,score_2,Mitosis,28,True,0.9163323052968829,92.6948728636932,91.39894598940035,,,,
seba_privado_s0,primario,val,4,no_identificado,False,False,score_2,Immune cells,23,False,0.38619729080183524,36.39016256773656,38.67191039744821,,,,
seba_privado_s0,primario,val,4,no_identificado,False,False,score_2,Tumor,48,False,0.8747807479127201,93.78907878282618,87.1109490065305,,,,
seba_privado_s0,primario,val,4,no_identificado,False,False,score_2,necrosis,18,False,0.886146552325176,87.66152563568153,88.47783798805057,,,,
seba_privado_s0,primario,val,4,no_identificado,False,False,score_2,Stroma,12,False,0.5676136759278602,42.194664443518135,56.745866333194385,,,,
seba_privado_s0,primario,val,4,no_identificado,False,False,score_2,Tejido Adiposo,27,False,0.16538604824438857,17.611504793664025,16.71992960029642,,,,
seba_privado_s0,primario,val,4,score_1,False,False,score_2,Nucleos alto grado,13,True,0.8189752161753834,88.51604835348061,81.81774457305929,,,,
seba_privado_s0,primario,val,4,score_1,False,False,score_2,Mitosis,28,True,0.9132182531365093,93.1117132138391,91.08929315786341,,,,
seba_privado_s0,primario,val,4,score_1,False,False,score_2,Immune cells,23,False,0.4229662806787561,40.05835764902042,42.33194990666401,,,,
seba_privado_s0,primario,val,4,score_1,False,False,score_2,Tumor,48,False,0.8503955307654529,88.9328887036265,84.69631443657079,,,,
seba_privado_s0,primario,val,4,score_1,False,False,score_2,necrosis,18,False,0.8618606056380581,88.17215506461025,86.05784817748136,,,,
seba_privado_s0,primario,val,4,score_1,False,False,score_2,Stroma,12,False,0.5437121370378107,45.716965402250935,54.36119216340142,,,,
seba_privado_s0,primario,val,4,score_1,False,False,score_2,Tejido Adiposo,27,False,0.1168234454068486,12.546894539391413,11.889985024624458,,,,
seba_privado_s0,primario,val,4,score_2,False,True,score_2,Nucleos alto grado,13,True,0.8134944871259121,87.74489370571071,81.27104242152178,0.0004997501249375312,0.07446276861569215,2000.0,0.5419150642414821
seba_privado_s0,primario,val,4,score_2,False,True,score_2,Mitosis,28,True,0.9232191514207863,93.83076281784076,92.08375513606859,0.0004997501249375312,0.002127659574468085,469.0,0.7327068446970494
seba_privado_s0,primario,val,4,score_2,False,True,score_2,Immune cells,23,False,0.4176043259777147,40.10004168403501,41.79821302354242,,,,
seba_privado_s0,primario,val,4,score_2,False,True,score_2,Tumor,48,False,0.8692775205219954,92.18424343476448,86.56601709045435,0.0004997501249375312,0.06935483870967742,619.0,0.7338718740951755
seba_privado_s0,primario,val,4,score_2,False,True,score_2,necrosis,18,False,0.8971391387203979,91.86119216340143,89.57320179704506,,,,
seba_privado_s0,primario,val,4,score_2,False,True,score_2,Stroma,12,False,0.5793990669173456,47.80116715298041,57.92170348756426,,,,
seba_privado_s0,primario,val,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.11736673807084537,13.630679449770739,11.944019884828556,,,,
seba_privado_s0,primario,val,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8355138384390369,88.70362651104627,83.46747042036746,0.0004997501249375312,0.05997001499250375,2000.0,0.6117202001175421
seba_privado_s0,primario,val,4,score_3,True,False,score_2,Mitosis,28,True,0.8403149983531455,86.72363484785328,83.83999285416544,0.0004997501249375312,0.00228310502283105,437.0,0.7108632219317931
seba_privado_s0,primario,val,4,score_3,True,False,score_2,Immune cells,23,False,0.3271156507173549,31.700708628595248,32.79083676169419,,,,
seba_privado_s0,primario,val,4,score_3,True,False,score_2,Tumor,48,False,0.8203338770785098,84.33722384326802,81.71959670696124,0.0004997501249375312,0.001718213058419244,581.0,0.68259656035994
seba_privado_s0,primario,val,4,score_3,True,False,score_2,necrosis,18,False,0.6914755165121197,66.86119216340141,69.07970913806678,,,,
seba_privado_s0,primario,val,4,score_3,True,False,score_2,Stroma,12,False,0.6072696887403384,56.419341392246764,60.70237598999582,,,,
seba_privado_s0,primario,val,4,score_3,True,False,score_2,Tejido Adiposo,27,False,0.1773928161187172,15.047936640266778,17.914100010806973,,,,
seba_combined_s0,primario,val,4,no_identificado,False,False,score_3,Nucleos alto grado,13,True,0.8188144909833167,82.57607336390163,81.80171225189984,,,,
seba_combined_s0,primario,val,4,no_identificado,False,False,score_3,Mitosis,28,True,0.7559885618468725,73.85368903709879,75.45480259631988,,,,
seba_combined_s0,primario,val,4,no_identificado,False,False,score_3,Immune cells,23,False,0.3411077124754206,27.448937057107127,34.183627235986016,,,,
seba_combined_s0,primario,val,4,no_identificado,False,False,score_3,Tumor,48,False,0.7716993790780888,76.53709879116299,76.90378803668195,,,,
seba_combined_s0,primario,val,4,no_identificado,False,False,score_3,necrosis,18,False,0.6210927514002185,62.578157565652354,62.06637024686212,,,,
