ckpt,rol,split_129741,universo,n_universo,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_privado_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Nucleos alto grado,13,True,0.7980809412067248,89.62067528136724,79.73354282232981,,,,
seba_privado_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Mitosis,28,True,0.9163323052968829,92.6948728636932,91.39894598940035,,,,
seba_privado_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Immune cells,23,False,0.38619729080183524,36.39016256773656,38.67191039744821,,,,
seba_privado_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Tumor,48,False,0.8747807479127201,93.78907878282618,87.1109490065305,,,,
seba_privado_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,necrosis,18,False,0.886146552325176,87.66152563568153,88.47783798805057,,,,
seba_privado_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Stroma,12,False,0.5676136759278602,42.194664443518135,56.745866333194385,,,,
seba_privado_s0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Tejido Adiposo,27,False,0.16538604824438857,17.611504793664025,16.71992960029642,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Nucleos alto grado,13,True,0.8064376219833328,90.38076152304609,80.49637737012488,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Mitosis,28,True,0.9228554063440612,93.22645290581163,91.82794159748066,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Immune cells,23,False,0.39459202869248755,37.4749498997996,39.55214777380849,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Tumor,48,False,0.8830848311546841,93.96793587174349,87.58684034736139,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,necrosis,18,False,0.892812303829253,88.37675350701403,89.01358272099755,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Stroma,12,False,0.5772946859903382,43.12625250501002,57.69539078156313,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Tejido Adiposo,27,False,0.16715419348064142,17.75551102204409,17.062272693535217,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_1,False,False,score_2,Nucleos alto grado,13,True,0.8189752161753834,88.51604835348061,81.81774457305929,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_1,False,False,score_2,Mitosis,28,True,0.9132182531365093,93.1117132138391,91.08929315786341,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_1,False,False,score_2,Immune cells,23,False,0.4229662806787561,40.05835764902042,42.33194990666401,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_1,False,False,score_2,Tumor,48,False,0.8503955307654529,88.9328887036265,84.69631443657079,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_1,False,False,score_2,necrosis,18,False,0.8618606056380581,88.17215506461025,86.05784817748136,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_1,False,False,score_2,Stroma,12,False,0.5437121370378107,45.716965402250935,54.36119216340142,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_1,False,False,score_2,Tejido Adiposo,27,False,0.1168234454068486,12.546894539391413,11.889985024624458,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Nucleos alto grado,13,True,0.8275659097245888,89.37875751503006,82.59904424233082,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Mitosis,28,True,0.921813498495022,93.70741482965931,91.72487832808474,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Immune cells,23,False,0.4334991824750787,41.28256513026052,43.408556242920625,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Tumor,48,False,0.8617323665577342,89.6993987975952,85.49181696726787,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,necrosis,18,False,0.8709532777329387,88.95791583166333,86.8425740369628,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Stroma,12,False,0.5533078368223295,46.69338677354709,55.30728122912492,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_1,False,False,score_2,Tejido Adiposo,27,False,0.11690142957862683,12.745490981963927,12.089363913011208,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_2,False,True,score_2,Nucleos alto grado,13,True,0.8134944871259121,87.74489370571071,81.27104242152178,0.0004997501249375312,0.07446276861569215,2000.0,0.5419150642414821
seba_privado_s0,primario,val,lamina,4799,4,score_2,False,True,score_2,Mitosis,28,True,0.9232191514207863,93.83076281784076,92.08375513606859,0.0004997501249375312,0.002127659574468085,469.0,0.7327068446970494
seba_privado_s0,primario,val,lamina,4799,4,score_2,False,True,score_2,Immune cells,23,False,0.4176043259777147,40.10004168403501,41.79821302354242,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_2,False,True,score_2,Tumor,48,False,0.8692775205219954,92.18424343476448,86.56601709045435,0.0004997501249375312,0.06935483870967742,619.0,0.7338718740951755
seba_privado_s0,primario,val,lamina,4799,4,score_2,False,True,score_2,necrosis,18,False,0.8971391387203979,91.86119216340143,89.57320179704506,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_2,False,True,score_2,Stroma,12,False,0.5793990669173456,47.80116715298041,57.92170348756426,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.11736673807084537,13.630679449770739,11.944019884828556,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Nucleos alto grado,13,True,0.8215558102791288,88.37675350701403,82.00092492677663,0.0004997501249375312,0.0734632683658171,2000.0,0.5356549507196335
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Mitosis,28,True,0.929902755267423,94.38877755511022,92.52505010020039,0.0004997501249375312,0.0007535795026375283,1326.0,0.7434738854600003
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Immune cells,23,False,0.4291214683802458,42.08416833667334,42.97464494205803,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Tumor,48,False,0.8780467047930284,92.74549098196393,87.09251837007348,0.0004997501249375312,0.0633116883116883,1847.0,0.7295570073101559
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,necrosis,18,False,0.903237377813649,92.48496993987976,90.04898686261411,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Stroma,12,False,0.591183574879227,48.97795591182364,59.07815631262525,,,,
seba_privado_s0,primario,val,region_anotada,2496,4,score_2,False,True,score_2,Tejido Adiposo,27,False,0.1211166614163779,14.228456913827655,12.506494470422329,,,,
seba_privado_s0,primario,val,lamina,4799,4,score_3,True,False,score_2,Nucleos alto grado,13,True,0.8355138384390369,88.70362651104627,83.46747042036746,0.0004997501249375312,0.044977511244377814,2000.0,0.5975334724304332
