,e15·s7,e25·s0,e28·s4,e11·s8,e29·s0,e15·s8,e0·s7,e24·s2,e17·s3,e29·s3,e12·s7,e12·s5
e15·s7,1.0,0.773,-0.272,0.675,-0.651,0.141,0.706,0.555,-0.057,-0.21,0.543,0.043
e25·s0,0.773,1.0,-0.225,0.792,-0.692,0.018,0.746,0.657,-0.155,-0.092,0.626,-0.043
e28·s4,-0.272,-0.225,1.0,-0.254,0.494,-0.207,-0.28,-0.012,0.189,0.391,-0.273,0.353
e11·s8,0.675,0.792,-0.254,1.0,-0.657,-0.053,0.708,0.581,-0.258,-0.063,0.558,-0.012
e29·s0,-0.651,-0.692,0.494,-0.657,1.0,-0.154,-0.686,-0.495,0.131,0.272,-0.657,0.283
e15·s8,0.141,0.018,-0.207,-0.053,-0.154,1.0,-0.003,-0.026,0.089,-0.069,-0.002,-0.111
e0·s7,0.706,0.746,-0.28,0.708,-0.686,-0.003,1.0,0.617,0.049,-0.139,0.615,-0.148
e24·s2,0.555,0.657,-0.012,0.581,-0.495,-0.026,0.617,1.0,0.085,-0.108,0.45,0.057
e17·s3,-0.057,-0.155,0.189,-0.258,0.131,0.089,0.049,0.085,1.0,-0.061,-0.001,-0.061
e29·s3,-0.21,-0.092,0.391,-0.063,0.272,-0.069,-0.139,-0.108,-0.061,1.0,-0.135,0.027
e12·s7,0.543,0.626,-0.273,0.558,-0.657,-0.002,0.615,0.45,-0.001,-0.135,1.0,-0.26
e12·s5,0.043,-0.043,0.353,-0.012,0.283,-0.111,-0.148,0.057,-0.061,0.027,-0.26,1.0
