rank,experto,slot,id,peso_pct,vs_uniforme,masa_acum_pct,sobre_uniforme,en_top_90pct,pct_interp
1,15,7,e15·s7,3.0902,9.271,3.09,si,si,3.0902
2,25,0,e25·s0,2.8921,8.676,5.98,si,si,2.8921
3,28,4,e28·s4,2.4378,7.313,8.42,si,si,2.4378
4,11,8,e11·s8,1.7227,5.168,10.14,si,si,1.7227
5,29,0,e29·s0,1.5954,4.786,11.74,si,si,1.5954
6,15,8,e15·s8,1.5619,4.686,13.3,si,si,1.5619
7,0,7,e0·s7,1.5105,4.532,14.81,si,si,1.5105
8,24,2,e24·s2,1.4133,4.24,16.22,si,si,1.4133
9,17,3,e17·s3,1.2786,3.836,17.5,si,si,1.2786
10,29,3,e29·s3,1.2489,3.747,18.75,si,si,1.2489
11,12,7,e12·s7,1.2319,3.696,19.98,si,si,1.2319
12,12,5,e12·s5,1.1762,3.529,21.16,si,si,1.1762
13,5,7,e5·s7,1.1662,3.499,22.33,si,si,1.1662
14,5,2,e5·s2,1.1425,3.428,23.47,si,si,1.1425
15,2,9,e2·s9,1.081,3.243,24.55,si,si,1.081
16,21,0,e21·s0,1.0258,3.077,25.57,si,si,1.0258
17,15,5,e15·s5,0.9592,2.878,26.53,si,si,0.9592
18,9,2,e9·s2,0.9256,2.777,27.46,si,si,0.9256
19,28,1,e28·s1,0.9081,2.724,28.37,si,si,0.9081
20,9,3,e9·s3,0.905,2.715,29.27,si,si,0.905
21,26,1,e26·s1,0.8774,2.632,30.15,si,si,0.8774
22,7,0,e7·s0,0.8591,2.577,31.01,si,si,0.8591
23,28,2,e28·s2,0.8584,2.575,31.87,si,si,0.8584
24,26,7,e26·s7,0.8558,2.567,32.72,si,si,0.8558
25,4,4,e4·s4,0.84,2.52,33.56,si,si,0.84
26,6,9,e6·s9,0.8294,2.488,34.39,si,si,0.8294
27,14,9,e14·s9,0.8224,2.467,35.22,si,si,0.8224
28,12,6,e12·s6,0.8051,2.415,36.02,si,si,0.8051
29,8,9,e8·s9,0.7323,2.197,36.75,si,si,0.7323
30,3,1,e3·s1,0.7169,2.151,37.47,si,si,0.7169
31,2,0,e2·s0,0.7138,2.141,38.18,si,si,0.7138
32,26,2,e26·s2,0.7114,2.134,38.89,si,si,0.7114
33,2,1,e2·s1,0.7016,2.105,39.6,si,si,0.7016
34,2,5,e2·s5,0.7001,2.1,40.3,si,si,0.7001
35,28,3,e28·s3,0.6983,2.095,40.99,si,si,0.6983
36,22,5,e22·s5,0.6892,2.068,41.68,si,si,0.6892
37,18,1,e18·s1,0.6749,2.025,42.36,si,si,0.6749
38,0,6,e0·s6,0.6598,1.979,43.02,si,si,0.6598
39,15,1,e15·s1,0.6577,1.973,43.68,si,si,0.6577
40,0,2,e0·s2,0.6367,1.91,44.31,si,si,0.6367
41,10,3,e10·s3,0.6234,1.87,44.94,si,si,0.6234
42,27,3,e27·s3,0.6203,1.861,45.56,si,si,0.6203
43,18,9,e18·s9,0.6035,1.811,46.16,si,si,0.6035
44,6,4,e6·s4,0.6019,1.806,46.76,si,si,0.6019
45,6,2,e6·s2,0.6,1.8,47.36,si,si,0.6
46,22,9,e22·s9,0.5989,1.797,47.96,si,si,0.5989
47,11,9,e11·s9,0.5977,1.793,48.56,si,si,0.5977
48,10,0,e10·s0,0.5957,1.787,49.15,si,si,0.5957
49,9,9,e9·s9,0.5789,1.737,49.73,si,si,0.5789
50,21,6,e21·s6,0.5655,1.696,50.3,si,si,0.5655
51,15,0,e15·s0,0.5532,1.66,50.85,si,si,0.5532
52,13,8,e13·s8,0.5458,1.637,51.4,si,si,0.5458
53,22,3,e22·s3,0.5169,1.551,51.91,si,si,0.5169
54,26,9,e26·s9,0.5113,1.534,52.43,si,si,0.5113
55,16,5,e16·s5,0.5083,1.525,52.93,si,si,0.5083
